variant,decision_date,realization_date,cost_bps,active_assets,total_units,invested_weight,turnover,gross_return,cost,net_return
source_exact,2005-01-03,2005-01-04,50,0,0,0,0,0,0,0
source_exact,2005-01-04,2005-01-05,50,7,7,1,1,-0.00993426315654,0.005,-0.0149342631565
source_exact,2005-01-05,2005-01-06,50,7,11,1,0.159679660611,0.00128506567066,0.000798398303053,0.000486667367605
source_exact,2005-01-06,2005-01-07,50,7,12,1,0.0769806890174,-0.00366693986116,0.000384903445087,-0.00405184330625
source_exact,2005-01-07,2005-01-10,50,7,13,0.969230769231,0.064719455891,0.00318071321496,0.000323597279455,0.0028571159355
source_exact,2005-01-10,2005-01-11,50,7,13,0.969230769231,0.00174998290856,-0.003392463982,8.74991454279e-06,-0.00340121389655
source_exact,2005-01-11,2005-01-12,50,7,18,1,0.0888514412693,0.00458211031368,0.000444257206346,0.00413785310733
source_exact,2005-01-12,2005-01-13,50,6,15,1,0.167439358131,-0.00655371173259,0.000837196790653,-0.00739090852325
source_exact,2005-01-13,2005-01-14,50,6,15,1,0.00202877968011,0.00865107509833,1.01438984005e-05,0.00864093119993
source_exact,2005-01-14,2005-01-18,50,6,15,1,0.00117632099996,0.00814578712849,5.88160499982e-06,0.00813990552349
source_exact,2005-01-18,2005-01-19,50,4,9,0.711111111111,0.401511645212,-0.00951402357938,0.00200755822606,-0.0115215818054
source_exact,2005-01-19,2005-01-20,50,4,9,0.711111111111,0.0027748961279,-0.00836140783624,1.38744806395e-05,-0.00837528231688
source_exact,2005-01-20,2005-01-21,50,4,11,0.781818181818,0.0739454564253,-0.000130145387977,0.000369727282126,-0.000499872670104
source_exact,2005-01-21,2005-01-24,50,4,11,0.781818181818,0.00278014310204,-0.00267931121904,1.39007155102e-05,-0.00269321193455
source_exact,2005-01-24,2005-01-25,50,4,11,0.781818181818,0.00227728831966,0.000244074254346,1.13864415983e-05,0.000232687812747
source_exact,2005-01-25,2005-01-26,50,5,12,0.85,0.0833333333333,0.00785168197227,0.000416666666667,0.0074350153056
source_exact,2005-01-26,2005-01-27,50,4,10,0.8,0.201661120757,-0.00265885300127,0.00100830560378,-0.00366715860506
source_exact,2005-01-27,2005-01-28,50,6,12,0.9,0.166666666667,0.000136632587511,0.000833333333333,-0.000696700745823
source_exact,2005-01-28,2005-01-31,50,6,13,0.907692307692,0.0348519189675,0.00388389336311,0.000174259594837,0.00370963376827
source_exact,2005-01-31,2005-02-01,50,5,12,0.85,0.0791244051771,0.00425207226272,0.000395622025885,0.00385645023684
source_exact,2005-02-01,2005-02-02,50,2,5,0.4,0.483454505936,0.00297806293774,0.00241727252968,0.000560790408058
source_exact,2005-02-02,2005-02-03,50,0,0,0,0.401781532247,0,0.00200890766124,-0.00200890766124
source_exact,2005-02-03,2005-02-04,50,1,1,0.2,0.2,-0.00100767314268,0.001,-0.00200767314268
source_exact,2005-02-04,2005-02-07,50,1,1,0.2,0.000806951657659,-0.000964556339775,4.03475828829e-06,-0.000968591098063
source_exact,2005-02-07,2005-02-08,50,1,1,0.2,0.000772390085573,-4.84717039958e-05,3.86195042787e-06,-5.23336544236e-05
