variant,avg_BIL,avg_SPY,avg_offense,avg_defense,max_offense,max_single_weight
b7_breadth_gate_50d,0.27776832926830763,0.05840522762416945,0.40504959746620417,0.5559115324520383,0.9194573889021438,1.0
b7_breadth_gate_13w,0.2757112737745914,0.05873289333571745,0.40710665295992043,0.5538544769583221,0.9194573889021438,1.0
b7_breadth_scaler_composite,0.26027004987162905,0.06129452807901464,0.42465393489655295,0.5364916026007105,0.9596974121043231,1.0
b7_risk_on_participation_gate,0.2745934017702639,0.0589678465615061,0.408224524964248,0.5527366049539946,0.9194573889021438,1.0
b7_sector_breadth_gate,0.27245841307922214,0.05929787977541146,0.4103595136552897,0.5506016162629528,0.9194573889021438,1.0
b7_macro_stress_filter_mild,0.2857305176301967,0.05736335927157316,0.3970874091043151,0.5638737208139273,0.9194573889021438,1.0
b7_macro_stress_filter_medium,0.29530571316455206,0.05591675634572226,0.38751221356995985,0.5734489163482827,0.9194573889021438,1.0
b7_dollar_pressure_4w_mild,0.269860613821213,0.06025656512327496,0.41393768254563684,0.5480038170049436,0.9194573889021438,1.0
b7_dollar_pressure_blended_mild,0.2696034807178852,0.06025656512327496,0.414363766109869,0.547746683901616,0.9194573889021438,1.0
b7_combined_conservative_gate,0.2843518900064667,0.05798453618324521,0.40019819860246114,0.5619589430106877,0.950760575448176,1.0
