variant,family,benchmark_name,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,avg_turnover,cost_drag,n_weeks,avg_BIL,avg_SPY,avg_offense,avg_defense,benchmark,full_ann_return,full_ann_vol,full_sharpe,full_max_drawdown,full_calmar,full_cvar_5,full_avg_turnover,full_cost_drag,full_n_weeks,full_avg_BIL,full_avg_SPY,full_avg_offense,full_avg_defense,holdout_2020_ann_return,holdout_2020_ann_vol,holdout_2020_sharpe,holdout_2020_max_drawdown,holdout_2020_calmar,holdout_2020_cvar_5,holdout_2020_avg_turnover,holdout_2020_cost_drag,holdout_2020_n_weeks,holdout_2020_avg_BIL,holdout_2020_avg_SPY,holdout_2020_avg_offense,holdout_2020_avg_defense,shock_2022_ann_return,shock_2022_ann_vol,shock_2022_sharpe,shock_2022_max_drawdown,shock_2022_calmar,shock_2022_cvar_5,shock_2022_avg_turnover,shock_2022_cost_drag,shock_2022_n_weeks,shock_2022_avg_BIL,shock_2022_avg_SPY,shock_2022_avg_offense,shock_2022_avg_defense,delta_sharpe_vs_ggg_dashboard,delta_mdd_vs_ggg_dashboard,delta_cvar_vs_ggg_dashboard,delta_sharpe_vs_phase2b,delta_mdd_vs_phase2b,delta_cvar_vs_phase2b,b7_verdict,b7_verdict_reason
benchmark_ggg_candidate,benchmark,improved_phaseggg_confirmed_only_robust_offense,0.07138099253495178,0.07621368826084082,0.9365901869313925,-0.11773854403501716,0.6062669886058897,-0.025377145718160805,0.061838816827253465,0.06857924786141441,1110.0,0.2665801265614856,0.06025656512327496,0.4162378001730258,0.5447233297452163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmark_ggg_candidate,benchmark_holdout_2020,improved_phaseggg_confirmed_only_robust_offense,0.09549685056513968,0.08810823405283132,1.083858411097855,-0.11773854403501693,0.811092504564501,-0.02657510073117912,0.06409908154980382,0.021024498748332864,328.0,0.23580729582369334,0.05785096128014401,0.40505797373998853,0.5182108906400582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmark_ggg_candidate,benchmark_2022,improved_phaseggg_confirmed_only_robust_offense,-0.012933042242855075,0.06063304919209921,-0.21330021193359866,-0.06841790904172274,-0.1890300715704162,-0.015625505689318933,0.04306152976883673,0.0022391995479792877,52.0,0.5500544550147939,0.030262866936932434,0.16781908023226155,0.695499556700396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmark_phase2b_pinned,benchmark,improved_phase2b_regime_confidence_boost,0.06892339744592735,0.07789583362986176,0.8848149411100881,-0.1397540394638661,0.49317642416874635,-0.026181041847003924,0.05622922283196537,0.06235820812063969,1110.0,0.2839178772422698,0.07081167142134887,0.4282601994194929,0.5250188292725647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmark_phase2b_pinned,benchmark_holdout_2020,improved_phase2b_regime_confidence_boost,0.0806746221962884,0.08604358919273446,0.937601777810317,-0.139754039463866,0.5772614695487723,-0.0272982669707991,0.05597522886750206,0.018359875068537694,328.0,0.25530579038791873,0.06575043400225739,0.4072656893830613,0.49319047256681287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmark_phase2b_pinned,benchmark_2022,improved_phase2b_regime_confidence_boost,0.005105952407713499,0.057984324863937245,0.08805746069640095,-0.04565920047861505,0.11182745983703599,-0.015643191461468902,0.04004227008603335,0.002082198044473411,52.0,0.6333837124727584,0.031751704202918764,0.13862612612953096,0.7097260594373468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmark_phase2b_shadow,benchmark,improved_phase2b_combo_abc,0.06858383853128158,0.07758151231293113,0.8840229648352725,-0.13674121541523387,0.5015593749332792,-0.026085048036177054,0.05657147975333692,0.06273777104644129,1110.0,0.28555249754723755,0.07075650850396528,0.4275040394076858,0.5257422173472291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmark_phase2b_shadow,benchmark_holdout_2020,improved_phase2b_combo_abc,0.08040069214115908,0.0852674107394025,0.9429240485193426,-0.13674121541523354,0.5879770184652177,-0.027149708992946112,0.05645382318178438,0.018516854003622168,328.0,0.2564607925553641,0.06567639486848151,0.40676778593038115,0.493726366947755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmark_phase2b_shadow,benchmark_2022,improved_phase2b_combo_abc,0.00297075043485151,0.056665587685848416,0.05242600590893406,-0.04557558405008966,0.06518293724083753,-0.015567801571509767,0.04003913019513453,0.002082034770146708,52.0,0.6355017169773313,0.031656073213441785,0.1376972593302082,0.7112587447799595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmark_spy,benchmark,SPY,0.08780836909871126,0.1772066936514755,0.49551383917477726,-0.5836427047006658,0.15044884205953665,-0.060209512466812116,0.0,0.0,1109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmark_60_40,benchmark,60/40 proxy,0.08087153420178472,0.10303110610921676,0.7849234785081112,-0.3138361944792649,0.25768708525150014,-0.03273141716036425,0.0,0.0,1110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7_breadth_gate_50d,breadth_gate,,,,,,,,,,,,,,,improved_phaseggg_confirmed_only_robust_offense,0.057357881455081694,0.07478922668273645,0.7669270561975415,-0.12116468073900966,0.47338779836866274,-0.025753376101451262,0.13029326815503442,0.14449523438393316,1109.0,0.27776832926830763,0.05840522762416945,0.40504959746620417,0.5559115324520383,0.07974088967503579,0.08632077689387982,0.9237740037148513,-0.12116468073900977,0.6581199173610556,-0.02708791805852126,0.13578122266605056,0.04453624103446458,328.0,0.2468451990085434,0.05600259346498402,0.394020070555139,0.5292487938249083,-0.04205642335428583,0.056922912102057556,-0.738831198215624,-0.07229883570430273,-0.5817026366274238,-0.014967234991461091,0.08923761993523902,0.004640356236632429,52.0,0.5620833964781734,0.02768808866310944,0.15579013876888215,0.7075284981637757,-0.16966313073385086,-0.003426136703992555,-0.00037623038329046357,-0.11788788491254654,0.018589358724856453,0.00042766574555263767,research-only,Sharpe worsened vs GGG
b7_breadth_gate_13w,breadth_gate,,,,,,,,,,,,,,,improved_phaseggg_confirmed_only_robust_offense,0.05750128875093652,0.07530323792335908,0.7635964977954767,-0.12116468073900977,0.47457137179105036,-0.02590855739847852,0.12823412288802272,0.1422116422828172,1109.0,0.2757112737745914,0.05873289333571745,0.40710665295992043,0.5538544769583221,0.08100598528132208,0.08666690224350382,0.9346819049067135,-0.12116468073900966,0.668561042601268,-0.02720743281285877,0.13235261012377836,0.0434116561205993,328.0,0.24359296829412427,0.056433190756375776,0.3972723012695581,0.5259965631104891,-0.04172719589814522,0.05679056643038852,-0.734755761756535,-0.07179490354953533,-0.581199971518247,-0.014967234991461091,0.08812137221592767,0.0045823113552282396,52.0,0.564480409140597,0.02751445099007256,0.1533931261064586,0.7099255108261994,-0.17299368913591573,-0.003426136703992666,-0.0005314116803177213,-0.1212184433146114,0.018589358724856342,0.00027248444852537995,research-only,Sharpe worsened vs GGG
b7_breadth_scaler_composite,breadth_scaler,,,,,,,,,,,,,,,improved_phaseggg_confirmed_only_robust_offense,0.0590164711802772,0.07706450565015253,0.765806134515318,-0.12497811979927331,0.47221442661374036,-0.026478444788814125,0.13044673714646615,0.14466543149543096,1109.0,0.26027004987162905,0.06129452807901464,0.42465393489655295,0.5364916026007105,0.08088431017055142,0.08866946786813167,0.9122002433897737,-0.12497811979927365,0.6471877661502594,-0.027991240608130546,0.13725382209862438,0.0450192536483488,328.0,0.22749752338937773,0.059154983095641725,0.415391012243051,0.508199593746412,-0.04542918123153117,0.057611271060991266,-0.7885467616820448,-0.07299742426764089,-0.6223395097471888,-0.015559729588533846,0.08711701112172174,0.004530084578329529,52.0,0.5586059854515588,0.028716974580209647,0.15926754979549676,0.7040510871371611,-0.17078405241607442,-0.007239575764256212,-0.001101299070653327,-0.11900880659477009,0.014775919664592796,-0.0002974029418102257,research-only,Sharpe worsened vs GGG; max drawdown worsened vs GGG; CVaR worsened vs GGG
b7_risk_on_participation_gate,risk_on_gate,,,,,,,,,,,,,,,improved_phaseggg_confirmed_only_robust_offense,0.057725917510130564,0.0754050237268943,0.7655447164794377,-0.12116468073900977,0.47642528464605055,-0.025906802000592238,0.12859378944855138,0.14261051249844348,1109.0,0.2745934017702639,0.0589678465615061,0.408224524964248,0.5527366049539946,0.08097007325797523,0.08669140285641762,0.9340034950418518,-0.12116468073900966,0.6682646524063052,-0.02717454796769613,0.13219425701352858,0.043359716300437376,328.0,0.24358290943265531,0.056632996843071506,0.39728236013102697,0.5259865042490203,-0.04350608609488338,0.057086057490720925,-0.7621140433801212,-0.07263508246844608,-0.5989679451907164,-0.014967234991461091,0.08793137113166903,0.00457243129884679,52.0,0.5639051697116944,0.027540076279868174,0.15396836553536125,0.7093502713972968,-0.17104547045195473,-0.003426136703992666,-0.0005296562824314392,-0.1192702246306504,0.018589358724856342,0.000274239846411662,research-only,Sharpe worsened vs GGG
b7_sector_breadth_gate,sector_breadth_gate,,,,,,,,,,,,,,,improved_phaseggg_confirmed_only_robust_offense,0.0584753072640698,0.07553214993257015,0.7741777152679022,-0.12116468073900966,0.4826101707809258,-0.02594519254965283,0.12637194948017472,0.14014649197351375,1109.0,0.27245841307922214,0.05929787977541146,0.4103595136552897,0.5506016162629528,0.08141842876822669,0.08684307749039595,0.9375350473643778,-0.12116468073900966,0.6719650336355285,-0.027180902069157784,0.13080595046628032,0.04290435175293995,328.0,0.24094782853832242,0.05708308938408751,0.39991744102536,0.5233514233546873,-0.044124372299983006,0.05745562556479758,-0.7679730551400961,-0.07178224909204034,-0.6146975451187944,-0.015538619396703965,0.08638401804919184,0.004491968938557975,52.0,0.5607788847307165,0.02828767458207406,0.15709465051633917,0.7062239864163187,-0.16241247166349015,-0.003426136703992555,-0.0005680468314920306,-0.11063722584218583,0.018589358724856453,0.00023584929735107063,research-only,Sharpe worsened vs GGG
b7_macro_stress_filter_mild,macro_filter,,,,,,,,,,,,,,,improved_phaseggg_confirmed_only_robust_offense,0.05700798130075757,0.07411576896561087,0.7691747936557041,-0.11734672753722009,0.48580801950932767,-0.0254303872751497,0.131230199485175,0.1455342912290591,1109.0,0.2857305176301967,0.05736335927157316,0.3970874091043151,0.5638737208139273,0.0815180751631217,0.08559436284182419,0.9523766806204828,-0.11734672753722009,0.6946770214556326,-0.026726207007593015,0.13537113758978653,0.04440173312944998,328.0,0.25420568422119455,0.055449033958877486,0.38665958534248784,0.5366092790375594,-0.04455554634113135,0.05736243147434353,-0.7767374080204339,-0.07162056071879042,-0.6221055224082004,-0.015538619396703965,0.08599666320570395,0.004471826486696606,52.0,0.5634083786570776,0.028209793581015424,0.15446515658997795,0.70885348034268,-0.16741539327568833,0.0003918164977970151,-5.324155698890193e-05,-0.115640147454384,0.022407311926646023,0.0007506545718541993,research-only,Sharpe worsened vs GGG
b7_macro_stress_filter_medium,macro_filter,,,,,,,,,,,,,,,improved_phaseggg_confirmed_only_robust_offense,0.056058980739751796,0.07296791093696801,0.7682689557629971,-0.11243215884998181,0.4986027246399429,-0.025051739431947617,0.1359503513670696,0.15076893966608018,1109.0,0.29530571316455206,0.05591675634572226,0.38751221356995985,0.5734489163482827,0.08146807528943545,0.0842082026998199,0.9674600891298881,-0.11243215884998181,0.7245976251166562,-0.026229051503487588,0.13985340827001505,0.04587191791256494,328.0,0.2634048784199449,0.05424807029824422,0.3774603911437374,0.5458084732363099,-0.04368569374820963,0.05690054298996588,-0.7677553051807148,-0.07051204357288188,-0.6195493923397031,-0.015315778220341726,0.0862162523790532,0.004483245123710766,52.0,0.5700853404782195,0.02718325690305691,0.14778819476883615,0.7155304421638216,-0.16832123116839526,0.0053063851850352894,0.00032540628621318193,-0.11654598534709093,0.027321880613884297,0.0011293024150562832,research-only,Sharpe worsened vs GGG
b7_dollar_pressure_4w_mild,dollar_filter,,,,,,,,,,,,,,,improved_phaseggg_confirmed_only_robust_offense,0.05857700938954502,0.07612325807323632,0.7695021320972563,-0.1269938012492574,0.46125880801514746,-0.026077602034093882,0.12619644597568866,0.13995185858703874,1109.0,0.269860613821213,0.06025656512327496,0.41393768254563684,0.5480038170049436,0.08118183930549305,0.0878436731220449,0.9241626223063751,-0.12699380124925752,0.6392582827421089,-0.02754360908904408,0.13239171888038323,0.0434244837927657,328.0,0.24098532402664302,0.05785096128014401,0.4018422504831611,0.5233889188430079,-0.04573497985889918,0.05771975822675157,-0.7923626374045039,-0.07274147661159025,-0.6287331793263599,-0.015993546273699585,0.08876447867821656,0.00461575289126726,52.0,0.5556569474581704,0.030262866936932434,0.16781908023226155,0.7011020491437727,-0.16708805483413613,-0.009255257214240309,-0.0007004563159330839,-0.11531280901283181,0.012760238214608699,0.00010343981291001739,research-only,Sharpe worsened vs GGG; max drawdown worsened vs GGG
