annual_return,annual_volatility,sharpe,max_drawdown,calmar,cvar_5,average_turnover,annual_cost_drag,average_number_of_etfs_held,weeks,strategy_name,strategy_type,model_name,target,top_n,weighting,split,cost_bps
0.05701517980287285,0.23868154505697717,0.23887552675789156,-0.5087685846770589,0.11206505574447617,-0.07604124572576382,0.9208377706780262,0.047883564075257366,3.0,939,elasticnet_regression__forward_return_4w__top3__equal_weight,model,elasticnet_regression__forward_return_4w,forward_return_4w,3.0,equal_weight,train,10.0
0.06290514840451733,0.1846279449011771,0.3407130401531988,-0.2373056235618538,0.2650807320127459,-0.051367839114598586,1.0833333333333333,0.05633333333333333,3.0,104,elasticnet_regression__forward_return_4w__top3__equal_weight,model,elasticnet_regression__forward_return_4w,forward_return_4w,3.0,equal_weight,validation,10.0
0.06433248784216472,0.22133662600274834,0.29065450668506126,-0.4038131361290459,0.15931251880227615,-0.07032524004897316,0.9889558232931728,0.05142570281124498,2.9909638554216866,332,elasticnet_regression__forward_return_4w__top3__equal_weight,model,elasticnet_regression__forward_return_4w,forward_return_4w,3.0,equal_weight,holdout,10.0
0.05095866491527379,0.23124298535732657,0.22036847879528226,-0.5308900229151822,0.0959872341082123,-0.07426677203265877,1.013499516114681,0.052701974837963406,2.9148029818956336,939,elasticnet_regression__forward_return_4w__top3__inverse_vol,model,elasticnet_regression__forward_return_4w,forward_return_4w,3.0,inverse_vol,train,10.0
0.05907726053111384,0.17561924716568242,0.3363939971532805,-0.2059981191491247,0.28678543656190886,-0.05108332075502122,1.130497864045313,0.05878588893035627,3.0,104,elasticnet_regression__forward_return_4w__top3__inverse_vol,model,elasticnet_regression__forward_return_4w,forward_return_4w,3.0,inverse_vol,validation,10.0
0.06003976006380318,0.20231850467291704,0.2967586190935321,-0.39746828327616146,0.1510554743360176,-0.0655559207739118,1.0676490776769982,0.055517752039203894,2.9909638554216866,332,elasticnet_regression__forward_return_4w__top3__inverse_vol,model,elasticnet_regression__forward_return_4w,forward_return_4w,3.0,inverse_vol,holdout,10.0
0.08235890793610312,0.2207664384760796,0.37305900527550906,-0.43546162107484554,0.18913011836225074,-0.06935019660990537,0.8068157614483494,0.041954419595314166,5.0,939,elasticnet_regression__forward_return_4w__top5__equal_weight,model,elasticnet_regression__forward_return_4w,forward_return_4w,5.0,equal_weight,train,10.0
0.05235776123700853,0.1627087746363222,0.3217881847739051,-0.20922681021668532,0.2502440350870155,-0.04647701441548279,0.976923076923077,0.050800000000000005,5.0,104,elasticnet_regression__forward_return_4w__top5__equal_weight,model,elasticnet_regression__forward_return_4w,forward_return_4w,5.0,equal_weight,validation,10.0
0.07123551001211115,0.20998871427983468,0.33923494534654586,-0.37420369157644173,0.1903655993130663,-0.06631654870244752,0.9222891566265061,0.04795903614457832,4.984939759036145,332,elasticnet_regression__forward_return_4w__top5__equal_weight,model,elasticnet_regression__forward_return_4w,forward_return_4w,5.0,equal_weight,holdout,10.0
0.07405292885953574,0.21247298055511013,0.3485286866408328,-0.4778028255374842,0.15498637701908316,-0.06745098411081155,0.9171595364628001,0.0476922958960656,4.873269435569755,939,elasticnet_regression__forward_return_4w__top5__inverse_vol,model,elasticnet_regression__forward_return_4w,forward_return_4w,5.0,inverse_vol,train,10.0
