signal_name,avg_abs_redundancy_from_pairs,max_abs_redundancy,redundant_pair_count_075
bab_proxy,0.15341278398632177,0.526409374434566,0
bab_proxy_asset_class_neutral,0.08070491648000151,0.526409374434566,0
breadth_confirmed_momentum,0.3466140200500275,0.8371159769306097,3
carry_proxy,0.11738909714336702,0.8336458321714895,1
carry_proxy_asset_class_neutral,0.11879269176607853,0.8336458321714895,1
contained_recovery_quality,0.2800092361962198,0.4984056370701437,0
moving_average_distance,0.41837379032059085,0.9282588487114448,5
multi_mom_equal,0.42278083548126366,0.9846294969914076,5
multi_mom_invvol,0.41642459607515503,0.9846294969914076,5
quality_proxy,0.19440179581645292,0.6844872434751931,0
quality_proxy_asset_class_neutral,0.22152832010890633,0.6844872434751931,0
residual_momentum,0.21513434777193402,0.4792773852214481,0
reversal_1w_asset_class_neutral,0.09936202654154905,0.7299514955059995,0
reversal_1w_global,0.1134291412422052,0.7299514955059995,0
reversal_4w_asset_class_neutral,0.12267032408772925,0.7358742175562121,0
reversal_4w_global,0.147094280156462,0.7358742175562121,0
trend_clarity_momentum,0.41658493712344785,0.9410812553390197,5
tsmom_vol_scaled,0.3768720628989066,0.8589850742215924,2
value_proxy,0.3840008135822124,0.7297585448101617,0
value_proxy_asset_class_neutral,0.32502104420432015,0.7297585448101617,0
xsmom_asset_class_neutral,0.3327640174727401,0.7248204621589859,0
xsmom_global,0.41382866834595605,0.9410812553390197,5
