sleeve,ann_return,ann_vol,sharpe,max_drawdown,cvar_5,corr_with_ggg1,corr_with_production,corr_with_SPY,corr_with_BIL,avg_weight_ggg1,max_weight_ggg1,sleeve_flag
baseline_60_40_proxy,0.08087153420178472,0.10303110610921676,0.8072051248994362,-0.3138361944792649,-0.03273141716036425,0.6202275455520115,0.6113567293419286,-0.08230133796194834,-0.000913251204592217,0.0,0.0,LOW_WEIGHT_MONITOR
baseline_equal_weight_risk_assets,0.07289365403318993,0.11975420433755513,0.6482749063570181,-0.3809808300226196,-0.03904260163371842,0.6961065885208892,0.6875028416601985,-0.05948242632208454,0.00489636349096036,0.0,0.0,LOW_WEIGHT_MONITOR
baseline_market_proxy_buy_hold,0.10533090832091996,0.17557923579541276,0.6597338048444691,-0.5461301944883745,-0.05800426809633075,0.5601602392379307,0.5666256719216255,-0.09167527205115912,0.001405897944258597,0.0,0.0,LOW_WEIGHT_MONITOR
cash::BIL,0.01178928100671639,0.003449203945692913,3.4000880530149,-0.004669882347962062,-0.0006022155849385607,-0.004266446923237902,-0.009799452224875356,-0.1660772567414446,1.0,0.22535196017881856,1.0,CORE_KEEP
composite_anti_chop_clarity,0.0782716846938345,0.09739730363842133,0.8230452065099717,-0.18009823633129385,-0.030580523859171305,0.7494915706100815,0.7166344230219934,-0.02109103562744408,0.008594731626510699,0.0,0.0,LOW_WEIGHT_MONITOR
composite_breadth_filtered,0.0482222838913442,0.08840225488663178,0.5776435423473951,-0.23044138707226836,-0.029742229560700544,0.8272411410095735,0.8213839826477103,-0.07729562173112438,-0.006078414440521818,0.0,0.0,LOW_WEIGHT_MONITOR
composite_calm_carry_sleeve,0.007918929443715195,0.028690510038636152,0.28936052167207016,-0.11112797588185463,-0.011410484978835093,-0.07687638765086745,-0.0645320143702614,0.19703482417425464,0.10699049274351394,0.0,0.0,LOW_WEIGHT_MONITOR
composite_calm_trend_participation,0.07125310359491266,0.09859973925116233,0.7480184572817293,-0.18803756788835968,-0.032039354644612154,0.7465806158699256,0.7512317664522097,-0.02545321112933738,-0.01462018950766031,0.0,0.0,LOW_WEIGHT_MONITOR
composite_calm_trend_specialist,0.06989352383028069,0.085727532080949,0.8316112331403609,-0.18133588305994386,-0.02762220600551784,0.7483197887788803,0.7643180574530105,-0.01182630021163411,-0.02592533768980383,0.0,0.0,LOW_WEIGHT_MONITOR
composite_confirmation_aware_momentum,0.08392938017541285,0.14977676797794062,0.6139311713031166,-0.3831582601369423,-0.05046653175164016,0.8081452534745602,0.8147671436134497,-0.06591320333366416,-0.037757402553779865,0.0,0.0,LOW_WEIGHT_MONITOR
composite_equal_weight,0.06774656348367092,0.10788953189786196,0.6623275157390759,-0.25199014103459494,-0.035153706548108794,0.8039290291500644,0.7799278597037602,-0.043714919939213795,-0.033193996660335845,0.0,0.0,LOW_WEIGHT_MONITOR
composite_healthier_recovery_specialist,0.06226940282322535,0.09555575541541665,0.6805279119648285,-0.23002164207281617,-0.03230065023823157,0.688184005050351,0.6769841685238807,0.003687509374428608,-0.029780428326588962,0.0,0.0,LOW_WEIGHT_MONITOR
composite_ic_weighted,0.0830317764674593,0.1266012373648137,0.6942565799382613,-0.2747022863339439,-0.04245611385402696,0.8473503070378433,0.8515825170243696,-0.04077900228020694,-0.032552090732510905,0.0,0.0,LOW_WEIGHT_MONITOR
composite_macro_trend_diversifier_sleeve,0.026752488656363038,0.07081471033852643,0.40845739472154363,-0.18008584820234508,-0.024746354286411223,-0.05323293785917727,-0.0489805409695017,0.4451100381546528,-0.016290060128132406,0.0,0.0,LOW_WEIGHT_MONITOR
composite_recovery_confirmed_offense_sleeve,0.006224244741650287,0.031902382739785136,0.21041677057475422,-0.14994944041899372,-0.009300970689559257,-0.11274874808735517,-0.10030450326554997,0.15944178754023608,0.09136253248325617,0.0,0.0,LOW_WEIGHT_MONITOR
composite_recovery_transition,0.05585585136090909,0.09477840821333687,0.6213293158159402,-0.2519293423721266,-0.032360786940709534,0.716869074372542,0.7098416581232974,0.004621737442204562,-0.0401677402361065,0.0,0.0,LOW_WEIGHT_MONITOR
composite_regime_cash_component,0.01178928100671639,0.0034492039456929134,3.4000880530149,-0.004669882347962062,-0.0006022155849385607,-0.019523760360456485,-0.03177353116275574,0.13832137470534578,0.32945690686408075,0.0,0.0,LOW_WEIGHT_MONITOR
composite_regime_conditioned,0.07195071843083545,0.08031777101305507,0.9059092837944598,-0.12187109564754173,-0.026767689903000436,0.8784000017857703,0.9048598251174181,-0.05276558464084121,-0.004960798796014952,0.0,0.0,LOW_WEIGHT_MONITOR
composite_regime_defense_component,0.06021744764371828,0.09656639907765843,0.6543792898250513,-0.3204887006781676,-0.03277871539086493,0.6363851625117413,0.5288725497938325,-0.04904956582211254,0.01598149324510399,0.21715726897865606,0.4267260176954001,DIVERSIFIER_KEEP
composite_regime_offense_component,0.04804206706058434,0.1727178975372604,0.35954463282278043,-0.5064614472150677,-0.06023026788227578,0.7126679041021479,0.7153116065099423,-0.057967405170344564,-0.025958344403145615,0.09783956370612855,0.3138201478618982,STATE_SPECIFIC_KEEP
composite_selective_concentrated,0.0706984420858352,0.10185096244021594,0.7220838248507776,-0.18616989351137248,-0.032698880477085426,0.7622540878542705,0.7341095225269382,-0.021817749721654827,-0.028280639466874313,0.0,0.0,LOW_WEIGHT_MONITOR
composite_selective_signals,0.07574194973655812,0.09705275439127582,0.8013229527611835,-0.2202925323824808,-0.029671501042229605,0.8335365316467068,0.8127419435551935,-0.03743239113108444,-0.012112612700480727,0.15429464018463726,0.3089303970447237,CORE_KEEP
composite_selective_strength_weighted,0.07022120044672664,0.098529939222859,0.7385820957355441,-0.2015935297086382,-0.03153381301801752,0.8080826880039297,0.7844294942346807,-0.027977760000432964,-0.019764245247558026,0.0,0.0,LOW_WEIGHT_MONITOR
composite_selective_trend_ensemble,0.07574194973655812,0.09705275439127582,0.8013229527611835,-0.2202925323824808,-0.029671501042229605,0.8335365316467068,0.8127419435551935,-0.03743239113108444,-0.012112612700480727,0.0,0.0,LOW_WEIGHT_MONITOR
