security_id,permanent_id_source,ticker,first_observed_date,last_observed_date,delisting_date,knowledge_at_utc
yahoo-ticker:AAPL,synthetic_ticker_id_not_permanent,AAPL,1980-12-12,2026-08-12,,2026-08-13T07:03:31.178719+00:00
yahoo-ticker:AMD,synthetic_ticker_id_not_permanent,AMD,1980-03-17,2026-08-12,,2026-08-13T07:03:31.748330+00:00
yahoo-ticker:AVGO,synthetic_ticker_id_not_permanent,AVGO,2009-08-06,2026-08-12,,2026-08-13T07:03:32.340165+00:00
yahoo-ticker:COP,synthetic_ticker_id_not_permanent,COP,1981-12-31,2026-08-12,,2026-08-13T07:03:32.950255+00:00
yahoo-ticker:CRM,synthetic_ticker_id_not_permanent,CRM,2004-06-23,2026-08-12,,2026-08-13T07:03:33.497475+00:00
yahoo-ticker:CSCO,synthetic_ticker_id_not_permanent,CSCO,1990-02-16,2026-08-12,,2026-08-13T07:03:34.005150+00:00
yahoo-ticker:CVX,synthetic_ticker_id_not_permanent,CVX,1962-01-02,2026-08-12,,2026-08-13T07:03:34.893158+00:00
yahoo-ticker:EOG,synthetic_ticker_id_not_permanent,EOG,1989-10-04,2026-08-12,,2026-08-13T07:03:35.727805+00:00
yahoo-ticker:IBM,synthetic_ticker_id_not_permanent,IBM,1962-01-02,2026-08-12,,2026-08-13T07:03:36.566658+00:00
yahoo-ticker:KMI,synthetic_ticker_id_not_permanent,KMI,2011-02-11,2026-08-12,,2026-08-13T07:03:37.280675+00:00
yahoo-ticker:MPC,synthetic_ticker_id_not_permanent,MPC,2011-06-24,2026-08-12,,2026-08-13T07:03:37.644694+00:00
yahoo-ticker:MSFT,synthetic_ticker_id_not_permanent,MSFT,1986-03-13,2026-08-12,,2026-08-13T07:03:38.125838+00:00
yahoo-ticker:NVDA,synthetic_ticker_id_not_permanent,NVDA,1999-01-22,2026-08-12,,2026-08-13T07:03:38.732137+00:00
yahoo-ticker:ORCL,synthetic_ticker_id_not_permanent,ORCL,1986-03-12,2026-08-12,,2026-08-13T07:03:39.375239+00:00
yahoo-ticker:OXY,synthetic_ticker_id_not_permanent,OXY,1981-12-31,2026-08-12,,2026-08-13T07:03:40.165159+00:00
yahoo-ticker:PSX,synthetic_ticker_id_not_permanent,PSX,2012-04-12,2026-08-12,,2026-08-13T07:03:40.668745+00:00
yahoo-ticker:QCOM,synthetic_ticker_id_not_permanent,QCOM,1991-12-13,2026-08-12,,2026-08-13T07:03:41.202989+00:00
yahoo-ticker:SLB,synthetic_ticker_id_not_permanent,SLB,1981-12-31,2026-08-12,,2026-08-13T07:03:42.003486+00:00
yahoo-ticker:SPY,synthetic_ticker_id_not_permanent,SPY,1993-01-29,2026-08-12,,2026-08-13T07:03:42.688808+00:00
yahoo-ticker:WMB,synthetic_ticker_id_not_permanent,WMB,1981-12-31,2026-08-12,,2026-08-13T07:03:43.474509+00:00
yahoo-ticker:XLE,synthetic_ticker_id_not_permanent,XLE,1998-12-22,2026-08-12,,2026-08-13T07:03:44.102423+00:00
yahoo-ticker:XLK,synthetic_ticker_id_not_permanent,XLK,1998-12-22,2026-08-12,,2026-08-13T07:03:44.631380+00:00
yahoo-ticker:XOM,synthetic_ticker_id_not_permanent,XOM,1962-01-02,2026-08-12,,2026-08-13T07:03:45.456300+00:00
