security_id,ticker,universe,effective_from,effective_to,knowledge_at_utc,source_revision,point_in_time_membership
yahoo-ticker:AAPL,AAPL,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:31.178719+00:00,yfinance-1.5.2:2026-08-13T07:03:31.178719+00:00,false
yahoo-ticker:AMD,AMD,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:31.748330+00:00,yfinance-1.5.2:2026-08-13T07:03:31.748330+00:00,false
yahoo-ticker:AVGO,AVGO,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:32.340165+00:00,yfinance-1.5.2:2026-08-13T07:03:32.340165+00:00,false
yahoo-ticker:COP,COP,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:32.950255+00:00,yfinance-1.5.2:2026-08-13T07:03:32.950255+00:00,false
yahoo-ticker:CRM,CRM,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:33.497475+00:00,yfinance-1.5.2:2026-08-13T07:03:33.497475+00:00,false
yahoo-ticker:CSCO,CSCO,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:34.005150+00:00,yfinance-1.5.2:2026-08-13T07:03:34.005150+00:00,false
yahoo-ticker:CVX,CVX,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:34.893158+00:00,yfinance-1.5.2:2026-08-13T07:03:34.893158+00:00,false
yahoo-ticker:EOG,EOG,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:35.727805+00:00,yfinance-1.5.2:2026-08-13T07:03:35.727805+00:00,false
yahoo-ticker:IBM,IBM,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:36.566658+00:00,yfinance-1.5.2:2026-08-13T07:03:36.566658+00:00,false
yahoo-ticker:KMI,KMI,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:37.280675+00:00,yfinance-1.5.2:2026-08-13T07:03:37.280675+00:00,false
yahoo-ticker:MPC,MPC,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:37.644694+00:00,yfinance-1.5.2:2026-08-13T07:03:37.644694+00:00,false
yahoo-ticker:MSFT,MSFT,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:38.125838+00:00,yfinance-1.5.2:2026-08-13T07:03:38.125838+00:00,false
yahoo-ticker:NVDA,NVDA,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:38.732137+00:00,yfinance-1.5.2:2026-08-13T07:03:38.732137+00:00,false
yahoo-ticker:ORCL,ORCL,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:39.375239+00:00,yfinance-1.5.2:2026-08-13T07:03:39.375239+00:00,false
yahoo-ticker:OXY,OXY,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:40.165159+00:00,yfinance-1.5.2:2026-08-13T07:03:40.165159+00:00,false
yahoo-ticker:PSX,PSX,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:40.668745+00:00,yfinance-1.5.2:2026-08-13T07:03:40.668745+00:00,false
yahoo-ticker:QCOM,QCOM,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:41.202989+00:00,yfinance-1.5.2:2026-08-13T07:03:41.202989+00:00,false
yahoo-ticker:SLB,SLB,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:42.003486+00:00,yfinance-1.5.2:2026-08-13T07:03:42.003486+00:00,false
yahoo-ticker:SPY,SPY,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:42.688808+00:00,yfinance-1.5.2:2026-08-13T07:03:42.688808+00:00,false
yahoo-ticker:WMB,WMB,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:43.474509+00:00,yfinance-1.5.2:2026-08-13T07:03:43.474509+00:00,false
yahoo-ticker:XLE,XLE,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:44.102423+00:00,yfinance-1.5.2:2026-08-13T07:03:44.102423+00:00,false
yahoo-ticker:XLK,XLK,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:44.631380+00:00,yfinance-1.5.2:2026-08-13T07:03:44.631380+00:00,false
yahoo-ticker:XOM,XOM,portfolio_optimizer_free_current_etfs,,,2026-08-13T07:03:45.456300+00:00,yfinance-1.5.2:2026-08-13T07:03:45.456300+00:00,false
