outer_year,test_start,maximum_training_decision_date,maximum_training_label_end_date,embargo_pass,train_rows,test_rows,test_months,real_mean_rank_ic,real_positive_month_share,family_weights,selected_configs
2012,2012-01-01,2011-12-02,2011-12-30,True,2246,408,12,0.0160177061062217,0.5,"{""elastic_net"": 0.30652100271685134, ""hist_gradient_boosting"": 0.3948469446142929, ""ridge"": 0.29863205266885573}","{""elastic_net"": ""elastic_net-dd2ae2029359"", ""hist_gradient_boosting"": ""hist_gradient_boosting-798c686b7fa9"", ""ridge"": ""ridge-d3ccf501b007""}"
2013,2013-01-01,2012-11-02,2012-11-30,True,2620,408,12,0.05948561242678891,0.5833333333333334,"{""elastic_net"": 0.3119029460650393, ""hist_gradient_boosting"": 0.3821342933252383, ""ridge"": 0.30596276060972233}","{""elastic_net"": ""elastic_net-317772f571b5"", ""hist_gradient_boosting"": ""hist_gradient_boosting-428a5e78c7bb"", ""ridge"": ""ridge-d3ccf501b007""}"
2014,2014-01-01,2013-11-01,2013-11-29,True,3028,408,12,0.05258467023172908,0.5833333333333334,"{""elastic_net"": 0.3564508354474754, ""hist_gradient_boosting"": 0.3266219959747576, ""ridge"": 0.316927168577767}","{""elastic_net"": ""elastic_net-99d0c7de1040"", ""hist_gradient_boosting"": ""hist_gradient_boosting-0c4d84f610a9"", ""ridge"": ""ridge-89a1e12a82c0""}"
2015,2015-01-01,2014-11-07,2014-12-05,True,3436,409,12,0.0036796536796536946,0.6666666666666666,"{""elastic_net"": 0.3102211229843438, ""hist_gradient_boosting"": 0.3692565805066784, ""ridge"": 0.32052229650897773}","{""elastic_net"": ""elastic_net-99d0c7de1040"", ""hist_gradient_boosting"": ""hist_gradient_boosting-70a06d145a5c"", ""ridge"": ""ridge-a63fede2878d""}"
2016,2016-01-01,2015-11-06,2015-12-04,True,3844,420,12,-0.09593837535014003,0.3333333333333333,"{""elastic_net"": 0.3831515035722572, ""hist_gradient_boosting"": 0.3600602953912254, ""ridge"": 0.25678820103651745}","{""elastic_net"": ""elastic_net-6da92d318c10"", ""hist_gradient_boosting"": ""hist_gradient_boosting-55f92de2c009"", ""ridge"": ""ridge-a63fede2878d""}"
2017,2017-01-01,2016-12-02,2016-12-30,True,4299,420,12,0.14070961718020544,0.75,"{""elastic_net"": 0.2, ""hist_gradient_boosting"": 0.6, ""ridge"": 0.2}","{""elastic_net"": ""elastic_net-99d0c7de1040"", ""hist_gradient_boosting"": ""hist_gradient_boosting-d7879ba18957"", ""ridge"": ""ridge-4979b3f4e21b""}"
2018,2018-01-01,2017-12-01,2017-12-29,True,4719,420,12,-0.05469187675070023,0.5833333333333334,"{""elastic_net"": 0.2087917007376009, ""hist_gradient_boosting"": 0.5330509097283446, ""ridge"": 0.25815738953405454}","{""elastic_net"": ""elastic_net-3fd68254e0b3"", ""hist_gradient_boosting"": ""hist_gradient_boosting-60bbffbde328"", ""ridge"": ""ridge-a63fede2878d""}"
2019,2019-01-01,2018-11-02,2018-11-30,True,5104,420,12,0.17754435107376276,0.5833333333333334,"{""elastic_net"": 0.11519909629239321, ""hist_gradient_boosting"": 0.5700466457443277, ""ridge"": 0.31475425796327905}","{""elastic_net"": ""elastic_net-3fd68254e0b3"", ""hist_gradient_boosting"": ""hist_gradient_boosting-b5965c32b010"", ""ridge"": ""ridge-a63fede2878d""}"
2020,2020-01-01,2019-11-01,2019-11-29,True,5524,420,12,0.06612978524743231,0.6666666666666666,"{""elastic_net"": 0.340140116803313, ""hist_gradient_boosting"": 0.3313441804082523, ""ridge"": 0.3285157027884347}","{""elastic_net"": ""elastic_net-6da92d318c10"", ""hist_gradient_boosting"": ""hist_gradient_boosting-5bc6e71478b2"", ""ridge"": ""ridge-a63fede2878d""}"
2021,2021-01-01,2020-11-06,2020-12-04,True,5944,420,12,0.1314892623716153,0.5833333333333334,"{""elastic_net"": 0.318127908977335, ""hist_gradient_boosting"": 0.3758580491873469, ""ridge"": 0.306014041835318}","{""elastic_net"": ""elastic_net-ed48097726dd"", ""hist_gradient_boosting"": ""hist_gradient_boosting-bde3027f9824"", ""ridge"": ""ridge-48bf3ac658e3""}"
