decision_at,tradable_members,covered_members,missing_members,execution_price_coverage
2023-01-01 00:00:00+00:00,456,435,21,0.9539473684210527
2023-04-01 00:00:00+00:00,526,500,26,0.9505703422053232
2023-07-01 00:00:00+00:00,532,506,26,0.9511278195488722
2023-10-01 00:00:00+00:00,536,511,25,0.9533582089552238
2024-01-01 00:00:00+00:00,523,500,23,0.9560229445506692
2024-04-01 00:00:00+00:00,523,502,21,0.9598470363288719
2024-07-01 00:00:00+00:00,519,498,21,0.9595375722543352
2024-10-01 00:00:00+00:00,514,497,17,0.9669260700389105
2025-01-01 00:00:00+00:00,500,484,16,0.968
2025-04-01 00:00:00+00:00,495,484,11,0.9777777777777777
2025-07-01 00:00:00+00:00,489,480,9,0.9815950920245399
2025-10-01 00:00:00+00:00,482,474,8,0.983402489626556
2026-01-01 00:00:00+00:00,470,466,4,0.9914893617021276
2026-04-01 00:00:00+00:00,470,468,2,0.9957446808510638
