pair,lag,econ_story,leader_id,follower_id,mean_corr,std_corr,pct_above_threshold,sign_consistency,stability_score,n_windows
HYG_LQD_to_SPY,1,Credit risk appetite (HYG/LQD spread) leading equity,HYG_LQD_ratio,SPY,-0.10048655840278942,0.10621795483773565,0.3616580310880829,0.8227979274611399,0.5922279792746115,965
HYG_LQD_to_SPY,2,Credit risk appetite (HYG/LQD spread) leading equity,HYG_LQD_ratio,SPY,-0.0008589218325861169,0.15485520474658768,0.29771784232365145,0.43049792531120334,0.3641078838174274,964
HYG_LQD_to_SPY,4,Credit risk appetite (HYG/LQD spread) leading equity,HYG_LQD_ratio,SPY,-0.01068171537898945,0.16755496122976188,0.39397089397089397,0.5498960498960499,0.4719334719334719,962
HYG_LQD_to_SPY,8,Credit risk appetite (HYG/LQD spread) leading equity,HYG_LQD_ratio,SPY,0.018718887383636574,0.16009457249218997,0.3674321503131524,0.5772442588726514,0.4723382045929019,958
TLT_to_SPY,1,Bond momentum as risk-regime warning,TLT,SPY,0.09715784799835467,0.11451924112083373,0.37488457987072943,0.8024007386888273,0.5886426592797784,1083
TLT_to_SPY,2,Bond momentum as risk-regime warning,TLT,SPY,-0.04199706608282469,0.15472100238860814,0.3049907578558225,0.6404805914972274,0.47273567467652494,1082
TLT_to_SPY,4,Bond momentum as risk-regime warning,TLT,SPY,0.014652784486285469,0.14783139109434024,0.33055555555555555,0.5805555555555556,0.4555555555555556,1080
TLT_to_SPY,8,Bond momentum as risk-regime warning,TLT,SPY,-0.03396179641261915,0.13743513828344053,0.2992565055762082,0.6449814126394052,0.4721189591078067,1076
IWM_SPY_to_SPY,1,Small-cap relative performance leading broad equity,IWM_SPY_ratio,SPY,0.011308815371452067,0.16505996945753745,0.36934441366574333,0.48107109879963067,0.42520775623268703,1083
IWM_SPY_to_SPY,2,Small-cap relative performance leading broad equity,IWM_SPY_ratio,SPY,0.004493375667805852,0.12666687191695097,0.24676524953789278,0.5175600739371534,0.3821626617375231,1082
IWM_SPY_to_SPY,4,Small-cap relative performance leading broad equity,IWM_SPY_ratio,SPY,0.029468021829993602,0.15675127608360526,0.37592592592592594,0.5462962962962963,0.46111111111111114,1080
IWM_SPY_to_SPY,8,Small-cap relative performance leading broad equity,IWM_SPY_ratio,SPY,0.026144324725676495,0.14965698904631072,0.3392193308550186,0.5037174721189591,0.42146840148698883,1076
UUP_to_VWO,1,Dollar strength leading EM weakness,UUP,VWO,-0.012305730493659624,0.1682136249656628,0.411946446961895,0.5437693099897013,0.47785787847579814,971
UUP_to_VWO,2,Dollar strength leading EM weakness,UUP,VWO,0.01055630279773024,0.13868887319953954,0.28144329896907216,0.5144329896907216,0.3979381443298969,970
UUP_to_VWO,4,Dollar strength leading EM weakness,UUP,VWO,0.018466971311632028,0.13337708090280687,0.2882231404958678,0.5340909090909091,0.41115702479338845,968
UUP_to_VWO,8,Dollar strength leading EM weakness,UUP,VWO,-0.0031747587158407644,0.13457243301347185,0.28319502074688796,0.49896265560165975,0.39107883817427386,964
GLD_to_TLT,1,Gold vs duration as inflation/macro stress proxy,GLD,TLT,0.026297894277907338,0.16815710251517074,0.3878116343490305,0.5817174515235457,0.4847645429362881,1083
GLD_to_TLT,2,Gold vs duration as inflation/macro stress proxy,GLD,TLT,-0.012208957905886636,0.10216896102175425,0.14325323475046212,0.5295748613678374,0.33641404805914976,1082
GLD_to_TLT,4,Gold vs duration as inflation/macro stress proxy,GLD,TLT,-0.0015493456948105892,0.11530315902846382,0.20092592592592592,0.487962962962963,0.34444444444444444,1080
GLD_to_TLT,8,Gold vs duration as inflation/macro stress proxy,GLD,TLT,0.004713104978820111,0.13336207312048207,0.28903345724907065,0.5055762081784386,0.3973048327137546,1076
