scope,spearman_ic,n
full,-0.02167174571175539,1105
dev,-0.009435307312425846,1005
holdout,-0.08578457845784578,100
state_calm_trend,-0.016488190869009923,295
state_neutral_mixed,-0.044190402972138984,490
state_recovery_confirmed,0.047719722138326794,43
state_recovery_fragile,-0.11346938775510203,49
state_stressed_panic,0.010314100662463539,228
partial_full,-0.020207001802876323,
partial_dev,0.003454661075892541,
partial_holdout,-0.13546954695469546,
