treatment,lookback_weeks,skip_weeks,forward_horizon_weeks,observations,mean_ic,t_stat,bootstrap_p,share_positive,clears_bonferroni
raw,1,0,1,816,0.023570324262743175,5.6638395331694475,0.0,0.5772058823529411,True
raw,1,0,2,408,0.014350063864439338,2.540589523085578,0.0228,0.5588235294117647,False
raw,1,0,4,204,0.011479508740639539,1.5414061173374716,0.1964,0.5294117647058824,False
raw,1,1,1,815,-0.0013437666843334798,-0.34926538762543885,0.5756,0.48098159509202454,False
raw,1,1,2,407,0.008945865773285239,1.7687636705722571,0.0732,0.4987714987714988,False
raw,1,1,4,203,0.01334341968076909,2.0311958557819865,0.0336,0.5566502463054187,False
raw,2,0,1,815,0.01611588841131859,3.982670913983465,0.0,0.5521472392638037,True
raw,2,0,2,407,0.016854090099288822,3.2746360415862017,0.0,0.5552825552825553,True
raw,2,0,4,203,0.018006750970923222,2.586555069404026,0.0004,0.5714285714285714,True
raw,2,1,1,814,0.003310192997786706,0.848181912303174,0.4804,0.4963144963144963,False
raw,2,1,2,407,0.008175641110475022,1.5173640208510975,0.138,0.5307125307125307,False
raw,2,1,4,203,0.016756364256387858,2.511461771798346,0.0104,0.5960591133004927,False
raw,4,0,1,813,0.015776883156767306,3.740254674274982,0.0,0.5436654366543665,True
raw,4,0,2,406,0.016148923237257848,3.0740901527924684,0.0,0.5591133004926109,True
raw,4,0,4,203,0.02268827900984273,3.1054068046481986,0.0,0.5862068965517241,True
raw,4,1,1,812,0.005444984670191253,1.3617890366137004,0.16,0.5110837438423645,False
raw,4,1,2,406,0.011403238895817127,2.1379395440277733,0.0036,0.5221674876847291,False
raw,4,1,4,203,0.011968683423815562,1.6526560617100676,0.0268,0.541871921182266,False
excl_50pct,1,0,1,816,0.023252029628161485,5.5984970553638,0.0,0.5784313725490197,True
excl_50pct,1,0,2,408,0.014218488226103788,2.5131338108867847,0.0252,0.5612745098039216,False
excl_50pct,1,0,4,204,0.011152477964794924,1.491746172940181,0.2212,0.5294117647058824,False
excl_50pct,1,1,1,815,-0.0013788268450058304,-0.358502658618572,0.5704,0.4834355828220859,False
excl_50pct,1,1,2,407,0.008737638335619309,1.7208778286843935,0.0832,0.5012285012285013,False
excl_50pct,1,1,4,203,0.01351286273128432,2.0522975283769416,0.034,0.5467980295566502,False
excl_50pct,2,0,1,815,0.015861638688881338,3.909749467679669,0.0,0.5570552147239264,True
excl_50pct,2,0,2,407,0.016604843504022887,3.20759877831157,0.0,0.5503685503685504,True
excl_50pct,2,0,4,203,0.018021778313981867,2.578605409503605,0.002,0.5763546798029556,True
excl_50pct,2,1,1,814,0.0030143720635555115,0.7721326183344079,0.5452,0.5024570024570024,False
excl_50pct,2,1,2,407,0.007747341482905272,1.4341489327247359,0.1704,0.5282555282555282,False
excl_50pct,2,1,4,203,0.0165006672131973,2.47426996116808,0.0116,0.5862068965517241,False
excl_50pct,4,0,1,813,0.015198714042072865,3.600716187422718,0.0,0.5387453874538746,True
excl_50pct,4,0,2,406,0.01549074239107411,2.934140172916992,0.0,0.5566502463054187,True
excl_50pct,4,0,4,203,0.0217230164587584,2.9616945467648903,0.0,0.5714285714285714,True
excl_50pct,4,1,1,812,0.004860746380917695,1.2147131975067582,0.2224,0.5110837438423645,False
excl_50pct,4,1,2,406,0.010620718727041156,1.984058221878029,0.0092,0.5221674876847291,False
excl_50pct,4,1,4,203,0.010940358217572976,1.504415802835223,0.0364,0.5467980295566502,False
excl_100pct,1,0,1,816,0.02348078757598755,5.643032268019696,0.0,0.5772058823529411,True
excl_100pct,1,0,2,408,0.014202323062987752,2.5138243765941723,0.0244,0.5563725490196079,False
excl_100pct,1,0,4,204,0.011385531708633281,1.5280501408822318,0.2028,0.5245098039215687,False
excl_100pct,1,1,1,815,-0.0014750704547219207,-0.3833069929122628,0.5504,0.47975460122699387,False
excl_100pct,1,1,2,407,0.008799343854524808,1.7391515078662163,0.08,0.5012285012285013,False
excl_100pct,1,1,4,203,0.013271392465595444,2.0221549547220166,0.0368,0.5615763546798029,False
excl_100pct,2,0,1,815,0.015936504653686304,3.938227478534935,0.0,0.5533742331288344,True
excl_100pct,2,0,2,407,0.016602860934745813,3.2230788404594506,0.0,0.5552825552825553,True
excl_100pct,2,0,4,203,0.017832273509034043,2.561514837966365,0.0012,0.5714285714285714,True
excl_100pct,2,1,1,814,0.0031817626890845575,0.815222997358545,0.5032,0.5,False
excl_100pct,2,1,2,407,0.007975670561941263,1.4795056420304291,0.154,0.5307125307125307,False
excl_100pct,2,1,4,203,0.01646921292722395,2.467363356340779,0.012,0.5960591133004927,False
excl_100pct,4,0,1,813,0.015535387394537638,3.681182748290993,0.0,0.5399753997539976,True
excl_100pct,4,0,2,406,0.01587625859705259,3.0191703637512393,0.0,0.5566502463054187,True
excl_100pct,4,0,4,203,0.022247810705972246,3.0452779363126723,0.0,0.5812807881773399,True
excl_100pct,4,1,1,812,0.0052766770970368035,1.319514031155641,0.1748,0.5123152709359606,False
excl_100pct,4,1,2,406,0.011215437636075387,2.101481988906821,0.0044,0.5246305418719212,False
excl_100pct,4,1,4,203,0.011611821687493386,1.6029824821891514,0.03,0.5467980295566502,False
