candidate,recent_3y_50bps_cagr,recent_cagr_improvement,post_2024_cagr_improvement,full_cagr_improvement,recent_3y_100bps_cagr_improvement,recent_3y_50bps_sharpe,recent_3y_50bps_max_drawdown,recent_3y_annual_turnover,recent_turnover_reduction,maximum_prefix_difference,recent_cagr_gate,post_2024_gate,full_cagr_gate,recent_drawdown_gate,cost_stress_gate,prefix_gate,determinism_gate,manifest_gate,qualified_for_forward_challenger
asymmetric_entry050_exit010,0.13183696302838355,0.002963439688777436,0.003678402309439388,0.0016506424885869286,0.007115151806910802,1.5963120925235275,-0.0739002735689851,2.8108438749584486,0.7555818987247798,0.0,False,True,True,True,True,True,True,True,False
monthly_emergency_then_band010,0.13129906599278085,0.0024255426531747393,0.0033196967247164366,0.0028380571968378288,0.005808979598059816,1.5712023484407274,-0.07413709226596532,2.9491934361209364,0.6172323375622919,0.0,False,True,True,True,True,True,True,True,False
asset_deadband_010,0.13119175771760427,0.002318234377998163,0.003301549137428861,0.002327185940126819,0.004268227851762951,1.5635169127298865,-0.07357842629315303,3.2075249740894334,0.35890079959379495,0.0,False,True,True,True,True,True,True,True,False
execute_monthly,0.13111327839425946,0.0022397550546533473,0.0030565249388190274,0.0029225906193970363,0.004837506881774312,1.5664578444037247,-0.0737634077755569,3.0903919412222804,0.4760338324609479,0.0,False,True,True,True,True,True,True,True,False
execute_monthly_emergency,0.13111327839425946,0.0022397550546533473,0.0030565249388190274,0.0029114877193363586,0.004837506881774312,1.5664578444037247,-0.0737634077755569,3.0903919412222804,0.4760338324609479,0.0,False,True,True,True,True,True,True,True,False
adaptive_calm025_stress005,0.13082002657413372,0.0019465032345276079,0.0026525663925742737,0.0017955750600577858,0.005378829099269344,1.5706669514223728,-0.07474342981990778,2.9429664607787784,0.6234593129044499,0.0,False,True,True,True,True,True,True,True,False
asymmetric_entry025_exit005,0.1305115202262015,0.0016379968865953831,0.0018813016080414524,0.0013853210468146582,0.004242710567545771,1.5702693090659612,-0.07374954108865928,3.091765050816584,0.4746607228666444,0.0,False,True,True,True,True,True,True,True,False
asset_deadband_005,0.12881186129241073,-6.16620471953766e-05,-4.297022216803725e-05,0.0008031819846792132,0.0007745957105973478,1.540015311351309,-0.07453766902828418,3.415494141866214,0.1509316318170142,0.0,False,False,True,True,True,True,True,True,False
biweekly_then_band010,0.12705693553901032,-0.0018165878005957925,-0.0009439579605405868,-0.0031974032291812726,0.001605786173417778,1.493372921897907,-0.07551060859422465,2.9522976161890147,0.6141281574942137,0.0,False,False,False,True,True,True,True,True,False
execute_biweekly,0.12634954855632063,-0.0025239747832854764,-0.001612341244726423,-0.0035272307785589874,-0.0001330956080454193,1.4826046983160908,-0.07513446210772523,3.1397513540845385,0.4266744195986898,0.0,False,False,False,True,False,True,True,True,False
