candidate,recent_3y_50bps_cagr,recent_cagr_improvement,post_2024_cagr_improvement,full_cagr_improvement,recent_3y_100bps_cagr_improvement,recent_3y_50bps_sharpe,recent_3y_50bps_max_drawdown,recent_3y_annual_turnover,maximum_prefix_difference,recent_cagr_gate,post_2024_gate,full_cagr_gate,recent_drawdown_gate,cost_stress_gate,prefix_gate,determinism_gate,manifest_gate,qualified_for_forward_challenger
buffer_band_025,0.13135807116928389,0.0024845478296777745,0.0033785793416833965,0.001886265886014371,0.006090748347484576,1.57618685467098,-0.07474342981977533,2.910286794545328,0.0,False,True,True,True,True,True,True,True,False
breadth_conditional_vol14_buffer_010,0.13061805897607637,0.0017445356364702569,0.0021981411370699533,0.0016422790927612674,0.003742564022777284,1.565210875577384,-0.07392512547661967,3.2010812979065286,0.0,False,True,True,True,True,True,True,True,False
target_vol_14_buffer_010,0.13061804863248416,0.001744525292878052,0.0021981411387939076,0.0014448144512975158,0.0037425431337165804,1.565210753516451,-0.07392512547661956,3.201083218336917,0.0,False,True,True,True,True,True,True,True,False
buffer_band_010,0.1306171542157759,0.0017436308761697994,0.0021981411226836833,0.0013546839656104481,0.003741641412434049,1.565202706459203,-0.07392512547661967,3.2010868309776495,0.0,False,True,True,True,True,True,True,True,False
minimum_change_025,0.13049765516235046,0.0016241318227443458,0.001940828361608693,0.001358284742364546,0.00328643930089223,1.5589152030605575,-0.0736905539431405,3.2607906963061377,0.0,False,True,True,True,True,True,True,True,False
stagger_50,0.1299459300068253,0.0010724066672191945,0.002703581995528337,-0.0024872762279921634,0.004889019141349538,1.5566753699998495,-0.07560320409486077,2.880348772199337,0.0,False,True,True,True,True,True,True,True,False
target_vol_14,0.12887426683609782,7.434964917063525e-07,2.0236701203657503e-11,7.674510395694334e-05,7.143541573828571e-07,1.5437926417157037,-0.07364740799161307,3.566428898549206,0.0,False,True,True,True,True,True,True,True,False
target_vol_16,0.12887426683609782,7.434964917063525e-07,2.0236701203657503e-11,7.821747606140406e-05,7.143541576049017e-07,1.5437926417157044,-0.07364740799161307,3.5664288985492067,0.0,False,True,True,True,True,True,True,True,False
breadth_conditional_vol14,0.12887426494366738,7.416040612717723e-07,1.4674261805680544e-11,0.00027917152319067995,7.125754051262589e-07,1.5437926284379857,-0.07364740799161285,3.5664288854788424,0.0,False,True,True,True,True,True,True,True,False
breadth_cash_50,0.12685084622127651,-0.0020226771183295966,-0.000267110643211943,0.0002584240144454242,-0.004101230026011038,1.4895102766054102,-0.07564730687869636,3.9489173743454504,0.0,False,False,True,True,False,True,True,True,False
breadth_cash_100_buffer_010,0.12662771970041775,-0.0022458036391883596,0.0017931567843447738,0.0017502871122154762,-0.004616563329266077,1.4562418700326967,-0.0778304903785042,4.000916992230181,0.0,False,True,True,True,False,True,True,True,False
breadth_cash_100,0.12462680944309024,-0.004246713896515875,-0.0007309555799184242,0.00017853960879699038,-0.00858664722613467,1.434199411298617,-0.07765916715434829,4.365922455362111,0.0,False,False,True,True,False,True,True,True,False
