candidate,cutoff,shocked_date,maximum_prefix_difference
buffer_band_010,2023-12-29,2024-01-05,0.0
buffer_band_025,2023-12-29,2024-01-05,0.0
minimum_change_025,2023-12-29,2024-01-05,0.0
stagger_50,2023-12-29,2024-01-05,0.0
breadth_cash_50,2023-12-29,2024-01-05,0.0
breadth_cash_100,2023-12-29,2024-01-05,0.0
breadth_conditional_vol14,2023-12-29,2024-01-05,0.0
target_vol_14,2023-12-29,2024-01-05,0.0
target_vol_16,2023-12-29,2024-01-05,0.0
target_vol_14_buffer_010,2023-12-29,2024-01-05,0.0
breadth_cash_100_buffer_010,2023-12-29,2024-01-05,0.0
breadth_conditional_vol14_buffer_010,2023-12-29,2024-01-05,0.0
buffer_band_010,2024-12-27,2025-01-03,0.0
buffer_band_025,2024-12-27,2025-01-03,0.0
minimum_change_025,2024-12-27,2025-01-03,0.0
stagger_50,2024-12-27,2025-01-03,0.0
breadth_cash_50,2024-12-27,2025-01-03,0.0
breadth_cash_100,2024-12-27,2025-01-03,0.0
breadth_conditional_vol14,2024-12-27,2025-01-03,0.0
target_vol_14,2024-12-27,2025-01-03,0.0
target_vol_16,2024-12-27,2025-01-03,0.0
target_vol_14_buffer_010,2024-12-27,2025-01-03,0.0
breadth_cash_100_buffer_010,2024-12-27,2025-01-03,0.0
breadth_conditional_vol14_buffer_010,2024-12-27,2025-01-03,0.0
buffer_band_010,2025-12-26,2026-01-02,0.0
buffer_band_025,2025-12-26,2026-01-02,0.0
minimum_change_025,2025-12-26,2026-01-02,0.0
stagger_50,2025-12-26,2026-01-02,0.0
breadth_cash_50,2025-12-26,2026-01-02,0.0
breadth_cash_100,2025-12-26,2026-01-02,0.0
breadth_conditional_vol14,2025-12-26,2026-01-02,0.0
target_vol_14,2025-12-26,2026-01-02,0.0
target_vol_16,2025-12-26,2026-01-02,0.0
target_vol_14_buffer_010,2025-12-26,2026-01-02,0.0
breadth_cash_100_buffer_010,2025-12-26,2026-01-02,0.0
breadth_conditional_vol14_buffer_010,2025-12-26,2026-01-02,0.0
