counterfactual,window,cost_bps,interpretation,mean_bil_weight,mean_risky_weight,weeks,start,end,total_return,cagr,arithmetic_ann_return,ann_vol,sharpe_zero_rf,sortino_zero_target,max_drawdown,annual_one_way_turnover,cagr_difference_vs_baseline
baseline_50bps,full,50.0,observed benchmark,0.2693148530048212,0.7306851469951787,1110,2005-01-07,2026-04-10,2.275743077502497,0.05715980161663281,0.0585327458761064,0.07631986841198422,0.76693981651199,1.1087557607765077,-0.11872732187122248,3.209759437668418,0.0
baseline_50bps,recent_3y,50.0,observed benchmark,0.11271247397193408,0.8872875260280659,157,2023-04-14,2026-04-10,0.44194359060876365,0.1288735233396061,0.12459768180414243,0.08070915646662914,1.5437861979843626,2.483668936498169,-0.07364740799161307,3.5664257736832283,0.0
baseline_50bps,post_2024,50.0,observed benchmark,0.10878230863434794,0.8912176913656521,119,2024-01-05,2026-04-10,0.38736123885286755,0.15380721844103684,0.14652454041482144,0.08107769124307387,1.8072115543539038,2.9300202404801925,-0.07364740799161296,3.6968547783754016,0.0
baseline_gross_zero_cost,full,0.0,cost ceiling,0.2693148530048212,0.7306851469951787,1110,2005-01-07,2026-04-10,3.6114865111787875,0.07423390376451988,0.07456708468860312,0.07624426617690636,0.9780025230433494,1.445628276653205,-0.11588724717628995,3.209759437668418,0.01707410214788707
baseline_gross_zero_cost,recent_3y,0.0,cost ceiling,0.11271247397193408,0.8872875260280659,157,2023-04-14,2026-04-10,0.5215908606036281,0.14915581575659398,0.1424298106725586,0.08047852881493452,1.7697864606854954,2.9239590903647965,-0.07239540023551527,3.5664257736832283,0.020282292416987868
baseline_gross_zero_cost,post_2024,0.0,cost ceiling,0.10878230863434794,0.8912176913656521,119,2024-01-05,2026-04-10,0.4472785312577088,0.17532298342566022,0.1650088143066984,0.0805242254156607,2.0491822610516754,3.414296255571188,-0.07239540023551516,3.6968547783754016,0.021515764984623376
cash_fully_reinvested,full,50.0,cash ceiling; pro-rata risky holdings,0.07297297297297298,0.927027027027027,1110,2005-01-07,2026-04-10,3.20768625996881,0.06963218735801968,0.07220533495975212,0.0983563742900159,0.7341195268833903,1.0631817624121451,-0.17587395401204986,3.123243652727685,0.012472385741386871
cash_fully_reinvested,recent_3y,50.0,cash ceiling; pro-rata risky holdings,0.0,1.0,157,2023-04-14,2026-04-10,0.5118181884775228,0.14670600168600356,0.14115602495810187,0.09063688117355778,1.55737954716035,2.4941114132823468,-0.07753825084701538,3.452814280206602,0.01783247834639745
cash_fully_reinvested,post_2024,50.0,cash ceiling; pro-rata risky holdings,0.0,1.0,119,2024-01-05,2026-04-10,0.45263489945375124,0.17722178712110193,0.1674431458500392,0.09010615174922057,1.8582876152125496,2.989032807142112,-0.07753825084701527,3.5734460110699917,0.023414568680065084
etf_cap_removed,full,50.0,35% ETF cap ceiling,0.26246330911200216,0.7375366908879979,1110,2005-01-07,2026-04-10,2.373169650762825,0.058612271236744506,0.0600117837672656,0.07767552715268718,0.7725957707284062,1.1194869315051068,-0.12415462992767701,3.2650146964613938,0.001452469620111696
etf_cap_removed,recent_3y,50.0,35% ETF cap ceiling,0.08829952038912402,0.911700479610876,157,2023-04-14,2026-04-10,0.459183465452248,0.13332604989183539,0.12876298948578632,0.08340427973586785,1.5438415138115753,2.4801534991269927,-0.07364740799161307,3.654380821022807,0.0044525265522292745
etf_cap_removed,post_2024,50.0,35% ETF cap ceiling,0.10075556308199311,0.8992444369180069,119,2024-01-05,2026-04-10,0.40020105801664996,0.1584612728233019,0.15059087837591992,0.08144757744807285,1.848930110560128,3.013665962616092,-0.07364740799161307,3.754632470133808,0.0046540543822650715
target_vol_14,full,50.0,14% volatility budget,0.2665042133819696,0.7334957866180304,1110,2005-01-07,2026-04-10,2.280823037260728,0.057236546720589754,0.05863663504393249,0.0767293193230943,0.7642011627527079,1.1052422869625838,-0.11872732187122248,3.2211231768343755,7.674510395694334e-05
