candidate,first_hash,second_hash,hash_equal,maximum_difference
buffer_band_010,a9b922f154d65f9926dd02e7bffc529558196a259f6cb9f7454fc4db29c0acdf,a9b922f154d65f9926dd02e7bffc529558196a259f6cb9f7454fc4db29c0acdf,True,0.0
buffer_band_025,d56616228d2815acd2ad8f6ab35df23b05c8a94a2e8ccb90edf46baf48162157,d56616228d2815acd2ad8f6ab35df23b05c8a94a2e8ccb90edf46baf48162157,True,0.0
minimum_change_025,d889a3f78b00bdb9bd8177a4a09e678ebf8a384b72b26d3559c20eeec5613040,d889a3f78b00bdb9bd8177a4a09e678ebf8a384b72b26d3559c20eeec5613040,True,0.0
stagger_50,f23c24821a76adfdddf7399b785d40b8432900f79cb5fae479503de138fc5d94,f23c24821a76adfdddf7399b785d40b8432900f79cb5fae479503de138fc5d94,True,0.0
breadth_cash_50,78accba09a5a09a36547a5ba7bbdb29e1db99e3b5c056b4af13a849c5847c8b9,78accba09a5a09a36547a5ba7bbdb29e1db99e3b5c056b4af13a849c5847c8b9,True,0.0
breadth_cash_100,e3b0114883c6dfc3fbee0ffe9427541925ba4d74bed9de3d81bf8645d1045e34,e3b0114883c6dfc3fbee0ffe9427541925ba4d74bed9de3d81bf8645d1045e34,True,0.0
breadth_conditional_vol14,9677fb1312773da81b58f40add29bf6f8b264f21353cfb8580284c6e282e16bf,9677fb1312773da81b58f40add29bf6f8b264f21353cfb8580284c6e282e16bf,True,0.0
target_vol_14,67cb043326038d1692c9be93fa8ce1a105315a2d20296b0113292e889df7ca87,67cb043326038d1692c9be93fa8ce1a105315a2d20296b0113292e889df7ca87,True,0.0
target_vol_16,31c7d8195da0a370a53eb2af8bf792d2a61b068d5e26c7233a8e9e41276be85b,31c7d8195da0a370a53eb2af8bf792d2a61b068d5e26c7233a8e9e41276be85b,True,0.0
target_vol_14_buffer_010,632a9c5cbd75959ace15cc183aa55c7e166ff4d6a1f2e6c4a41ec7a2af6151c4,632a9c5cbd75959ace15cc183aa55c7e166ff4d6a1f2e6c4a41ec7a2af6151c4,True,0.0
breadth_cash_100_buffer_010,d99c138fa88ad498e37ce7bf29115cfb89137315a4b9e66f52c512422e49e963,d99c138fa88ad498e37ce7bf29115cfb89137315a4b9e66f52c512422e49e963,True,0.0
breadth_conditional_vol14_buffer_010,2b9e992b9016b290e26336792f3f569a5cb42a32743713bfa534e3884a5c1af6,2b9e992b9016b290e26336792f3f569a5cb42a32743713bfa534e3884a5c1af6,True,0.0
