candidate,cost_bps,window,weeks,start,end,total_return,cagr,arithmetic_ann_return,ann_vol,sharpe_zero_rf,sortino_zero_target,max_drawdown,annual_one_way_turnover
benchmark,10,full,1110,2005-01-07,2026-04-10,3.3067577729266358,0.07079898001966267,0.0713602169261038,0.07624227897798382,0.9359664727061766,1.3773252774763698,-0.11645533666874597,3.209759437668418
benchmark,10,recent_3y,157,2023-04-14,2026-04-10,0.5053256272941691,0.14507258501260978,0.13886338489887534,0.08050700769124426,1.7248608398344156,2.83451510867115,-0.07264584011748587,3.5664257736832283
benchmark,10,post_2024,119,2024-01-05,2026-04-10,0.43509809769940255,0.17099030463335674,0.161311959528323,0.08061683559340065,2.0009711165285196,3.3157468753296917,-0.07264584011748587,3.6968547783754016
benchmark,50,full,1110,2005-01-07,2026-04-10,2.275743077502497,0.05715980161663281,0.0585327458761064,0.07631986841198422,0.76693981651199,1.1087557607765077,-0.11872732187122248,3.209759437668418
benchmark,50,recent_3y,157,2023-04-14,2026-04-10,0.44194359060876365,0.1288735233396061,0.12459768180414243,0.08070915646662914,1.5437861979843626,2.483668936498169,-0.07364740799161307,3.5664257736832283
benchmark,50,post_2024,119,2024-01-05,2026-04-10,0.38736123885286755,0.15380721844103684,0.14652454041482144,0.08107769124307387,1.8072115543539038,2.9300202404801925,-0.07364740799161296,3.6968547783754016
benchmark,100,full,1110,2005-01-07,2026-04-10,1.3258499577763274,0.04033496837843065,0.042498407063609654,0.07660861401720612,0.554747107865241,0.7845856399814094,-0.13300464199396533,3.209759437668418
benchmark,100,recent_3y,157,2023-04-14,2026-04-10,0.36636734922258185,0.10892284240108774,0.10676555293572629,0.08115891527409115,1.3155123201826442,2.061718177936216,-0.07489893667139857,3.5664257736832283
benchmark,100,post_2024,119,2024-01-05,2026-04-10,0.3298484956013219,0.1326570320287308,0.12804026652294437,0.08185410633159677,1.5642497641382118,2.468995188307261,-0.07489893667139869,3.6968547783754016
buffer_band_010,10,full,1110,2005-01-07,2026-04-10,3.307789181823577,0.07081099212627628,0.07137236066724605,0.0762515748563494,0.9360116273231691,1.376594162262613,-0.11700266134821147,2.8916462664538445
buffer_band_010,10,recent_3y,157,2023-04-14,2026-04-10,0.5057093683492766,0.14516925852561613,0.13893899083797132,0.08039580649812376,1.728187039720956,2.8433597674574576,-0.07304757929148753,3.2010868309776495
buffer_band_010,10,post_2024,119,2024-01-05,2026-04-10,0.4363601157720325,0.17144017375894594,0.16168552811175627,0.08047268537442906,2.0091976222671617,3.3350716007685053,-0.07304757929148742,3.3163970693224387
buffer_band_010,50,full,1110,2005-01-07,2026-04-10,2.366524757856486,0.05851448558224326,0.059816195948336794,0.07633739927827735,0.7835765498151855,1.1340283543486114,-0.11917833583643267,2.8916462664538445
buffer_band_010,50,recent_3y,157,2023-04-14,2026-04-10,0.44867848704000046,0.1306171542157759,0.12613464351406076,0.08058677830899116,1.565202706459203,2.526080308140576,-0.07392512547661967,3.2010868309776495
buffer_band_010,50,post_2024,119,2024-01-05,2026-04-10,0.39341727264967186,0.15600535956372052,0.1484199398344665,0.08091723717082461,1.8342190740044269,2.9848524336560076,-0.07392512547661956,3.3163970693224387
buffer_band_010,100,full,1110,2005-01-07,2026-04-10,1.4727178371616554,0.043323497256217536,0.04537099004970025,0.07663194060754058,0.5920636968083742,0.8399846459866329,-0.1297068610185359,2.8916462664538445
buffer_band_010,100,recent_3y,157,2023-04-14,2026-04-10,0.3803343528938572,0.11266448381352179,0.11012920935917252,0.08101943602876636,1.359293704785486,2.1422317217228484,-0.07502189414156313,3.2010868309776495
buffer_band_010,100,post_2024,119,2024-01-05,2026-04-10,0.34147486891185785,0.13697353031354953,0.13183795448785432,0.08167106863628652,1.6142552887973185,2.5636462307532226,-0.07502189414156313,3.3163970693224387
buffer_band_025,10,full,1110,2005-01-07,2026-04-10,3.2576844805443343,0.07022426492931344,0.07083090981340631,0.07634391757832176,0.9277872037512404,1.36203251972347,-0.11931171924318529,2.628509857245566
buffer_band_025,10,recent_3y,157,2023-04-14,2026-04-10,0.5034088042214693,0.14458944467557733,0.1384201739604345,0.08025672421767752,1.7247174652307298,2.8353699720569705,-0.0739672758279305,2.910286794545328
buffer_band_025,10,post_2024,119,2024-01-05,2026-04-10,0.43578498077916916,0.17123518411913663,0.16149099299126768,0.08023328178281602,2.0127681356523426,3.338141284215032,-0.07396727582793061,3.017369504209446
buffer_band_025,50,full,1110,2005-01-07,2026-04-10,2.4027987303559724,0.05904606750264718,0.060326342492017716,0.07643308570867002,0.7892700122294647,1.1419366030498268,-0.12138823917538233,2.628509857245566
buffer_band_025,50,recent_3y,157,2023-04-14,2026-04-10,0.45154668808162746,0.13135807116928389,0.12677902678225314,0.08043400844674442,1.57618685467098,2.546528925293404,-0.07474342981977533,2.910286794545328
buffer_band_025,50,post_2024,119,2024-01-05,2026-04-10,0.3966755935595201,0.15718579778272024,0.14942151497442988,0.08064422618087838,1.8528482701202895,3.0184114595743945,-0.07474342981977522,3.017369504209446
buffer_band_025,100,full,1110,2005-01-07,2026-04-10,1.570473906620372,0.04522027514998528,0.04719563334028199,0.07671877595954979,0.615177089962515,0.8741687735166722,-0.12906517922153282,2.628509857245566
buffer_band_025,100,recent_3y,157,2023-04-14,2026-04-10,0.38915183450009505,0.11501359074857231,0.11222759280952653,0.08083500418972786,1.3883538936438615,2.1955028011097886,-0.07571358450777688,2.910286794545328
buffer_band_025,100,post_2024,119,2024-01-05,2026-04-10,0.3492249669335987,0.1398392031609692,0.13433466745338266,0.08134119664847976,1.6514960805644028,2.631996533294563,-0.0757135845077771,3.017369504209446
minimum_change_025,10,full,1110,2005-01-07,2026-04-10,3.331921026925741,0.07109125946675654,0.07163740163248318,0.07629126955539121,0.9389986829419702,1.3817807855438804,-0.1169191303094338,2.956478150026653
minimum_change_025,10,recent_3y,157,2023-04-14,2026-04-10,0.5063265498058807,0.14532470668037178,0.1390935486538165,0.08062780301647277,1.7251313250517173,2.839205869605168,-0.07284792148638797,3.2607906963061377
minimum_change_025,10,post_2024,119,2024-01-05,2026-04-10,0.4364520511503409,0.17147293708630063,0.16173749362417986,0.08077322222147676,2.0023652539291112,3.324380254704585,-0.07284792148638797,3.378251167599767
minimum_change_025,50,full,1110,2005-01-07,2026-04-10,2.3667692223935544,0.05851808635899736,0.05982214300769198,0.07637082592479158,0.7833114580507954,1.1338935056604282,-0.11908946861463499,2.956478150026653
minimum_change_025,50,recent_3y,157,2023-04-14,2026-04-10,0.4482162434792256,0.13049765516235046,0.12605038586859196,0.0808577564842027,1.5589152030605575,2.5152572272302196,-0.0736905539431405,3.2607906963061377
minimum_change_025,50,post_2024,119,2024-01-05,2026-04-10,0.3927075902989601,0.15574804680264553,0.1482244889537808,0.08126329475082111,1.8240029450969693,2.966536448913738,-0.07369055394314039,3.378251167599767
