cik10,ticker,source,price_file,rows,first_date,last_date,sha256
0000788965,HNRG,yahoo_repair_v1,data/daily_audit_price_source_repairs_v1/yahoo/HNRG.csv.gz,2163,2018-01-02,2026-08-11,cdb4b464c56da13011bdcea48bc45791a14a52d6e33a89af03530c042654c983
0000927003,AEIS,yahoo_repair_v1,data/daily_audit_price_source_repairs_v1/yahoo/AEIS.csv.gz,2163,2018-01-02,2026-08-11,9834779ec78597888516befa825c7772868f5607073e5f5f9752bae774f2cff1
0000945983,CLMB,yahoo_repair_v1,data/daily_audit_price_source_repairs_v1/yahoo/CLMB.csv.gz,2163,2018-01-02,2026-08-11,a8a837d3d7fd0381d0ada50da3fe819f1a55d0d4ac15cd2dd5ef4b6c1cf1b68f
0001039399,FORM,yahoo_repair_v1,data/daily_audit_price_source_repairs_v1/yahoo/FORM.csv.gz,2163,2018-01-02,2026-08-11,bd4326febbc9768335dd712b08f22371af4df1228d3ccb0d1d972319a08abf3d
0001124804,MDRX,yahoo_repair_v1,data/daily_audit_price_source_repairs_v1/yahoo/MDRX.csv.gz,2163,2018-01-02,2026-08-11,fc2aef77126d9ff6db745aaad60aff4970bbde932cddadd9a8cd10948ee4ab79
0001361113,VRNS,yahoo_repair_v1,data/daily_audit_price_source_repairs_v1/yahoo/VRNS.csv.gz,2163,2018-01-02,2026-08-11,483c67bfdd04be9f1dd1280e367bafa0260f9557ef2f7acbbaf911976e0a3807
0001463101,ENPH,yahoo_repair_v1,data/daily_audit_price_source_repairs_v1/yahoo/ENPH.csv.gz,2163,2018-01-02,2026-08-11,94c312ae39d8342d6275b294ac45fdfd970bddea243bf9aab1688f62ec808759
0001520006,MTDR,yahoo_repair_v1,data/daily_audit_price_source_repairs_v1/yahoo/MTDR.csv.gz,2163,2018-01-02,2026-08-11,9344884fcf82f1ca4829c11a18b38df88c27c3f54092dd616d346ab9c8d2af84
0001650372,TEAM,yahoo_repair_v1,data/daily_audit_price_source_repairs_v1/yahoo/TEAM.csv.gz,2163,2018-01-02,2026-08-11,83726d95041a82821b8ef6ac8bfcad11959c9aca82d4d307969c4554fd3854a8
0001653482,GTLB,yahoo_repair_v1,data/daily_audit_price_source_repairs_v1/yahoo/GTLB.csv.gz,1210,2021-10-14,2026-08-11,1645b01f00d5cb86ffb06bc5dce281fe544c4f816fc83189741d90ebad309b7c
0001679268,TUSK,yahoo_repair_v1,data/daily_audit_price_source_repairs_v1/yahoo/TUSK.csv.gz,2163,2018-01-02,2026-08-11,e138c8f587ca4f6b5e527c567d0b8f142eb2e7a8e7c55fcf6c7ebcc8b99b8fb2
0001694028,LBRT,yahoo_repair_v1,data/daily_audit_price_source_repairs_v1/yahoo/LBRT.csv.gz,2156,2018-01-11,2026-08-11,3793e87789b06dc67420b6437ba4f2e461386db0172e9e06b875ed73ec07154a
0001701732,ALTR,tiingo_repair_v1,data/daily_audit_price_source_repairs_v1/tiingo/ALTR/prices.csv.gz,1506,2019-04-01,2025-03-26,fe00d55871f2d8c42db9b596b19f5320d0e57e5a860491ff36e2650a7da74496
0001713445,RDDT,yahoo_repair_v1,data/daily_audit_price_source_repairs_v1/yahoo/RDDT.csv.gz,599,2024-03-21,2026-08-11,25cc4e62f16572275257b0f1444afcc74f8ec594b82c1bc50f7639924bba626e
0001713683,ZS,yahoo_repair_v1,data/daily_audit_price_source_repairs_v1/yahoo/ZS.csv.gz,2112,2018-03-16,2026-08-11,80972c7763805b2a48427b7f1e2cb1386d77ed8ab04398386837f879423fc8a8
0001827075,CVT,tiingo_repair_v1,data/daily_audit_price_source_repairs_v1/tiingo/CVT/prices.csv.gz,303,2022-04-01,2023-06-15,4fd10bc73d085afb01f21f4bcd416eec9b3b533452801c4f7ace960325978e46
0001855747,BLND,yahoo_repair_v1,data/daily_audit_price_source_repairs_v1/yahoo/BLND.csv.gz,1273,2021-07-16,2026-08-11,1c3589d24f36fa789f71c4f9ab88a76c40e911cc27919884325704d30e63eb2f
0001863105,ESMT,tiingo_repair_v1,data/daily_audit_price_source_repairs_v1/tiingo/ESMT/prices.csv.gz,205,2023-04-03,2024-01-25,e33eaa86d20d369275903a2c9d295b39b58f049a282a31d9230f412c2b0c4c5b
