decision_date,realization_date,net_return,turnover,mean_invested_weight,daily_observations
2005-02-18,2005-02-25,-6.32780562769e-05,1.25641968542,1,4
2005-02-25,2005-03-04,0.00761743324048,0.537113521666,1,5
2005-03-04,2005-03-11,-0.0117981201465,0.152788036881,1,5
2005-03-11,2005-03-18,-0.0113196823312,0.681909786218,0.88,5
2005-03-18,2005-03-25,-0.0159352065451,0.00745268282091,0.6,4
2005-03-25,2005-04-01,-0.00893253316623,0.595306813281,0.08,5
2005-04-01,2005-04-08,-0.00192032515487,0.201291419619,0.08,5
2005-04-08,2005-04-15,0.00477206643983,0.00354260123717,0.2,5
2005-04-15,2005-04-22,0.00167177873308,0.406251875311,0.52,5
2005-04-22,2005-04-29,0.00838666256338,0.206887983952,0.8,5
2005-04-29,2005-05-06,-0.00688714931199,0.00895330708577,0.8,5
2005-05-06,2005-05-13,-0.0112004151965,0.682621727854,0.96,5
2005-05-13,2005-05-20,0.0140206437673,0.844904199339,0.92,5
2005-05-20,2005-05-27,0.00503078012488,0.149951352019,1,5
2005-05-27,2005-06-03,0.00726646390992,0.00765792154774,1,4
2005-06-03,2005-06-10,0.000208201148405,0.240880244343,1,5
2005-06-10,2005-06-17,0.0144684541674,0.206164669438,1,5
2005-06-17,2005-06-24,-0.00919400168734,0.109799952105,1,5
2005-06-24,2005-07-01,0.000638712086373,0.107638600361,1,5
2005-07-01,2005-07-08,0.0049067760838,0.366466105312,1,4
2005-07-08,2005-07-15,0.00300694732683,0.823542782002,1,5
2005-07-15,2005-07-22,0.012645025131,0.0105010255824,1,5
2005-07-22,2005-07-29,0.00749740916368,0.0106626176522,1,5
2005-07-29,2005-08-05,-0.00957959656706,0.378208755777,1,5
2005-08-05,2005-08-12,0.0146921583389,0.140528753347,1,5
2005-08-12,2005-08-19,-0.0144604978066,0.415442056094,1,5
2005-08-19,2005-08-26,-0.000332405469892,0.273625190523,1,5
2005-08-26,2005-09-02,0.0176867194089,0.177978999192,1,5
2005-09-02,2005-09-09,0.00470199656897,0.531199616352,1,4
2005-09-09,2005-09-16,-0.00241310862806,0.108202478961,1,5
2005-09-16,2005-09-23,-0.0153887619837,0.480778097985,1,5
2005-09-23,2005-09-30,0.0188999007218,0.344701384607,0.8,5
2005-09-30,2005-10-07,-0.0308260497782,0.743135342111,0.96,5
2005-10-07,2005-10-14,-0.00605799107637,0.606168254621,0.68,5
