family,benchmark,full_cagr,full_sharpe,full_max_drawdown,recent_cagr,recent_sharpe,recent_max_drawdown,recent_cagr_improvement_vs_control,full_cagr_improvement_vs_control,severe_cost_recent_cagr,worst_delay_recent_cagr,adverse_missing_recent_cagr,maximum_positive_issuer_share,worst_sector_removed_recent_cagr,minimum_rolling_outperformance_share,raw_bootstrap_probability_positive,familywise_adjusted_probability_positive,passes_frozen_gates
adaptive_concentration,sec_cash_conversion_breadth20_dynamic_v1,0.07563414839091132,0.435772669068653,-0.29074819414455055,0.053110912851335845,0.3390347293825853,-0.19097930413900277,-1.04591753930897,-0.2997211640210329,-0.02484616402596518,0.02079140598718987,-0.9278647645105628,0.08120463352904128,0.0027975933826707156,0.3235294117647059,0.0152,0.0,False
confidence_weighted_ml,sec_cash_conversion_breadth20_dynamic_v1,0.08683914136338666,0.4939421749768836,-0.4263794572210158,-0.19184730077418233,-0.4644314217661605,-0.42637945722101567,-1.290875752934488,-0.28851617104855753,-0.2610455278149366,-0.2619647006020528,-0.5184461077820663,0.08777006466219649,-0.20924254173940893,0.3,0.0376,0.0,False
event_conditioning,sec_cash_conversion_breadth20_dynamic_v1,0.21745234708867467,1.0431874318608034,-0.2475828555274182,0.15113006986173505,0.8439894882156914,-0.15945852072251065,-0.9478983822985707,-0.15790296532326953,0.09006091239366754,0.0978531177734947,-0.36672595406167174,0.12933011321925592,0.01222735668526398,0.4,0.126,0.0,False
holding_and_exit,sec_cash_conversion_breadth20_dynamic_v1,0.24749297985773722,1.245207318471131,-0.1940022709198781,0.18008427938807747,1.1290714425219874,-0.14116249031061223,-0.9189441727722283,-0.12786233255420698,0.1515070817814015,0.16792190869795842,-0.21856752788428246,0.1175187370088481,0.09332745185998181,0.47058823529411764,0.173,0.0,False
quality_momentum,sec_cash_conversion_breadth20_dynamic_v1,0.18591859223146168,0.9734113567328163,-0.22211710678074992,0.09408629164395754,0.6680307138415754,-0.12484297403979427,-1.0049421605163482,-0.18943672018048252,0.04171472511139318,0.0645660298049211,-0.2757847052299712,0.10341177651139645,0.08809703073310438,0.4235294117647059,0.0846,0.0,False
residual_momentum,sec_cash_conversion_breadth20_dynamic_v1,0.40815633077516256,1.4235072578514099,-0.20077042907913378,1.0119865490259032,2.322984256005565,-0.18539546507531546,-0.08704190313440252,0.03280101836321836,0.8809278455648546,0.9039321578129258,0.29190042170983865,0.04616287426689241,0.3905221361144944,0.6470588235294118,0.6212,0.0,False
strategy_allocator,sec_cash_conversion_breadth20_dynamic_v1,0.1574523252496085,0.8467945609251676,-0.19052264882188985,0.4406132372470919,1.605377608912986,-0.16330830942030117,-0.6584152149132139,-0.2179029871623357,0.18606504284368053,0.45116134786313156,0.20518365129828564,0.05307612832354727,0.110971644233818,0.25882352941176473,0.0188,0.0,False
trend_quality,sec_cash_conversion_breadth20_dynamic_v1,0.13683527928090666,0.6268126884454317,-0.3807383458955724,0.37831308444276845,1.1776043727876724,-0.22951850223083226,-0.7207153677175373,-0.23852003313103753,0.26819052436068214,0.43593383475673186,-0.3363611265816405,0.042026866706190005,0.12653940987467038,0.25882352941176473,0.067,0.0,False
adaptive_concentration,candidate_return_first_60_40_forward_v1,0.07563414839091132,0.435772669068653,-0.29074819414455055,0.053110912851335845,0.3390347293825853,-0.19097930413900277,-0.6527235339264852,-0.3025721345438659,-0.02484616402596518,0.02079140598718987,-0.9278647645105628,0.08120463352904128,0.0027975933826707156,0.1527777777777778,0.0086,0.0,False
confidence_weighted_ml,candidate_return_first_60_40_forward_v1,0.08683914136338666,0.4939421749768836,-0.4263794572210158,-0.19184730077418233,-0.4644314217661605,-0.42637945722101567,-0.8976817475520034,-0.29136714157139054,-0.2610455278149366,-0.2619647006020528,-0.5184461077820663,0.08777006466219649,-0.20924254173940893,0.21176470588235294,0.0346,0.0,False
