state,n_weeks,freq,avg_BIL,avg_portfolio_wkly,avg_spy_wkly,cash_opportunity_cost_wkly,total_opportunity_cost_wkly
calm_trend,295,0.2658,0.1103,0.00083,0.00311,0.000317,8.425859999999999e-05
neutral_mixed,493,0.4441,0.2604,0.0021,0.0018,0.000406,0.0001803046
recovery_confirmed,44,0.0396,0.1136,0.00054,0.0066,0.000713,2.8234800000000003e-05
recovery_fragile,49,0.0441,0.1699,0.00127,0.00843,0.00139,6.1299e-05
stressed_panic,229,0.2063,0.5313,0.00073,-0.00014,-0.000232,-4.78616e-05
