portfolio,start,end,n_weeks,full_ann_return,full_sharpe,full_max_drawdown
prod_phase2b_rcb,2005-01-07,2026-04-10,1110,0.068923,0.884416,-0.139754
shadow_phase2b_abc,2005-01-07,2026-04-10,1110,0.068584,0.883625,-0.136741
ggg1_robust_offense,2005-01-07,2026-04-10,1110,0.071381,0.936168,-0.117739
sss3_calm_derisk,2005-01-07,2026-04-10,1110,0.071407,0.938217,-0.116008
equal_weight,2005-01-07,2026-04-10,1110,0.05071,0.761677,-0.143288
spy,2005-01-14,2026-04-10,1109,0.105431,0.599935,-0.54613
bench_60_40,2005-01-14,2026-04-10,1109,0.080947,0.784955,-0.313836
bil,2007-06-08,2026-04-10,984,0.013317,3.685514,-0.004636
