state,avg_weekly_active_return,ann_active_return,n_weeks_positive_active,n_weeks_negative_active,pct_weeks_outperforming_spy
calm_trend,-0.00228,-0.1119,119,176,0.403
neutral_mixed,0.00031,0.0161,234,258,0.476
recovery_confirmed,-0.00606,-0.2709,17,27,0.386
recovery_fragile,-0.00716,-0.3118,16,33,0.327
stressed_panic,0.00087,0.0465,108,121,0.472
