state,n_weeks,upside_capture,downside_capture,capture_spread,avg_ggg1_wkly,avg_spy_wkly,weekly_active_return
neutral_mixed,492,0.057,-0.2433,0.3004,0.00211,0.0018,0.00031
calm_trend,295,0.0348,-0.1373,0.172,0.00083,0.00311,-0.00228
stressed_panic,229,0.0264,-0.0165,0.0428,0.00073,-0.00014,0.00087
recovery_fragile,49,0.0841,-0.1241,0.2083,0.00127,0.00843,-0.00716
recovery_confirmed,44,0.0823,0.0832,-0.0009,0.00054,0.0066,-0.00606
