portfolio,window,label,n_weeks,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,worst_4w,worst_13w,avg_BIL,avg_SPY,avg_turnover
prod_phase2b_rcb,bear_2022,prod_phase2b_rcb,52,0.005106,0.05855,0.087207,-0.045659,0.111827,-0.015643,-0.020259,-0.036893,0.6334,0.0318,0.04
prod_phase2b_rcb,recovery_2023,prod_phase2b_rcb,171,0.123625,0.075773,1.631516,-0.062642,1.973518,-0.020601,-0.05775,-0.060119,0.1663,0.0731,0.0602
shadow_phase2b_abc,bear_2022,shadow_phase2b_abc,52,0.002971,0.057218,0.051919,-0.045576,0.065183,-0.015568,-0.020259,-0.036888,0.6355,0.0317,0.04
shadow_phase2b_abc,recovery_2023,shadow_phase2b_abc,171,0.122928,0.075216,1.634326,-0.062395,1.970144,-0.020498,-0.056361,-0.059878,0.1697,0.0728,0.0609
ggg1_robust_offense,bear_2022,ggg1_robust_offense,52,-0.012933,0.061225,-0.211239,-0.068418,-0.18903,-0.015626,-0.025113,-0.049791,0.5501,0.0303,0.0431
ggg1_robust_offense,recovery_2023,ggg1_robust_offense,171,0.143643,0.079954,1.796574,-0.072541,1.980178,-0.021295,-0.074317,-0.026489,0.1221,0.0589,0.0677
sss3_calm_derisk,bear_2022,sss3_calm_derisk,52,-0.012954,0.061215,-0.211623,-0.068433,-0.189301,-0.015619,-0.025112,-0.049791,,,0.0431
sss3_calm_derisk,recovery_2023,sss3_calm_derisk,171,0.143643,0.079954,1.796574,-0.072541,1.980177,-0.021295,-0.074317,-0.026489,,,0.0677
equal_weight,bear_2022,equal_weight,52,0.008614,0.051685,0.166662,-0.038985,0.220957,-0.011996,-0.018181,-0.032438,,,0.0325
equal_weight,recovery_2023,equal_weight,171,0.111339,0.064106,1.73681,-0.057633,1.931865,-0.017509,-0.045782,-0.055265,,,0.0643
spy,bear_2022,spy,52,-0.181754,0.23075,-0.787666,-0.224795,-0.808532,-0.05514,-0.107089,-0.183121,,,
spy,recovery_2023,spy,171,0.206376,0.142987,1.443324,-0.168772,1.222815,-0.038331,-0.123089,-0.148958,,,
bench_60_40,bear_2022,bench_60_40,52,-0.16478,0.152193,-1.082708,-0.192171,-0.857468,-0.036305,-0.081708,-0.141819,,,
bench_60_40,recovery_2023,bench_60_40,171,0.137113,0.092218,1.48683,-0.090244,1.519355,-0.02282,-0.063409,-0.081278,,,
bil,bear_2022,bil,52,0.014046,0.002245,6.256825,-0.000219,64.257943,-0.000137,-0.000219,2.2e-05,,,
bil,recovery_2023,bil,171,0.046436,0.001422,32.653875,0.0,,0.000452,0.002514,0.008538,,,
