variant,cost_bps,full_observations,full_years,full_total_return,full_annual_return,full_annual_volatility,full_sharpe_zero_rf,full_sortino_zero_target,full_max_drawdown,full_max_drawdown_duration_weeks,full_calmar,full_cvar_5_weekly,full_positive_week_share,full_worst_week,full_best_week,full_annual_turnover,full_mean_invested_weight,oos_2016_2020_observations,oos_2016_2020_years,oos_2016_2020_total_return,oos_2016_2020_annual_return,oos_2016_2020_annual_volatility,oos_2016_2020_sharpe_zero_rf,oos_2016_2020_sortino_zero_target,oos_2016_2020_max_drawdown,oos_2016_2020_max_drawdown_duration_weeks,oos_2016_2020_calmar,oos_2016_2020_cvar_5_weekly,oos_2016_2020_positive_week_share,oos_2016_2020_worst_week,oos_2016_2020_best_week,oos_2016_2020_annual_turnover,oos_2016_2020_mean_invested_weight,oos_2021_present_observations,oos_2021_present_years,oos_2021_present_total_return,oos_2021_present_annual_return,oos_2021_present_annual_volatility,oos_2021_present_sharpe_zero_rf,oos_2021_present_sortino_zero_target,oos_2021_present_max_drawdown,oos_2021_present_max_drawdown_duration_weeks,oos_2021_present_calmar,oos_2021_present_cvar_5_weekly,oos_2021_present_positive_week_share,oos_2021_present_worst_week,oos_2021_present_best_week,oos_2021_present_annual_turnover,oos_2021_present_mean_invested_weight
source_literal_fx_units,10,1112,21.3846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_literal_fx_units,50,1112,21.3846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_literal_fx_units,100,1112,21.3846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_literal_fx_units_stale_1d,10,1111,21.3653846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_literal_fx_units_stale_1d,50,1111,21.3653846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_literal_fx_units_stale_1d,100,1111,21.3653846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_literal_fx_units_stale_5d,10,1111,21.3653846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_literal_fx_units_stale_5d,50,1111,21.3653846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_literal_fx_units_stale_5d,100,1111,21.3653846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_literal_fx_units_inverted,10,1112,21.3846153846,4.62524829107,0.084123025781,0.126305661792,0.703600795039,1.0018201353,-0.39539812418,121,0.212755247525,-0.0412099268604,0.580035971223,-0.136659642714,0.0970255499172,0.836484806272,1,261,5.01923076923,0.560382829516,0.0926930044471,0.126124283934,0.766826843285,1.08408983653,-0.237982458462,73,0.389495112564,-0.0412825061656,0.609195402299,-0.100767835572,0.0970255499172,0.66891927517,1,293,5.63461538462,0.675047554761,0.095870113601,0.106739141344,0.911659893243,1.38243843789,-0.209727482775,119,0.457117552418,-0.0293131447933,0.559726962457,-0.0553798705814,0.0468988589608,0.724777607005,1
