,decisions,mean_ic,t_stat,bootstrap_p,clears_bonferroni,nonzero_density,deciles_interpretable,decile_spread_annualised,monotonicity,inconclusive
ind_ret_big,200,0.0017863897125060414,0.11558694781194533,0.9186666666666666,False,1.0,True,-0.015300752108296178,0.03,False
coskewness,197,-0.01692785883514726,-2.507637314303204,0.007333333333333333,False,1.0,True,-0.07259961731306519,-0.10967543454853097,False
downside_beta,189,0.011783119370473992,1.09456014359577,0.19633333333333333,False,0.9999880033566608,True,0.13033137295719888,0.0948853615520282,False
idiosyncratic_skewness,191,-0.007237877150494269,-1.7051978139511728,0.07866666666666666,False,1.0,True,0.03435956788666661,0.06939552594002854,False
volatility_of_volatility,195,-0.017809439450871267,-1.6889432790720236,0.08033333333333334,False,1.0,True,0.13486988269893763,0.07661227661227661,False
sector_dispersion,200,-0.00900023518163573,-0.5828304307893152,0.5986666666666667,False,1.0,True,0.03705633364839622,-0.009818181818181813,False
residual_reversal_skip1,197,-0.0023651173723291514,-0.3648380480076446,0.7286666666666667,False,0.7685547404408615,True,0.002879284418937589,-0.01758471413643827,False
trend_consistency,197,0.016268984495920027,2.1957452132593187,0.0016666666666666668,True,0.9997521928382029,True,-0.018456012870503247,0.05792954930010768,False
short_sale_volume,47,0.002854900303637511,0.33256641304354234,0.795,False,1.0,True,-0.0006052203997690686,-0.05016118633139909,False
form4_opportunistic,203,0.014344439181926032,3.7816249893905733,0.0,True,0.07034996578482824,False,0.03766123492193163,0.06268568033273915,False
