,SPY,QQQ,IWM,EFA,VEA,VWO,EWJ,VNQ,HYG,LQD,GLD,PDBC,DBA,TLT
2005-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
2005-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
2005-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
2005-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
2005-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
2005-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
2005-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
2005-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
2005-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15274469194700666,0.0,0.29449203078051467,0.33212434872011287,0.0,0.0,0.2206389285523658
2005-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15274469194700666,0.0,0.29449203078051467,0.33212434872011287,0.0,0.0,0.2206389285523658
2005-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15274469194700666,0.0,0.29449203078051467,0.33212434872011287,0.0,0.0,0.2206389285523658
2005-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15274469194700666,0.0,0.29449203078051467,0.33212434872011287,0.0,0.0,0.2206389285523658
2005-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1937395483331728,0.0,0.27012551166084775,0.300582449808171,0.0,0.0,0.2355524901978084
2005-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1937395483331728,0.0,0.27012551166084775,0.300582449808171,0.0,0.0,0.2355524901978084
2005-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1937395483331728,0.0,0.27012551166084775,0.300582449808171,0.0,0.0,0.2355524901978084
2005-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1937395483331728,0.0,0.27012551166084775,0.300582449808171,0.0,0.0,0.2355524901978084
2005-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16914703798120184,0.0,0.27997938706988357,0.29064595125983306,0.0,0.0,0.26022762368908153
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16914703798120184,0.0,0.27997938706988357,0.29064595125983306,0.0,0.0,0.26022762368908153
2005-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16914703798120184,0.0,0.27997938706988357,0.29064595125983306,0.0,0.0,0.26022762368908153
2005-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16914703798120184,0.0,0.27997938706988357,0.29064595125983306,0.0,0.0,0.26022762368908153
2005-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16914703798120184,0.0,0.27997938706988357,0.29064595125983306,0.0,0.0,0.26022762368908153
2005-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19447378083350642,0.0,0.25359159802404524,0.33665263017656216,0.0,0.0,0.21528199096588613
