Date,gross_return,net_return,turnover,cost,wealth,drawdown
2006-09-01,-0.013897889345612481,-0.014010310451282202,0.11242110566972127,0.00011242110566972128,1.0329853037993109,-0.014010310451282315
2006-09-08,-0.006455705449070358,-0.0065586888663293754,0.10298341725901736,0.00010298341725901736,1.0262102745882005,-0.02047711005044095
2006-09-15,-0.0028407259133808407,-0.0030715818466089634,0.2308559332281225,0.00023085593322812252,1.0230581857379717,-0.023485794777548086
2006-09-22,0.017609939441578393,0.01748560336181467,0.12433607976372245,0.00012433607976372244,1.0409469753898437,-0.006410854707850411
2006-09-29,0.0005164804913049496,0.0003912900049631014,0.12519048634184815,0.00012519048634184815,1.0413542875370103,-0.006022073206257805
2006-10-06,0.02536849135104763,0.025249094348307258,0.11939700274037093,0.00011939700274037094,1.0676475401930465,0.0
2006-10-13,0.0029334990999701363,0.0028031598224589806,0.13033927751115576,0.00013033927751115575,1.0706403268822628,0.0
2006-10-20,0.008978816371042156,0.008680447974850066,0.2983683961920903,0.00029836839619209034,1.079933964539541,0.0
2006-10-27,-0.0165462206104098,-0.016690535717121476,0.1443151067116752,0.0001443151067116752,1.0619092881322612,-0.016690535717121424
2006-11-03,0.011944454670298265,0.011877291130974707,0.06716353932355781,6.716353932355781e-05,1.0745218939020942,-0.005011482937990919
2006-11-10,0.014675042356749178,0.01455845056846748,0.11659178828169703,0.00011659178828169703,1.090165267779204,0.0
2006-11-17,0.029160421106914566,0.0289640201379577,0.19640096895686432,0.00019640096895686432,1.121740836548863,0.0
2006-11-24,0.0025407761617355865,0.0023591056186723558,0.18167054306323094,0.00018167054306323095,1.1243871416590596,0.0
2006-12-01,0.005745923454385793,0.005654558996544864,0.09136445784092906,9.136445784092906e-05,1.1307450550865272,0.0
2006-12-08,0.0015363094757115158,0.0013635384058835489,0.1727710698279669,0.0001727710698279669,1.1322868693964008,0.0
2006-12-15,-0.006118132045931605,-0.006262488109379882,0.14435606344827667,0.0001443560634482767,1.1251959363403987,-0.0062624881093800155
2006-12-22,0.019007080630640296,0.01883750625797086,0.16957437266943454,0.00016957437266943454,1.1463918218326543,0.0
2006-12-29,-0.024096574239177174,-0.024259875737758996,0.16330149858182297,0.00016330149858182296,1.1185804986882109,-0.024259875737759118
2007-01-05,0.022352196411718733,0.022140704378148787,0.21149203356994498,0.00021149203356994497,1.1433466588328287,-0.0026563020965707507
2007-01-12,0.010172384255627172,0.01006702509507425,0.10535916055292072,0.00010535916055292072,1.154856758339668,0.0
2007-01-19,0.00345929148497629,0.0033912149249885675,0.06807655998772232,6.807655998772232e-05,1.1587731258147735,0.0
2007-01-26,0.0203677684047043,0.020219623661394227,0.14814474331007402,0.000148144743310074,1.1822030823276857,0.0
2007-02-02,0.0008999063841069761,0.0008603893166719206,0.03951706743505541,3.951706743505541e-05,1.183220237229857,0.0
2007-02-09,0.01631476613765732,0.01618192790187286,0.13283823578446058,0.0001328382357844606,1.2023670218007476,0.0
2007-02-16,-0.0010579286986237453,-0.001242981028169093,0.18505232954534762,0.0001850523295453476,1.200872502403753,-0.001242981028169221
2007-02-23,-0.06743610842899388,-0.06773059910734752,0.29449067835363885,0.00029449067835363884,1.1195366883644071,-0.06888939228579982
2007-03-02,0.01565809812199157,0.015374098974135936,0.28399914785563196,0.000283999147855632,1.136748556216498,-0.05457440564693372
2007-03-09,-0.010004700330635108,-0.010020285389237982,0.015585058602874069,1.558505860287407e-05,1.1253580112674046,-0.0640478399166412
2007-03-16,0.03044136260919766,0.030304192154987603,0.13717045421005836,0.00013717045421005836,1.1594610766840068,-0.035684565809599444
2007-03-23,-0.003003809274645777,-0.00312668357513305,0.12287430048727298,0.00012287430048727298,1.1558358087795328,-0.03869967503892979
2007-03-30,0.012723567653511321,0.01266052385308529,0.06304380042603117,6.304380042603117e-05,1.170469295606836,-0.0265291093447817
2007-04-06,0.0015115361743043864,0.0011865029866279077,0.32503318767647876,0.00032503318767647876,1.1718580609218299,-0.025374083225623956
2007-04-13,0.010032627368153734,0.009733142208277422,0.2994851598763122,0.0002994851598763122,1.1832639220766983,-0.015887910577786157
2007-04-20,-0.0024119479843280047,-0.0026071493979053935,0.19520141357738896,0.00019520141357738896,1.1801789762546928,-0.018453637819194735
2007-04-27,0.002573259742574942,0.0023592177244994707,0.21404201807547155,0.00021404201807547155,1.1829632754135546,-0.016137956244119733
2007-05-04,0.0008568539140634551,0.0007775521802708813,0.07930173379257388,7.930173379257388e-05,1.1838830910875329,-0.01537295216691148
2007-05-11,-0.005803338747570776,-0.0059116981020808715,0.10835935451009582,0.00010835935451009582,1.176884331664865,-0.02119377001684397
2007-05-18,-0.0005231398736965844,-0.0006527720079628242,0.1296321342662398,0.0001296321342662398,1.176116094516544,-0.021832707324996647
2007-05-25,0.023220486260817297,0.023066155977520427,0.154330283296871,0.000154330283296871,1.2032445718003348,0.0
2007-06-01,-0.014044667161355768,-0.014214602686215752,0.16993552485998512,0.0001699355248599851,1.1861409282778472,-0.014214602686215771
2007-06-08,0.017867909129803586,0.01783836950084796,0.02953962895562591,2.953962895562591e-05,1.2072997484365462,0.0
2007-06-15,-0.004771201644493327,-0.004809021716816397,0.03782007232307057,3.782007232307057e-05,1.2014938177276078,-0.0048090217168165195
2007-06-22,0.0031046707067345454,0.0030336602592966754,0.07101044743786995,7.101044743786996e-05,1.2051387417742385,-0.001789950395588269
2007-06-29,0.023029408598085045,0.02296732149091544,0.06208710716960375,6.208710716960375e-05,1.2328175506977248,0.0
2007-07-06,0.013619922457904856,0.01355934718642038,0.06057527148447605,6.057527148447605e-05,1.2495337518851477,0.0
2007-07-13,-0.006239195213691481,-0.006284703542468833,0.04550832877735256,4.550832877735256e-05,1.2416808026882409,-0.006284703542468684
2007-07-20,-0.03926355314887036,-0.03928636541025986,0.02281226138950007,2.2812261389500073e-05,1.192899676950926,-0.045324165792864024
2007-07-27,-0.007655980531683888,-0.007773732941872933,0.11775241018904592,0.00011775241018904592,1.183626393435863,-0.052745560774049904
2007-08-03,0.0018942573567933784,0.0018539680293148334,0.0402893274785449,4.02893274785449e-05,1.1858207989279463,-0.05098938132809849
2007-08-10,-0.015229287065226317,-0.015276504254836464,0.047217189610147224,4.721718961014722e-05,1.16770560244765,-0.0654869460821248
2007-08-17,0.027573807682370777,0.02755372956542159,0.020078116949186244,2.0078116949186243e-05,1.1998802468295202,-0.039737626119115355
2007-08-24,0.007896484187892943,0.007829543317994365,0.0669408698985774,6.69408698985774e-05,1.2092747611984778,-0.0322192102661748
2007-08-31,-0.007858997706711656,-0.007946168334821138,0.08717062810948209,8.717062810948209e-05,1.199665660382944,-0.039909359332605976
2007-09-07,0.012634387454513896,0.012533841154213902,0.10054630029999381,0.00010054630029999381,1.2147020792083492,-0.027875735748833286
2007-09-14,0.02157542975240625,0.0214996483298141,0.07578142259214946,7.578142259214946e-05,1.2408177467368224,-0.006975405934554035
2007-09-21,0.01424723030586827,0.01416836384778702,0.07886645808125092,7.886645808125092e-05,1.258398104041381,0.0
2007-09-28,0.020749210387810704,0.020595128034425685,0.1540823533850174,0.00015408235338501742,1.2843149741123916,0.0
2007-10-05,0.009311145574121047,0.009274026594355236,0.037118979765810314,3.711897976581032e-05,1.2962257453378385,0.0
2007-10-12,-0.0014096898271627122,-0.0016722014841724395,0.26251165700972723,0.0002625116570097272,1.294058194722662,-0.0016722014841725752
2007-10-19,0.01948393092862885,0.01947105971841636,0.012871210212491407,1.2871210212491407e-05,1.319254879111213,0.0
2007-10-26,0.006090516291782952,0.005939874872779194,0.1506414190037578,0.0001506414190037578,1.3270910880184372,0.0
2007-11-02,-0.01805497319268385,-0.018105996644924266,0.05102345224041638,5.102345224041638e-05,1.3030627812312665,-0.018105996644924294
2007-11-09,-0.006344892731946528,-0.006405115526447363,0.0602227945008353,6.02227945008353e-05,1.2947165135792664,-0.02439514117113939
2007-11-16,-0.0023058825656125416,-0.0023304071004779893,0.024524534865447783,2.4524534865447784e-05,1.2916992970229153,-0.026668697661414997
2007-11-23,0.003965173506239176,0.003908340457322497,0.056833048916679195,5.6833048916679195e-05,1.2967476976441652,-0.022864587554106475
2007-11-30,0.013484273181863005,0.013465361683105156,0.018911498757849726,1.8911498757849727e-05,1.3142088744046776,-0.009707105812152506
2007-12-07,-0.017016638593274996,-0.017039780925889512,0.023142332614514878,2.314233261451488e-05,1.2918150430939621,-0.026581479781578543
2007-12-14,0.009359175780568952,0.009282257103248955,0.07691867731999755,7.691867731999754e-05,1.303806002453805,-0.01754595880784693
2007-12-21,0.009730996481340688,0.009621921480473646,0.10907500086704192,0.00010907500086704192,1.3163511214351855,-0.008092863165322206
2007-12-28,0.002131837883013234,0.0020097881527499106,0.12204973026332319,0.0001220497302633232,1.318996708323905,-0.00609933995308376
2008-01-04,0.00649430626996241,0.006433950352439663,0.06035591752274683,6.0355917522746826e-05,1.3274830676602924,0.0
2008-01-11,-0.017680928971450027,-0.017788505778386893,0.10757680693686542,0.00010757680693686542,1.3038691274405065,-0.017788505778386976
2008-01-18,0.003956760854312858,0.0038444321387254366,0.11232871558742077,0.00011232871558742078,1.3088817638187307,-0.014012460342975874
2008-01-25,0.01026083309690042,0.010025640916047863,0.2351921808525576,0.0002351921808525576,1.3220041423843407,-0.004127303322676967
2008-02-01,-0.004402767280202087,-0.004574697255362964,0.1719299751608767,0.00017192997516087672,1.3159563736625965,-0.008683119414857665
2008-02-08,-0.005629897825392683,-0.0056967371606214436,0.06683933522876076,6.683933522876077e-05,1.3084597160869962,-0.014330391126438413
2008-02-15,0.01762495011634775,0.017571996123628406,0.05295399271934493,5.295399271934493e-05,1.3314519651460008,0.0
2008-02-22,0.014924894150081025,0.014711141741987685,0.2137524080933402,0.0002137524080933402,1.3510391437279117,0.0
2008-02-29,-0.009466858777629483,-0.009542968615392411,0.07610983776292812,7.610983776292812e-05,1.3381462195811495,-0.009542968615392389
2008-03-07,0.013010940269688246,0.012858383019901177,0.15255724978706958,0.00015255724978706958,1.3553526162091567,0.0
2008-03-14,-0.011213509810962394,-0.011376261009488301,0.1627511985259064,0.0001627511985259064,1.3399337710872685,-0.011376261009488298
2008-03-21,0.005036517057404376,0.004915583905499631,0.12093315190474471,0.00012093315190474471,1.3465203279668607,-0.006516598069511548
2008-03-28,0.00309437694664473,0.003048828829104421,0.045548117540308984,4.5548117540308986e-05,1.3506256379617412,-0.003487637232469143
2008-04-04,0.0028788318154502786,0.00281110446548274,0.0677273499675386,6.77273499675386e-05,1.354422387723811,-0.0006863368795844149
2008-04-11,-0.01078438320272067,-0.010834403676779463,0.050020474058793084,5.002047405879309e-05,1.3397480288263437,-0.011513304505552324
2008-04-18,-0.011033193867866374,-0.011071995548126441,0.03880168026006607,3.8801680260066074e-05,1.3249143446155673,-0.022457824797448955
2008-04-25,-0.003616048368079003,-0.00372035797651317,0.10430960843416712,0.00010430960843416712,1.3199851889653802,-0.026094631626341735
2008-05-02,0.01059957054284285,0.010547734510445484,0.0518360323973662,5.18360323973662e-05,1.3339080422963072,-0.015822136362438788
2008-05-09,0.0067512948061608765,0.006516642244198211,0.23465256196266615,0.00023465256196266617,1.3426006437946112,-0.009408601320453402
2008-05-16,0.0022833410959782023,0.0022192760036684914,0.06406509230971094,6.406509230971095e-05,1.3455802451858945,-0.007210205599923469
2008-05-23,-0.013815273504946464,-0.01402992949987615,0.2146559949296841,0.0002146559949296841,1.3267018492095104,-0.021138976423553002
2008-05-30,-0.003961569282611169,-0.004061575400833845,0.10000611822267584,0.00010000611822267585,1.3213133496145202,-0.025114694277746263
2008-06-06,-0.023150795387463133,-0.023290613940514637,0.1398185530515026,0.0001398185530515026,1.2905391504942,-0.04782037156960384
2008-06-13,0.008214134073566802,0.007826583252098118,0.3875508214686828,0.0003875508214686828,1.300639662595635,-0.040368058436741516
2008-06-20,-0.007052341256473327,-0.007458614528220861,0.4062732717475335,0.0004062732717475335,1.2909386927122188,-0.047525583177830066
2008-06-27,-0.0075693027112220205,-0.007982518193952825,0.41321548273080483,0.00041321548273080485,1.2806337511103658,-0.05512872753938769
2008-07-04,-0.000880593749879296,-0.0013015029940817615,0.42090924420246556,0.00042090924420246556,1.2789670024489737,-0.05635848032951696
2008-07-11,-0.029876992254312538,-0.030350681441072638,0.473689186760101,0.00047368918676010105,1.2401494823840014,-0.08499864348760533
2008-07-18,-0.025660359172055634,-0.026062598691304967,0.40223951924933365,0.00040223951924933367,1.2078279641073975,-0.10884595664438768
2008-07-25,-0.001895874077547756,-0.002206852702235864,0.31097862468810794,0.00031097862468810794,1.205162465700971,-0.11081260235307544
2008-08-01,-0.029198722828924512,-0.02936540980284181,0.16668697391729734,0.00016668697391729735,1.1697723760166585,-0.13692395467649998
2008-08-08,-0.004943087922865617,-0.00506481309517035,0.1217251723047333,0.0001217251723047333,1.1638476975682408,-0.1412952735329822
