left_sleeve,right_sleeve,return_corr
composite_trend_quality_refined,composite_confirmation_aware_momentum,0.9522035989263721
cta_trend_long_only,composite_trend_quality_refined,0.8698573432155527
dual_momentum_topn,composite_trend_quality_refined,0.8644679658687835
cta_trend_long_only,composite_confirmation_aware_momentum,0.8595372369465699
cta_trend_long_only,taa_10m_sma,0.8017743260496085
composite_trend_quality_refined,composite_regime_conditioned,0.8013077756037532
dual_momentum_topn,cta_trend_long_only,0.8003597600268066
dual_momentum_topn,composite_confirmation_aware_momentum,0.7955667286108705
dual_momentum_topn,composite_regime_conditioned,0.7799592498316498
composite_confirmation_aware_momentum,composite_regime_conditioned,0.7782423862150561
cta_trend_long_only,composite_regime_conditioned,0.7520298034665873
composite_confirmation_aware_momentum,taa_10m_sma,0.7448379080908082
composite_trend_quality_refined,taa_10m_sma,0.7384435161445574
dual_momentum_topn,taa_10m_sma,0.7303687171771586
composite_regime_conditioned,taa_10m_sma,0.659540996924204
