,IWM,QQQ,SPY,XLF,XLI,XLY,VNQ,HYG,PDBC,VWO,EEM,LQD,TLT,BIL
2005-12-02,0.0,0.0,0.0,0.11539612808859437,0.0,0.0,0.0,0.15,0.0,0.19655227926524427,0.18805159264616134,0.2,0.0,0.15
2005-12-09,0.0,0.0,0.0,0.13044744025995353,0.0,0.0,0.0,0.15,0.0,0.18062672984369105,0.18892582989635545,0.2,0.0,0.15
2005-12-16,0.0,0.0,0.0,0.12848908944067827,0.0,0.0,0.0,0.15,0.0,0.17934633056980076,0.19216457998952097,0.2,0.0,0.15
2005-12-23,0.0,0.0,0.0,0.144785159087119,0.0,0.0,0.0,0.15,0.0,0.17841101819756033,0.17680382271532064,0.2,0.0,0.15
2005-12-30,0.0,0.0,0.0,0.13847415736477148,0.0,0.0,0.0,0.15,0.0,0.18735070877320809,0.17417513386202046,0.2,0.0,0.15
2006-01-06,0.0,0.0,0.0,0.09845771494251059,0.0,0.0,0.0,0.15,0.0,0.22113493447381474,0.18040735058367469,0.2,0.0,0.15
2006-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2006-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2006-01-27,0.0,0.0,0.0,0.016593635425343197,0.0,0.0,0.0,0.15,0.0,0.2186251891519417,0.26478117542271506,0.2,0.0,0.15
2006-02-03,0.0,0.0115096003041628,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.21628665060521043,0.2722037490906267,0.2,0.0,0.15
2006-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.085251283553505,0.15,0.0,0.19247942571638454,0.22226929073011045,0.2,0.0,0.15
2006-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.06193028622971066,0.15,0.0,0.20567401282499204,0.23239570094529735,0.2,0.0,0.15
2006-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.09883991086417167,0.15,0.0,0.17808931092870275,0.22307077820712548,0.2,0.0,0.15
2006-03-03,0.07136866981186568,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.19044207310492234,0.23818925708321198,0.2,0.0,0.15
2006-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.08884980832876582,0.15,0.0,0.19505374820370888,0.21609644346752535,0.2,0.0,0.15
2006-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.11227805721229722,0.15,0.0,0.20916434143374973,0.17855760135395296,0.2,0.0,0.15
2006-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.11114631298892585,0.15,0.0,0.2031495113272303,0.18570417568384381,0.2,0.0,0.15
2006-03-31,0.1344011286049055,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.18356204717006994,0.18203682422502457,0.2,0.0,0.15
2006-04-07,0.12047045391911947,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.19055644284209516,0.18897310323878538,0.2,0.0,0.15
2006-04-14,0.13416389542430188,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.20036479337619825,0.16547131119949982,0.2,0.0,0.15
2006-04-21,0.12188674071474465,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.18223719639563457,0.1958760628896208,0.2,0.0,0.15
2006-04-28,0.10799095995801523,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.1955493601749591,0.19645967986702567,0.2,0.0,0.15
2006-05-05,0.13529844193434515,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.20253247687713824,0.16216908118851664,0.2,0.0,0.15
