date,learning_rate,strategy,weight
2023-01-06 00:00:00+00:00,1.0,sec-residual-controlled-1.25x-5pct-v1,0.16666666666666666
2023-01-06 00:00:00+00:00,1.0,sec-sector-ensemble-fragile-1.35x-v1,0.16666666666666666
2023-01-06 00:00:00+00:00,1.0,candidate-return-first-60-40-forward-v1,0.16666666666666666
2023-01-06 00:00:00+00:00,1.0,sec-growth-survivorship-aware-v1,0.16666666666666666
2023-01-06 00:00:00+00:00,1.0,sec-cash-conversion-breadth20-dynamic-v1,0.16666666666666666
2023-01-06 00:00:00+00:00,1.0,sec-sector-aware-signal-ensemble-v1,0.16666666666666666
2023-01-13 00:00:00+00:00,1.0,sec-residual-controlled-1.25x-5pct-v1,0.16666666666666666
2023-01-13 00:00:00+00:00,1.0,sec-sector-ensemble-fragile-1.35x-v1,0.16666666666666666
2023-01-13 00:00:00+00:00,1.0,candidate-return-first-60-40-forward-v1,0.16666666666666666
2023-01-13 00:00:00+00:00,1.0,sec-growth-survivorship-aware-v1,0.16666666666666666
2023-01-13 00:00:00+00:00,1.0,sec-cash-conversion-breadth20-dynamic-v1,0.16666666666666666
2023-01-13 00:00:00+00:00,1.0,sec-sector-aware-signal-ensemble-v1,0.16666666666666666
2023-01-20 00:00:00+00:00,1.0,sec-residual-controlled-1.25x-5pct-v1,0.16666666666666666
2023-01-20 00:00:00+00:00,1.0,sec-sector-ensemble-fragile-1.35x-v1,0.16666666666666666
2023-01-20 00:00:00+00:00,1.0,candidate-return-first-60-40-forward-v1,0.16666666666666666
2023-01-20 00:00:00+00:00,1.0,sec-growth-survivorship-aware-v1,0.16666666666666666
2023-01-20 00:00:00+00:00,1.0,sec-cash-conversion-breadth20-dynamic-v1,0.16666666666666666
2023-01-20 00:00:00+00:00,1.0,sec-sector-aware-signal-ensemble-v1,0.16666666666666666
2023-01-27 00:00:00+00:00,1.0,sec-residual-controlled-1.25x-5pct-v1,0.16666666666666666
2023-01-27 00:00:00+00:00,1.0,sec-sector-ensemble-fragile-1.35x-v1,0.16666666666666666
2023-01-27 00:00:00+00:00,1.0,candidate-return-first-60-40-forward-v1,0.16666666666666666
2023-01-27 00:00:00+00:00,1.0,sec-growth-survivorship-aware-v1,0.16666666666666666
2023-01-27 00:00:00+00:00,1.0,sec-cash-conversion-breadth20-dynamic-v1,0.16666666666666666
2023-01-27 00:00:00+00:00,1.0,sec-sector-aware-signal-ensemble-v1,0.16666666666666666
2023-02-03 00:00:00+00:00,1.0,sec-residual-controlled-1.25x-5pct-v1,0.16666666666666666
2023-02-03 00:00:00+00:00,1.0,sec-sector-ensemble-fragile-1.35x-v1,0.16666666666666666
2023-02-03 00:00:00+00:00,1.0,candidate-return-first-60-40-forward-v1,0.16666666666666666
2023-02-03 00:00:00+00:00,1.0,sec-growth-survivorship-aware-v1,0.16666666666666666
2023-02-03 00:00:00+00:00,1.0,sec-cash-conversion-breadth20-dynamic-v1,0.16666666666666666
2023-02-03 00:00:00+00:00,1.0,sec-sector-aware-signal-ensemble-v1,0.16666666666666666
2023-02-10 00:00:00+00:00,1.0,sec-residual-controlled-1.25x-5pct-v1,0.16666666666666666
2023-02-10 00:00:00+00:00,1.0,sec-sector-ensemble-fragile-1.35x-v1,0.16666666666666666
2023-02-10 00:00:00+00:00,1.0,candidate-return-first-60-40-forward-v1,0.16666666666666666
2023-02-10 00:00:00+00:00,1.0,sec-growth-survivorship-aware-v1,0.16666666666666666
