family,exposure,financing_rate,cagr,sharpe,max_drawdown,weeks
incumbent,1.25,0.08,1.4901478744034926,3.0960741555493105,-0.1394501023355641,52
incumbent,1.25,0.12,1.4657754187674206,3.0640718787809336,-0.14046783686686026,52
incumbent,1.3,0.08,1.568874851687284,3.086227301159041,-0.14502312649640492,52
incumbent,1.3,0.12,1.53874807702169,3.049301597195528,-0.14623770565366223,52
incumbent,1.35,0.08,1.6496605758522889,3.0771098433902724,-0.1505682137519604,52
incumbent,1.35,0.12,1.6134609482260291,3.0356254105423752,-0.15197743542452458,52
sector_reference,1.25,0.08,1.5220044806482664,2.92397240391622,-0.10992109848690024,52
sector_reference,1.25,0.12,1.4973226436781002,2.8943843137236964,-0.11062614669625115,52
sector_reference,1.35,0.08,1.6845135636082462,2.906438720839169,-0.11891216356381618,52
sector_reference,1.35,0.12,1.6478407432966646,2.86808378910812,-0.11989170942096883,52
