Date,risk_on,reason,maximum_positive_issuer_share,maximum_positive_sector_share,positive_issuer_breadth,annualized_source_volatility,guard
2022-12-02 00:00:00+00:00,False,no_target,,,,,balanced
2022-12-09 00:00:00+00:00,False,no_target,,,,,balanced
2022-12-16 00:00:00+00:00,False,no_target,,,,,balanced
2022-12-23 00:00:00+00:00,False,no_target,,,,,balanced
2022-12-30 00:00:00+00:00,False,no_target,,,,,balanced
2023-01-06 00:00:00+00:00,False,insufficient_history,,,,,balanced
2023-01-13 00:00:00+00:00,False,insufficient_history,,,,,balanced
2023-01-20 00:00:00+00:00,False,insufficient_history,,,,,balanced
2023-01-27 00:00:00+00:00,False,sector,0.15529537749806535,0.8860799321085309,15.0,0.10485420771604315,balanced
2023-02-03 00:00:00+00:00,False,sector,0.13977795060571893,0.9222337514165572,16.0,0.10805383332750354,balanced
2023-02-10 00:00:00+00:00,False,sector,0.1328105324385654,0.9617397286341826,20.0,0.1077293722027026,balanced
2023-02-17 00:00:00+00:00,False,sector,0.13824712260292113,0.9324016536330464,19.0,0.10998574854319054,balanced
2023-02-24 00:00:00+00:00,False,sector,0.17405427376706822,0.9528325220263616,19.0,0.10716699128398938,balanced
2023-03-03 00:00:00+00:00,False,sector,0.16590277464661848,0.9429499809391051,19.0,0.11937590555070807,balanced
2023-03-10 00:00:00+00:00,False,sector,0.13923184957428986,0.9131654815150434,19.0,0.12809180679644822,balanced
2023-03-17 00:00:00+00:00,False,sector,0.15518754886065372,0.8772402082240061,19.0,0.15601882144862383,balanced
2023-03-24 00:00:00+00:00,False,sector,0.2088311963460616,0.9571942338143369,20.0,0.1594907623792929,balanced
2023-03-31 00:00:00+00:00,False,sector,0.17668299510285002,0.964371763830271,22.0,0.16176730503070577,balanced
2023-04-07 00:00:00+00:00,False,sector,0.13566636819176592,0.9293745356459908,22.0,0.1759794342227114,balanced
2023-04-14 00:00:00+00:00,False,sector,0.16256466542332565,0.9156752690617369,23.0,0.18101528067499692,balanced
