decision_at,cik10,weight
2023-04-14 00:00:00+00:00,0001580905,0.125
2023-04-14 00:00:00+00:00,0001048268,0.125
2023-04-14 00:00:00+00:00,0001582961,0.125
2023-04-14 00:00:00+00:00,0001038074,0.125
2023-04-14 00:00:00+00:00,0001573516,0.125
2023-04-14 00:00:00+00:00,0001403568,0.125
2023-04-14 00:00:00+00:00,0001142750,0.125
2023-04-14 00:00:00+00:00,0001846510,0.125
2023-07-14 00:00:00+00:00,0001373670,0.125
2023-07-14 00:00:00+00:00,0000822416,0.125
2023-07-14 00:00:00+00:00,0001286139,0.125
2023-07-14 00:00:00+00:00,0001070235,0.125
2023-07-14 00:00:00+00:00,0001758488,0.125
2023-07-14 00:00:00+00:00,0001048286,0.125
2023-07-14 00:00:00+00:00,0001642545,0.125
2023-07-14 00:00:00+00:00,0000071829,0.125
2023-10-13 00:00:00+00:00,0000046765,0.125
2023-10-13 00:00:00+00:00,0001710366,0.125
2023-10-13 00:00:00+00:00,0001606163,0.125
2023-10-13 00:00:00+00:00,0000822416,0.125
2023-10-13 00:00:00+00:00,0000016160,0.125
2023-10-13 00:00:00+00:00,0001734713,0.125
2023-10-13 00:00:00+00:00,0001807846,0.125
2023-10-13 00:00:00+00:00,0001176948,0.125
2024-01-12 00:00:00+00:00,0001048268,0.125
2024-01-12 00:00:00+00:00,0001606163,0.125
2024-01-12 00:00:00+00:00,0001689796,0.125
2024-01-12 00:00:00+00:00,0000060086,0.125
2024-01-12 00:00:00+00:00,0001899883,0.125
2024-01-12 00:00:00+00:00,0001075531,0.125
2024-01-12 00:00:00+00:00,0001795139,0.125
2024-01-12 00:00:00+00:00,0001734713,0.125
2024-04-12 00:00:00+00:00,0001718227,0.125
2024-04-12 00:00:00+00:00,0001035983,0.125
2024-04-12 00:00:00+00:00,0001778129,0.125
2024-04-12 00:00:00+00:00,0001795139,0.125
2024-04-12 00:00:00+00:00,0001694028,0.125
2024-04-12 00:00:00+00:00,0001273441,0.125
2024-04-12 00:00:00+00:00,0001001838,0.125
2024-04-12 00:00:00+00:00,0001173420,0.125
2024-07-12 00:00:00+00:00,0001075531,0.125
2024-07-12 00:00:00+00:00,0001828852,0.125
2024-07-12 00:00:00+00:00,0001703644,0.125
2024-07-12 00:00:00+00:00,0001873923,0.125
2024-07-12 00:00:00+00:00,0001045810,0.125
2024-07-12 00:00:00+00:00,0001751008,0.125
2024-07-12 00:00:00+00:00,0001636222,0.125
2024-07-12 00:00:00+00:00,0001575515,0.125
2024-10-11 00:00:00+00:00,0001795139,0.125
2024-10-11 00:00:00+00:00,0001813452,0.125
2024-10-11 00:00:00+00:00,0000105634,0.125
2024-10-11 00:00:00+00:00,0001718227,0.125
2024-10-11 00:00:00+00:00,0001873923,0.125
2024-10-11 00:00:00+00:00,0001258602,0.125
2024-10-11 00:00:00+00:00,0000277135,0.125
2024-10-11 00:00:00+00:00,0001517175,0.125
2025-01-10 00:00:00+00:00,0001751008,0.125
2025-01-10 00:00:00+00:00,0001261333,0.125
2025-01-10 00:00:00+00:00,0001142417,0.125
2025-01-10 00:00:00+00:00,0001324424,0.125
2025-01-10 00:00:00+00:00,0000036966,0.125
2025-01-10 00:00:00+00:00,0001601712,0.125
2025-01-10 00:00:00+00:00,0001746618,0.125
2025-01-10 00:00:00+00:00,0001575515,0.125
2025-04-11 00:00:00+00:00,0000036966,0.125
2025-04-11 00:00:00+00:00,0001601712,0.125
2025-04-11 00:00:00+00:00,0001560385,0.125
2025-04-11 00:00:00+00:00,0001142417,0.125
2025-04-11 00:00:00+00:00,0000277135,0.125
2025-04-11 00:00:00+00:00,0002011641,0.125
2025-04-11 00:00:00+00:00,0001001838,0.125
2025-04-11 00:00:00+00:00,0001421461,0.125
2025-07-11 00:00:00+00:00,0001227654,0.125
2025-07-11 00:00:00+00:00,0001164727,0.125
2025-07-11 00:00:00+00:00,0001511737,0.125
2025-07-11 00:00:00+00:00,0001671933,0.125
2025-07-11 00:00:00+00:00,0000016160,0.125
2025-07-11 00:00:00+00:00,0000003545,0.125
2025-07-11 00:00:00+00:00,0000700923,0.125
2025-07-11 00:00:00+00:00,0000874238,0.125
2025-10-10 00:00:00+00:00,0001164727,0.125
2025-10-10 00:00:00+00:00,0001173420,0.125
2025-10-10 00:00:00+00:00,0000016160,0.125
2025-10-10 00:00:00+00:00,0001755672,0.125
2025-10-10 00:00:00+00:00,0000700923,0.125
2025-10-10 00:00:00+00:00,0000874238,0.125
2025-10-10 00:00:00+00:00,0001625297,0.125
2025-10-10 00:00:00+00:00,0001600620,0.125
2026-01-09 00:00:00+00:00,0001164727,0.125
2026-01-09 00:00:00+00:00,0001396009,0.125
2026-01-09 00:00:00+00:00,0001070412,0.125
2026-01-09 00:00:00+00:00,0001288403,0.125
2026-01-09 00:00:00+00:00,0000788965,0.125
2026-01-09 00:00:00+00:00,0001418819,0.125
2026-01-09 00:00:00+00:00,0000707549,0.125
2026-01-09 00:00:00+00:00,0001237831,0.125
2026-04-10 00:00:00+00:00,0001070412,0.125
2026-04-10 00:00:00+00:00,0001866175,0.125
2026-04-10 00:00:00+00:00,0000700923,0.125
2026-04-10 00:00:00+00:00,0000874238,0.125
2026-04-10 00:00:00+00:00,0001418819,0.125
2026-04-10 00:00:00+00:00,0001611983,0.125
2026-04-10 00:00:00+00:00,0000925528,0.125
2026-04-10 00:00:00+00:00,0001286681,0.125
