Date,market_state,market_state_reason,risk_state,signal_environment,risk_regime_score,market_drawdown,market_trend_positive,breadth_sma_43,breadth_26w_mom,breadth_13w_mom,breadth_change_4w,recent_stress_26w,avg_corr_risk_off_z,google_fear_z_tradable
2005-01-07,neutral_mixed,mixed inputs,neutral,mixed,,0.0,0.0,0.0,0.0,0.0,,0.0,,
2005-01-14,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0016880275919384236,0.0,0.0,0.0,0.0,,0.0,,
2005-01-21,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.014015066179479785,0.0,0.0,0.0,0.0,,0.0,,
2005-01-28,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.008527262578747807,0.0,0.0,0.0,0.0,,0.0,,
2005-02-04,neutral_mixed,mixed inputs,neutral,reversal_friendly,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2005-02-11,neutral_mixed,mixed inputs,neutral,reversal_friendly,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2005-02-18,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.003146290313332911,0.0,0.0,0.0,0.0,0.0,0.0,,
2005-02-25,neutral_mixed,mixed inputs,neutral,reversal_friendly,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2005-03-04,neutral_mixed,mixed inputs,neutral,reversal_friendly,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2005-03-11,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.01906612740817959,0.0,0.0,0.0,0.0,0.0,0.0,,
2005-03-18,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.03034615447524569,0.0,0.0,0.0,0.0,0.0,0.0,,
2005-03-25,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.041798383069925005,0.0,0.0,0.0,0.0,0.0,0.0,,
2005-04-01,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.03942587973937839,0.0,0.0,0.0,0.0,0.0,0.0,,
2005-04-08,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.03476320635936381,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,,
2005-04-15,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0662561458210622,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,,
2005-04-22,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0546404452319198,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,,
2005-04-29,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.05316809460388039,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,,
2005-05-06,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.042207017111171474,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,,
2005-05-13,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.053413624209954325,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,,
2005-05-20,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.025601607263265658,1.0,0.2857142857142857,0.0,0.21428571428571427,0.2857142857142857,0.0,,
2005-05-27,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.016358501894492505,1.0,0.42857142857142855,0.0,0.21428571428571427,0.42857142857142855,0.0,,
2005-06-03,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.01717650509556634,1.0,0.42857142857142855,0.0,0.2857142857142857,0.42857142857142855,0.0,,
2005-06-10,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.016767319715384144,1.0,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.0,,
2005-06-17,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0032720128042954544,1.0,0.5714285714285714,0.0,0.5,0.2857142857142857,0.0,,
2005-06-24,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.022818999654310446,1.0,0.5,0.0,0.5714285714285714,0.07142857142857145,0.0,,
2005-07-01,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.01830169597370035,1.0,0.35714285714285715,0.0,0.5714285714285714,-0.0714285714285714,0.0,,
2005-07-08,neutral_mixed,mixed inputs,neutral,reversal_friendly,0.0,-0.0036003351405611284,1.0,0.42857142857142855,0.5,0.5,0.0,0.0,,
