n_obs,brier,auc,log_loss,pos_rate,pred_mean,refined_state,predictor
256,0.030822202397209654,0.4090648307515777,0.15369499874738984,0.02734375,0.0539378171871345,calm_trend,logistic_regime_only
163,0.16784462841018719,0.768595041322314,0.5595801243062415,0.25766871165644173,0.2471501204421937,neutral_deteriorating,logistic_regime_only
203,0.07971752708697834,0.5080213903743316,0.35395785879852737,0.07881773399014778,0.05385278796386007,neutral_healthy,logistic_regime_only
40,0.029686041367601845,,,0.0,0.07218055985713348,recovery_confirmed,logistic_regime_only
35,0.12932622240693042,0.5416666666666666,0.4499429687199967,0.08571428571428572,0.1701873955239285,recovery_fragile,logistic_regime_only
148,0.15129449141604218,0.7267156862745098,0.5229095489861217,0.918918918918919,0.7953868233213093,stressed_panic,logistic_regime_only
