n_obs,brier,auc,log_loss,pos_rate,pred_mean,period,start,end,predictor
212,0.039035960835606356,0.8832833378783747,0.16980797065612113,0.08962264150943396,0.10496767763839517,0,2010-01-08,2014-01-24,logistic_regime_only
211,0.1627704085660947,0.713277133825079,0.6306941397997616,0.3080568720379147,0.2648196617934061,1,2014-01-31,2018-02-09,logistic_regime_only
211,0.09860552684666983,0.9079516974253817,0.3187006773431549,0.27014218009478674,0.27945481691878127,2,2018-02-16,2022-02-25,logistic_regime_only
211,0.0763569400117621,0.9067996567996569,0.29896923800161107,0.2985781990521327,0.25825419530906585,3,2022-03-04,2026-03-13,logistic_regime_only
