original,calm_trend,neutral_deteriorating,neutral_healthy,neutral_mixed,recovery_confirmed,recovery_fragile,stressed_panic
calm_trend,295,0,0,0,0,0,0
neutral_mixed,0,171,210,112,0,0,0
recovery_confirmed,0,0,0,0,44,0,0
recovery_fragile,0,0,0,0,0,49,0
stressed_panic,0,0,0,0,0,0,229
