refined_label,n_weeks,frac_of_neutral_mixed,deterioration_z_mean,deterioration_z_median,rank_mean
neutral_healthy,210,0.4259634888438134,-0.5175389941883306,-0.5105695402652182,0.2300115898069476
neutral_mixed,112,0.22718052738336714,0.0996546042516399,-0.053689487865900956,
neutral_deteriorating,171,0.34685598377281945,0.26429567690283545,0.20783030539488018,0.760631079557839
