model,label,target,n_obs,brier,auc,log_loss,pos_rate,pred_mean
baseline_existing,p_regime_only_inverted,target_A_stress_transition_4w,1105,0.26821531792561865,0.7280505861084525,0.7753224879336394,0.27692307692307694,0.578402894079213
baseline_existing,p_regime_only_inverted,target_B_prod_bad_return_4w,1109,0.34918664526990284,0.43855439461260765,0.9815791908018484,0.2497745716862038,0.578536773220606
baseline_existing,p_regime_only_inverted,target_C_spy_bad_return_4w,1109,0.31658196828976537,0.5612807206331575,0.8962776205681017,0.2497745716862038,0.578536773220606
baseline_existing,p_regime_only_inverted,target_D_prod_drawdown_worsens_4w,1109,0.3722557162195971,0.40143540669856453,1.0515690006729805,0.057709648331830475,0.578536773220606
logistic,regime_only,target_A_stress_transition_4w,845,0.09412693539848956,0.8648328286072617,0.3543243851060272,0.24142011834319527,0.2267298199737565
logistic,regime_only,target_B_prod_bad_return_4w,849,0.23654922916946358,0.4932359345367704,0.6953694911781994,0.270906949352179,0.3520483062788003
logistic,regime_only,target_C_spy_bad_return_4w,849,0.21744894890860705,0.4722104602838548,0.6424625894867255,0.22968197879858657,0.28353218938755886
logistic,regime_only,target_D_prod_drawdown_worsens_4w,823,0.06985597893661796,0.6574358411932442,0.2544914229364517,0.05710814094775213,0.10944310887273993
logistic,regime_plus_refined,target_A_stress_transition_4w,845,0.11061336457157243,0.8673105747759323,0.3941899061710197,0.24142011834319527,0.22659674383467057
logistic,regime_plus_refined,target_B_prod_bad_return_4w,849,0.2506593094040752,0.45783521809369954,0.7493262061922152,0.270906949352179,0.32945673727267305
logistic,regime_plus_refined,target_C_spy_bad_return_4w,849,0.21308132609253588,0.5072767192033247,0.6867156390527598,0.22968197879858657,0.2503841391333147
logistic,regime_plus_refined,target_D_prod_drawdown_worsens_4w,823,0.07283489817731531,0.6634678657600351,0.2698020665289826,0.05710814094775213,0.1074785451151184
logistic_l2,all,target_A_stress_transition_4w,845,0.10466007606944937,0.8734667033740173,0.36426187305348817,0.24142011834319527,0.23060040828320716
logistic_l2,all,target_B_prod_bad_return_4w,849,0.24256840805792373,0.45746997260658845,0.7142908623077423,0.270906949352179,0.3271265630358463
logistic_l2,all,target_C_spy_bad_return_4w,849,0.2093763594708056,0.49981965027836583,0.6564237317212962,0.22968197879858657,0.2553209451857084
logistic_l2,all,target_D_prod_drawdown_worsens_4w,823,0.0688993248070804,0.6517328361482781,0.25663732696394026,0.05710814094775213,0.1117016864680921
tree_d3,all,target_A_stress_transition_4w,845,0.12299699402205512,0.7824171790401029,0.9259953224801857,0.24142011834319527,0.1952343414372207
tree_d3,all,target_B_prod_bad_return_4w,849,0.24505990816428114,0.4653403104586641,0.9256112576860979,0.270906949352179,0.2904982183487125
tree_d3,all,target_C_spy_bad_return_4w,849,0.2309353462485007,0.4726378107112052,0.8122367752856161,0.22968197879858657,0.24863442795202492
tree_d3,all,target_D_prod_drawdown_worsens_4w,823,0.07510504758830194,0.4427506032024567,0.493022534684289,0.05710814094775213,0.09559427929482046
rf_shallow,all,target_A_stress_transition_4w,845,0.09885266098503982,0.8439096387384907,0.3672957213818571,0.24142011834319527,0.21925735752235895
rf_shallow,all,target_B_prod_bad_return_4w,849,0.20590975958385405,0.451373182552504,0.6038397224134273,0.270906949352179,0.28435721964631727
rf_shallow,all,target_C_spy_bad_return_4w,849,0.18317985526524327,0.4637732298282757,0.5551242589780429,0.22968197879858657,0.23677785702995505
rf_shallow,all,target_D_prod_drawdown_worsens_4w,823,0.056923833630774516,0.58919170870805,0.22975056992699472,0.05710814094775213,0.0885808481899458
hgb_shallow,all,target_A_stress_transition_4w,845,0.12089651025949699,0.7830824997705792,0.4804375852545649,0.24142011834319527,0.17405324497026642
hgb_shallow,all,target_B_prod_bad_return_4w,849,0.2136505794932711,0.5125798974503055,0.6281539861673042,0.270906949352179,0.2783090596762186
hgb_shallow,all,target_C_spy_bad_return_4w,849,0.20382799119147757,0.4600564573041637,0.6206109330898275,0.22968197879858657,0.2405638676862823
hgb_shallow,all,target_D_prod_drawdown_worsens_4w,823,0.0637908754070549,0.49521550778679535,0.26385020094490197,0.05710814094775213,0.07066389784125346
