treatment,trend_lookback_weeks,forward_horizon_weeks,cs_observations,cs_mean_ic,cs_ic_std,cs_t_stat,cs_bootstrap_p,cs_clears_bonferroni,ts_assets,ts_mean_ic,ts_share_positive,ts_t_stat,ts_p_value,ts_clears_bonferroni
raw,4,1,1127,-0.00818468698195008,0.2576665910249938,-1.066365095150157,0.3244,False,41,-0.011837813372888145,0.3902439024390244,-2.031291281894813,0.0489069189387268,False
raw,4,2,563,-0.019001499711389327,0.25550564818451654,-1.7645808907155418,0.0424,False,41,-0.03157043106743223,0.2926829268292683,-3.9187878693137868,0.0003393181061454473,True
raw,4,4,281,-0.026893503698813107,0.24817735578869335,-1.8165125091239847,0.0504,False,41,-0.05211348231067914,0.2682926829268293,-4.815840487057559,2.1252587785602423e-05,True
raw,12,1,1119,-0.00680850109413292,0.25868394437011516,-0.8804345574695513,0.4932,False,41,-0.011919076069910429,0.4146341463414634,-2.210910417144,0.03282229598602807,False
raw,12,2,559,-0.015532294372606932,0.2593873473205767,-1.415770076792842,0.2236,False,41,-0.01943187937391031,0.34146341463414637,-2.7413082206217636,0.0091048426663431,False
raw,12,4,279,-0.02784619564671563,0.25601046390526955,-1.816813110649395,0.0368,False,41,-0.013933914270671794,0.4634146341463415,-1.6852670020396576,0.09972453172536337,False
raw,26,1,1105,-0.005016439225726972,0.2693600154607686,-0.619075426933077,0.5532,False,41,-0.008707162371139356,0.3902439024390244,-1.8266082909350252,0.0752281888176252,False
raw,26,2,552,-0.017066296777183534,0.27129473488560907,-1.477976290186886,0.1648,False,41,-0.024036994078982805,0.2682926829268293,-3.7248011805357613,0.0006030323306598428,True
raw,26,4,275,-0.03697816967611989,0.26378696851188277,-2.324654529783242,0.0144,False,41,-0.028819286906664004,0.3902439024390244,-3.051751352567886,0.0040298573144408245,True
raw,52,1,1079,0.01771398795096588,0.27809241068160456,2.092367330203435,0.064,False,41,0.0037152288294341096,0.4878048780487805,0.6419203081857063,0.5245868468161687,False
raw,52,2,539,0.015937465632301497,0.27994583875924184,1.3217205046541642,0.2224,False,41,-0.008256069883763734,0.34146341463414637,-1.0667223848761231,0.2924935015364466,False
raw,52,4,269,0.0013583425541420129,0.2706007712738982,0.08232967791175998,0.9632,False,41,-0.01432484162385791,0.34146341463414637,-1.4251557692674677,0.16186892131969957,False
minus_6J,4,1,1127,-0.008660418151265902,0.2577179860885728,-1.1281220571250847,0.2896,False,40,-0.011977907038929482,0.4,-2.0051531578527357,0.051922154228985544,False
minus_6J,4,2,563,-0.01925787959494523,0.2556154013565896,-1.7876218199268654,0.0376,False,40,-0.03273951711102953,0.275,-4.005950734758147,0.0002690266698481022,True
minus_6J,4,4,281,-0.028068644999758842,0.2479361737911743,-1.8977312664144481,0.04,False,40,-0.0529664497105807,0.275,-4.788688700465166,2.434048164787006e-05,True
minus_6J,12,1,1119,-0.007669877753194846,0.2578779648121508,-0.9949224970063684,0.434,False,40,-0.01283539107139361,0.4,-2.3563717602327463,0.02357318775959847,False
minus_6J,12,2,559,-0.016351950142832476,0.25940240584530916,-1.490395252785933,0.2052,False,40,-0.020840688720603674,0.325,-2.9258138135013727,0.005701936006999199,False
minus_6J,12,4,279,-0.02920284507546974,0.25586387731822746,-1.9064186997630195,0.0296,False,40,-0.01607725930941651,0.45,-1.9636040755729052,0.05673393247704257,False
minus_6J,26,1,1105,-0.005801188012603694,0.2682526594723304,-0.7188760974666295,0.4932,False,40,-0.009041884176565285,0.375,-1.8545622902956662,0.07123109647017076,False
