sleeve,intended_role,primary_flag,all_flags
cash::BIL,cash,CLEAN_ROLE,CLEAN_ROLE
composite_regime_conditioned,mixed,NEEDS_DECOMPOSITION_REVIEW,NEEDS_DECOMPOSITION_REVIEW
composite_regime_defense_component,defense,INSUFFICIENT_DATA,INSUFFICIENT_DATA
composite_regime_offense_component,offense,INSUFFICIENT_DATA,INSUFFICIENT_DATA
composite_selective_signals,offense,HIDDEN_DEFENSE_RISK,HIDDEN_DEFENSE_RISK
cta_trend_long_only,offense,HIDDEN_DEFENSE_RISK,HIDDEN_DEFENSE_RISK
dual_momentum_topn,offense,HIDDEN_DEFENSE_RISK,HIDDEN_DEFENSE_RISK
taa_10m_sma,defense,HIDDEN_BETA_RISK,HIDDEN_BETA_RISK
