version,role,state,cash_delta_final_minus_sleeve,offense_delta_final_minus_sleeve,defense_delta_final_minus_sleeve,limitation
improved_phaseggg_confirmed_only_robust_offense,production_candidate,calm_trend,0.07400608802034087,-0.12139459848493059,-0.1157280607407316,Bucket comparison only; per-sleeve ETF lookthrough contributions are not saved.
improved_phaseggg_confirmed_only_robust_offense,production_candidate,neutral_mixed,0.03170937750978865,-0.13896608574709934,-0.03313940483994286,Bucket comparison only; per-sleeve ETF lookthrough contributions are not saved.
improved_phaseggg_confirmed_only_robust_offense,production_candidate,recovery_confirmed,0.029337223557846574,-0.17425719998888237,-0.029389200762184316,Bucket comparison only; per-sleeve ETF lookthrough contributions are not saved.
improved_phaseggg_confirmed_only_robust_offense,production_candidate,recovery_fragile,0.039728964236826605,-0.20856480171492983,0.009584938964769456,Bucket comparison only; per-sleeve ETF lookthrough contributions are not saved.
improved_phaseggg_confirmed_only_robust_offense,production_candidate,stressed_panic,0.022101259922638897,-0.16171731296778247,0.014266341042980682,Bucket comparison only; per-sleeve ETF lookthrough contributions are not saved.
improved_phase2b_regime_confidence_boost,production,calm_trend,0.03496425901213782,0.02424134161998732,0.08595363089472932,Bucket comparison only; per-sleeve ETF lookthrough contributions are not saved.
improved_phase2b_regime_confidence_boost,production,neutral_mixed,0.059975489597696593,-0.051667390103217255,0.1110784314512353,Bucket comparison only; per-sleeve ETF lookthrough contributions are not saved.
improved_phase2b_regime_confidence_boost,production,recovery_confirmed,0.061839591850982305,-0.09237217943499915,0.1727381318113116,Bucket comparison only; per-sleeve ETF lookthrough contributions are not saved.
improved_phase2b_regime_confidence_boost,production,recovery_fragile,0.09470472958846878,-0.15637075015378502,0.1886421221317901,Bucket comparison only; per-sleeve ETF lookthrough contributions are not saved.
improved_phase2b_regime_confidence_boost,production,stressed_panic,0.09808897646423118,-0.12416647767034912,0.09657677842991624,Bucket comparison only; per-sleeve ETF lookthrough contributions are not saved.
improved_phase2b_combo_abc,official_shadow,calm_trend,0.0349606372722179,0.02437001955568044,0.08557113983766643,Bucket comparison only; per-sleeve ETF lookthrough contributions are not saved.
improved_phase2b_combo_abc,official_shadow,neutral_mixed,0.059786648680290835,-0.05086661473568277,0.11002694173683765,Bucket comparison only; per-sleeve ETF lookthrough contributions are not saved.
improved_phase2b_combo_abc,official_shadow,recovery_confirmed,0.06217245896804222,-0.09127901704861623,0.1716975706490089,Bucket comparison only; per-sleeve ETF lookthrough contributions are not saved.
improved_phase2b_combo_abc,official_shadow,recovery_fragile,0.09416929458573538,-0.1525033453390144,0.18345683579419078,Bucket comparison only; per-sleeve ETF lookthrough contributions are not saved.
improved_phase2b_combo_abc,official_shadow,stressed_panic,0.0980341693092379,-0.12414295079635948,0.09657961448392541,Bucket comparison only; per-sleeve ETF lookthrough contributions are not saved.
