Date,breadth_confidence,sector_confidence,risk_on_confidence,macro_stress_filter,dollar_pressure_filter,transition_quality_score,signal_agreement,signal_dispersion,offense_eligibility_score,deterioration_score,combined_market_quality_score,market_state,risk_state,macro_stress_active,dollar_pressure_active,offense_eligible,research_only
2005-01-07,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,neutral_mixed,neutral,False,False,False,True
2005-01-14,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,neutral_mixed,neutral,False,False,False,True
2005-01-21,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,neutral_mixed,neutral,False,False,False,True
2005-01-28,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,neutral_mixed,neutral,False,False,False,True
2005-02-04,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,neutral_mixed,neutral,False,False,False,True
2005-02-11,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,neutral_mixed,neutral,False,False,False,True
2005-02-18,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,neutral_mixed,neutral,False,False,False,True
2005-02-25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,neutral_mixed,neutral,False,False,False,True
2005-03-04,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,neutral_mixed,neutral,False,False,False,True
2005-03-11,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,neutral_mixed,neutral,False,False,False,True
2005-03-18,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,neutral_mixed,neutral,False,False,False,True
2005-03-25,0.5,0.5,0.5,0.5,0.5,0.7250000000000001,0.5,0.5,0.5,0.5,0.5,neutral_mixed,neutral,False,False,False,True
2005-04-01,0.5,0.5,0.5,0.5,0.5,0.7250000000000001,0.5,0.5,0.5337500000000001,0.5,0.536,neutral_mixed,neutral,False,False,False,True
2005-04-08,0.5,0.5,0.5,0.5,0.5,0.7250000000000001,0.5,0.5,0.5337500000000001,0.5,0.536,neutral_mixed,neutral,False,False,False,True
2005-04-15,0.5,0.5,0.5,0.5,0.5,0.7250000000000001,0.5,0.5,0.5337500000000001,0.5,0.536,neutral_mixed,neutral,False,False,False,True
2005-04-22,0.5,0.5,0.5,0.5,0.5,0.7250000000000001,0.5,0.5,0.5337500000000001,0.5,0.536,neutral_mixed,neutral,False,False,False,True
