,market_state,market_state_stable,market_state_reason,risk_state,signal_environment,risk_regime_score,market_drawdown,market_trend_positive,breadth_sma_43,breadth_26w_mom,breadth_13w_mom,breadth_change_4w,canary_breadth_default,canary_breadth_pair,recent_stress_26w,avg_corr_risk_off_z,google_fear_z_tradable,transition_persistence_prob,transition_good_state_prob,transition_non_stress_prob
2005-01-07,neutral_mixed,neutral_mixed,mixed inputs,neutral,mixed,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,
2005-01-14,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0016880275919384236,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,
2005-01-21,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.014015066179479785,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,
2005-01-28,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.008527262578747807,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,
2005-02-04,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2005-02-11,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2005-02-18,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.003146290313332911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2005-02-25,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2005-03-04,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2005-03-11,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.01906612740817959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2005-03-18,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.03034615447524569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2005-03-25,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.041798383069925005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-04-01,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.03942587973937839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-04-08,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.03476320635936381,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-04-15,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0662561458210622,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-04-22,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0546404452319198,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-04-29,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.05316809460388039,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-05-06,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.042207017111171474,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0
