origin_date,realization_end_date,simulations,training_weeks,forecast_weeks,training_fit_rmse,predicted_return,realized_return,direction_correct
2010-01-01,2010-12-31,100,260,52,0.06483765409036459,0.14067948972049638,0.08050626991689325,True
2010-12-31,2011-12-30,100,312,52,0.059345982082137864,0.1509288036325387,0.04910696147439486,True
2011-12-30,2012-12-28,100,364,52,0.06754935106692884,0.11050398488854274,0.03245263632242956,True
2012-12-28,2013-12-27,100,416,52,0.07271240163113674,-0.012416777724195138,0.17146844833339814,False
2013-12-27,2014-12-26,100,468,52,0.07560823331465917,0.05084821011710394,0.08193286694662416,True
2014-12-26,2015-12-25,100,520,52,0.07620147101583476,0.17446782099506208,-0.06173381925933674,False
2015-12-25,2016-12-23,100,572,52,0.07575351437542659,0.06261313332727902,0.05532587528450783,True
2016-12-23,2017-12-22,100,624,52,0.08413557175601098,0.16854549527591045,0.14577965773390678,True
2017-12-22,2018-12-21,100,676,52,0.07474643601069678,0.04773965998359442,-0.04654461932209475,False
2018-12-21,2019-12-20,100,728,52,0.10321213615832217,0.06970284701745522,0.1293478124234293,True
2019-12-20,2020-12-18,100,780,52,0.11923547885718011,0.059824508985259595,-0.018922540432641966,False
2020-12-18,2021-12-17,100,832,52,0.12685669726316884,0.15958760145360307,0.13850872703051476,True
2021-12-17,2022-12-16,100,884,52,0.13489590359462167,0.011672670792494566,-0.018793613144034382,False
2022-12-16,2023-12-15,100,936,52,0.1564371716963866,-0.08442743014499487,0.04051433891576495,False
2023-12-15,2024-12-13,100,988,52,0.17844979615806658,-0.017941490691607664,0.16391219132979074,False
2024-12-13,2025-12-12,100,1040,52,0.1705678394732608,-0.04438732145961666,0.11045652539727313,False
2010-01-01,2010-12-31,500,260,52,0.04778289609429274,0.04660768027394857,0.08050626991689325,True
2010-12-31,2011-12-30,500,312,52,0.045423995064619,0.05611354473459462,0.04910696147439486,True
2011-12-30,2012-12-28,500,364,52,0.06201785673383013,-0.036707215111683955,0.03245263632242956,False
2012-12-28,2013-12-27,500,416,52,0.05807760163831775,0.02611023216021824,0.17146844833339814,True
2013-12-27,2014-12-26,500,468,52,0.07136265147671418,0.13184936658599122,0.08193286694662416,True
2014-12-26,2015-12-25,500,520,52,0.0733853788999355,0.328576850516876,-0.06173381925933674,False
2015-12-25,2016-12-23,500,572,52,0.07848088262324511,-0.14602339977601753,0.05532587528450783,False
2016-12-23,2017-12-22,500,624,52,0.07883600088823865,0.016975497878314094,0.14577965773390678,True
2017-12-22,2018-12-21,500,676,52,0.0873163453417653,0.17026330172797,-0.04654461932209475,False
2018-12-21,2019-12-20,500,728,52,0.08843272900818994,-0.029959338064997953,0.1293478124234293,False
2019-12-20,2020-12-18,500,780,52,0.09687410493823863,0.19015708282801835,-0.018922540432641966,False
2020-12-18,2021-12-17,500,832,52,0.1183499911722204,0.05995663728768519,0.13850872703051476,True
2021-12-17,2022-12-16,500,884,52,0.13393117498930535,0.07535772562203946,-0.018793613144034382,False
2022-12-16,2023-12-15,500,936,52,0.14693622282931623,0.01035582958040382,0.04051433891576495,True
2023-12-15,2024-12-13,500,988,52,0.15075924352528097,0.24675596411442924,0.16391219132979074,True
2024-12-13,2025-12-12,500,1040,52,0.15531195027665823,-0.07599853821218694,0.11045652539727313,False
2010-01-01,2010-12-31,1000,260,52,0.042084496560100104,-0.024601418755811788,0.08050626991689325,False
2010-12-31,2011-12-30,1000,312,52,0.04639190877719764,0.07649124505471772,0.04910696147439486,True
2011-12-30,2012-12-28,1000,364,52,0.052884765334708074,0.06166705859276567,0.03245263632242956,True
2012-12-28,2013-12-27,1000,416,52,0.06254585879464095,0.009628111390271199,0.17146844833339814,True
2013-12-27,2014-12-26,1000,468,52,0.06643960993576388,0.02700289132679301,0.08193286694662416,True
2014-12-26,2015-12-25,1000,520,52,0.06213489294923697,0.05515308292063281,-0.06173381925933674,False
2015-12-25,2016-12-23,1000,572,52,0.07772969587807065,0.026393750055956344,0.05532587528450783,True
2016-12-23,2017-12-22,1000,624,52,0.08089183579440641,0.08577808400983256,0.14577965773390678,True
2017-12-22,2018-12-21,1000,676,52,0.07903815923556413,-0.01668041367490114,-0.04654461932209475,True
2018-12-21,2019-12-20,1000,728,52,0.07977450280867861,0.1127291187570707,0.1293478124234293,True
2019-12-20,2020-12-18,1000,780,52,0.0866882152408173,0.05453408974252394,-0.018922540432641966,False
2020-12-18,2021-12-17,1000,832,52,0.12628947735400034,0.16777330104413224,0.13850872703051476,True
2021-12-17,2022-12-16,1000,884,52,0.1180671511131087,-0.0192746904222314,-0.018793613144034382,True
2022-12-16,2023-12-15,1000,936,52,0.1334978349631463,0.06622541871104559,0.04051433891576495,True
2023-12-15,2024-12-13,1000,988,52,0.1490932503581688,-0.06699204488107091,0.16391219132979074,False
2024-12-13,2025-12-12,1000,1040,52,0.12620024452535009,0.007573668524411881,0.11045652539727313,True
