method,horizon_weeks,paths,terminal_return_p01,terminal_return_p05,terminal_return_p50,terminal_return_p95,terminal_return_p99,terminal_return_expected_shortfall_5pct,annual_return_p05,annual_return_p50,max_drawdown_p01,max_drawdown_p05,max_drawdown_p50,probability_terminal_loss,probability_terminal_loss_20pct,probability_terminal_loss_50pct,probability_drawdown_20pct,probability_drawdown_30pct,probability_drawdown_40pct,probability_drawdown_50pct,probability_recover_initial_wealth
source_gaussian_gbm,52,30000,-0.13652725718018924,-0.08071363788560561,0.0620058356011951,0.22778445068590372,0.30425162610612533,-0.11435796357283995,-0.08071363788560561,0.0620058356011951,-0.17086954575377383,-0.13476338124034712,-0.06604459469598489,0.2494,0.0008,0.0,0.0023333333333333335,0.0,0.0,0.0,0.0
source_gaussian_gbm,156,30000,-0.16092364076250962,-0.07184180535665236,0.19604828943757147,0.5347422097163196,0.7098902496182018,-0.1279630352683207,-0.02454478599894369,0.061490808865695246,-0.2533599506556571,-0.1974772362426143,-0.10490638058754459,0.1221,0.0044,0.0,0.0466,0.0018,3.3333333333333335e-05,0.0,0.0
source_gaussian_gbm,260,30000,-0.15681697468612876,-0.026793752045650075,0.3476248560216798,0.8683107958982339,1.138703432261138,-0.10453320126894726,-0.0054171238056299085,0.0614848559484541,-0.28969423156208957,-0.23021177816380886,-0.12575133688560386,0.0664,0.004633333333333333,0.0,0.10083333333333333,0.007233333333333333,0.00013333333333333334,0.0,0.0
iid_empirical,52,30000,-0.14928857159959463,-0.08253887281572721,0.06905126580417742,0.22705517763389887,0.2996557107605818,-0.12273057572489612,-0.08253887281572721,0.06905126580417742,-0.19316364536917366,-0.14423164251224815,-0.057532935668889396,0.22576666666666667,0.0018333333333333333,0.0,0.0073,0.00013333333333333334,0.0,0.0,0.0
iid_empirical,156,30000,-0.16435918980439615,-0.05997094051361086,0.21405344614171706,0.5473126557003485,0.7116530055927193,-0.12382819514315509,-0.020403796974953335,0.06679081720894575,-0.26275069615147745,-0.20416590118184919,-0.10055214100006488,0.10653333333333333,0.005166666666666667,0.0,0.055766666666666666,0.0036666666666666666,0.00016666666666666666,3.3333333333333335e-05,0.0
iid_empirical,260,30000,-0.14272431909452432,-0.012201737616939235,0.37711826307682705,0.8927961569105625,1.158547182014168,-0.09182736534441066,-0.0024523460671420304,0.06609092769052538,-0.30156852159260183,-0.23620986107188097,-0.12287648806806228,0.0561,0.0042,0.0,0.10993333333333333,0.010633333333333333,0.0004,0.0,0.0
moving_block_13w,52,30000,-0.13375364516001742,-0.06456097641412116,0.07020674125758375,0.19673337107687855,0.2585094305091184,-0.10686440528131239,-0.06456097641412116,0.07020674125758375,-0.24052931925131202,-0.1449269521201741,-0.05374622253568201,0.1825,0.0018,0.0,0.0355,0.0009333333333333333,6.666666666666667e-05,0.0,0.0
moving_block_13w,156,30000,-0.13451874374217132,-0.03385645876255425,0.21565544750597243,0.4930995220059834,0.620262896280883,-0.09659982530180247,-0.011415299477755176,0.06725983806724178,-0.29002865741604994,-0.23895540685040267,-0.08722711890535889,0.07896666666666667,0.003033333333333333,0.0,0.11213333333333333,0.007266666666666667,0.0003333333333333333,0.0,0.0
moving_block_13w,260,30000,-0.10224984366060436,0.030741269596428956,0.3851838002995408,0.8032105399675759,1.0124115546312433,-0.049519489671809254,0.006074017004418064,0.06733679344068544,-0.31741266831313636,-0.2591691328303603,-0.10688930999212687,0.0354,0.0018666666666666666,0.0,0.18526666666666666,0.0157,0.0008333333333333334,0.0,0.0
moving_block_13w_mean_haircut,52,30000,-0.16561586340838633,-0.09509312605036431,0.03528776641733811,0.1553124127694747,0.21246070033438105,-0.1389697891908644,-0.09509312605036431,0.03528776641733811,-0.2540586924486273,-0.16655984046213695,-0.06210081133279183,0.3189,0.004633333333333333,0.0,0.0389,0.0016666666666666668,6.666666666666667e-05,0.0,0.0
moving_block_13w_mean_haircut,156,30000,-0.22151090271950297,-0.12682904499017647,0.10057996349094056,0.34676687046087246,0.45902154867842054,-0.18430873664246528,-0.04420131905831919,0.03246150310366247,-0.3219125164716109,-0.2575566639487835,-0.10328721930215556,0.2383,0.014666666666666666,0.0,0.13683333333333333,0.016866666666666665,0.0011666666666666668,3.3333333333333335e-05,0.0
moving_block_13w_mean_haircut,260,30000,-0.24272254805350668,-0.13432882156800333,0.1662143354603266,0.5285704918953961,0.69729107124629,-0.2010074589505623,-0.028437840136150565,0.03123032369974066,-0.3679407633572287,-0.291108731319785,-0.1318628277217832,0.18826666666666667,0.0208,0.0,0.24416666666666667,0.04123333333333333,0.004566666666666667,0.0001,0.0
forced_worst_13w_then_blocks,260,30000,-0.29708894396422847,-0.19823460693337341,0.07142615098609639,0.38982290733395114,0.5378594890314518,-0.2570020039257841,-0.043225787773845135,0.013893755919469508,-0.4294026307223579,-0.3780832708181253,-0.2553744039974998,0.3382,0.0486,3.3333333333333335e-05,1.0,0.17803333333333332,0.0301,0.0009,0.7591
