simulations,origins,correct,direction_accuracy,wilson_95pct_lower,positive_realizations,majority_direction_accuracy,excess_accuracy_vs_majority,predeclared_absolute_edge_gate,edge_gate
100,16,8,0.5,0.27999563610326017,12,0.75,-0.25,False,False
500,16,8,0.5,0.27999563610326017,12,0.75,-0.25,False,False
1000,16,12,0.75,0.5050168346449122,12,0.75,0.0,True,False
