origin_date,realization_end_date,training_weeks,forecast_weeks,terminal_p05,terminal_p50,terminal_p95,actual_terminal_return,terminal_90pct_covered,drawdown_p05,drawdown_p50,drawdown_p95,actual_max_drawdown,drawdown_90pct_covered,predicted_probability_loss,actual_loss
2010-01-01,2010-12-31,260,52,-0.0549268139818531,0.07432893253057127,0.22643152196295582,0.08050626991689325,True,-0.11396244365446676,-0.05051235292787515,-0.026641776017999885,-0.07077035513599839,True,0.178,False
2010-12-31,2011-12-30,312,52,-0.055655112098314995,0.07783650319934055,0.22004564204796287,0.04910696147439486,True,-0.11382206076085352,-0.05478521532935776,-0.026403850192251443,-0.036635913340119175,True,0.1752,False
2011-12-30,2012-12-28,364,52,-0.047186927477765594,0.07051836662933353,0.20983028493633818,0.03245263632242956,True,-0.10574681633665839,-0.05119194235767599,-0.028683680261449407,-0.03815149209676538,True,0.174,False
2012-12-28,2013-12-27,416,52,-0.04692896625537238,0.06414102083724516,0.19768569902174457,0.17146844833339814,True,-0.10492970552549305,-0.05051235292787526,-0.028347245625033768,-0.07436521253391692,True,0.1782,False
2013-12-27,2014-12-26,468,52,-0.038118087102317864,0.07874343994112476,0.2140028184147762,0.08193286694662416,True,-0.1054771634528838,-0.05051235292787515,-0.026403850192251443,-0.038266289402189346,True,0.139,False
2014-12-26,2015-12-25,520,52,-0.03381621542705584,0.07677365216094689,0.20397397947256446,-0.06173381925933674,False,-0.10155995691794686,-0.05051235292787515,-0.02551995279509245,-0.10306594358177712,False,0.1276,True
2015-12-25,2016-12-23,572,52,-0.05155106732390362,0.06537116391365227,0.19413314860222672,0.05532587528450783,True,-0.10833805338188032,-0.050990857875816586,-0.026403850192251443,-0.041882727459291336,True,0.1838,False
2016-12-23,2017-12-22,624,52,-0.051466209381289194,0.06370034519826595,0.19239445484142567,0.14577965773390678,True,-0.10540636128591595,-0.05051235292787515,-0.025092166755323442,-0.018771119178381035,False,0.1912,False
2017-12-22,2018-12-21,676,52,-0.04192536870338296,0.07359673819428414,0.1985903895003172,-0.04654461932209475,False,-0.09984462909725064,-0.04733951206785303,-0.02245818655497544,-0.09823485152084976,True,0.1474,True
2018-12-21,2019-12-20,728,52,-0.05835632187425699,0.06207386034202078,0.1903431529486243,0.1293478124234293,True,-0.11065724933740809,-0.05333530818590243,-0.023448519587527437,-0.024906871607809578,True,0.1946,False
2019-12-20,2020-12-18,780,52,-0.04860410943853784,0.06754349358986134,0.18488040965607205,-0.018922540432641966,True,-0.10730562134136275,-0.05051235292787504,-0.022458186554975553,-0.23500432356356638,False,0.1726,True
2020-12-18,2021-12-17,832,52,-0.07605980709984003,0.06581522518882599,0.19037921777829284,0.13850872703051476,True,-0.17881182682095376,-0.05286781244461336,-0.023665951697162405,-0.036838042450556996,True,0.197,False
2021-12-17,2022-12-16,884,52,-0.06892646135987189,0.06803163931259337,0.19817851565041023,-0.018793613144034382,True,-0.17881182682095365,-0.05051235292787504,-0.02245818655497533,-0.08191201423671368,True,0.1846,True
2022-12-16,2023-12-15,936,52,-0.07373672827008088,0.06354902751905,0.19429903015920383,0.04051433891576495,True,-0.17881182682095365,-0.053306193319328454,-0.023743586298999975,-0.06381634205988229,True,0.2096,False
2023-12-15,2024-12-13,988,52,-0.07070754121523101,0.06547413250763678,0.1935391680458777,0.16391219132979074,True,-0.16147046092272432,-0.05227115443710034,-0.023743586298999975,-0.02247847877981668,False,0.199,False
2024-12-13,2025-12-12,1040,52,-0.07150228360439524,0.07022411120661132,0.2034647227752538,0.11045652539727313,True,-0.17870261606358806,-0.05089837762324978,-0.023743586298999975,-0.08489132401156196,True,0.1906,False
