candidate,cutoff,shocked_date,maximum_prefix_difference
sleeve_momentum_26_mild,2023-12-29,2024-01-05,0.0
sleeve_momentum_26_assertive,2023-12-29,2024-01-05,0.0
sleeve_momentum_52,2023-12-29,2024-01-05,0.0
sleeve_sharpe_26,2023-12-29,2024-01-05,0.0
sleeve_sharpe_52,2023-12-29,2024-01-05,0.0
sleeve_momentum_lowvol_26,2023-12-29,2024-01-05,0.0
sleeve_momentum_26_mild,2024-12-27,2025-01-03,0.0
sleeve_momentum_26_assertive,2024-12-27,2025-01-03,0.0
sleeve_momentum_52,2024-12-27,2025-01-03,0.0
sleeve_sharpe_26,2024-12-27,2025-01-03,0.0
sleeve_sharpe_52,2024-12-27,2025-01-03,0.0
sleeve_momentum_lowvol_26,2024-12-27,2025-01-03,0.0
sleeve_momentum_26_mild,2025-12-26,2026-01-02,0.0
sleeve_momentum_26_assertive,2025-12-26,2026-01-02,0.0
sleeve_momentum_52,2025-12-26,2026-01-02,0.0
sleeve_sharpe_26,2025-12-26,2026-01-02,0.0
sleeve_sharpe_52,2025-12-26,2026-01-02,0.0
sleeve_momentum_lowvol_26,2025-12-26,2026-01-02,0.0
