rule_name,market_state,n_weeks,allowed_share,suppressed_share,avg_actual_offense_when_allowed,avg_actual_offense_when_suppressed,future_4w_return_allowed,future_4w_return_suppressed,future_4w_drawdown_allowed,future_4w_drawdown_suppressed,whipsaw_rate_allowed,whipsaw_rate_suppressed,avg_risk_appetite_allowed,avg_deterioration_suppressed,research_only,future_return_lift_allowed_minus_suppressed
broad_breadth_low_deterioration,ALL,1110,0.5783783783783784,0.42162162162162165,0.5191733239261493,0.27503137656297183,0.005879523677220801,0.00489038173235331,-0.01027994814991628,-0.006510042081560993,0.2881619937694704,0.6666666666666666,0.731229692595628,0.5989515385084871,True,0.0009891419448674913
broad_breadth_low_deterioration,calm_trend,295,0.8983050847457628,0.1016949152542373,0.5752044288791709,0.44097829781139003,0.0043221922433119755,0.0028740029638120797,-0.010942679863655559,-0.009669587406905478,0.17358490566037735,0.3,0.7601045111345909,0.5418520623113832,True,0.0014481892794998958
broad_breadth_low_deterioration,neutral_mixed,493,0.5983772819472617,0.40162271805273836,0.48570541761659003,0.3388626043250851,0.006654535234740309,0.00773610183801579,-0.01017997503948681,-0.005637379687974889,0.29152542372881357,0.350253807106599,0.7083048310028388,0.5836487978146202,True,-0.0010815666032754807
broad_breadth_low_deterioration,recovery_fragile,49,0.7959183673469388,0.20408163265306123,0.4283911606453796,0.4304261270160308,0.0034915950242685144,0.0025973913066384526,-0.008751776497485885,-0.009654778430383915,0.717948717948718,0.4,0.6940163343035451,0.5384501132639291,True,0.0008942037176300618
broad_breadth_low_deterioration,recovery_confirmed,44,0.9772727272727273,0.022727272727272728,0.4858080661754346,0.5382837943500074,0.01232588735123763,,-0.008267549495976042,,0.5813953488372093,,0.7443070933035085,0.6965384615384614,True,
broad_breadth_low_deterioration,stressed_panic,229,0.0,1.0,,0.1901659151801395,,0.002797462462607156,,-0.006710396328437743,,1.0,,0.6218788497430477,True,
transition_quality_stable,ALL,1110,0.7225225225225225,0.2774774774774775,0.4792200843429075,0.25223847580859365,0.005746069064469064,0.0047224075954618175,-0.009388301935171846,-0.006876977469391125,0.300498753117207,0.8327868852459016,0.6915164271732482,0.6298634403303571,True,0.0010236614690072466
transition_quality_stable,calm_trend,295,0.9898305084745763,0.010169491525423728,0.5606752400731453,0.6471174953211871,0.004172641131524789,0.004396607662265868,-0.010831888484858533,-0.008995449499065352,0.18835616438356165,0.0,0.7423158456229704,0.6745061411235075,True,-0.00022396653074107948
transition_quality_stable,neutral_mixed,493,0.8559837728194726,0.1440162271805274,0.4291457448069886,0.4123716837283349,0.006519762937864699,0.010510857093694275,-0.008540063692086722,-0.007282136530272372,0.3104265402843602,0.34285714285714286,0.6537026913759205,0.660341306796326,True,-0.0039910941558295755
transition_quality_stable,recovery_fragile,49,0.9183673469387755,0.08163265306122448,0.4139574752791234,0.5958575369423882,0.0024129569648184543,0.013390763899006536,-0.009046560178701394,-0.007692964916056477,0.6666666666666666,0.5,0.6660490421855196,0.4958483407859814,True,-0.01097780693418808
transition_quality_stable,recovery_confirmed,44,0.9772727272727273,0.022727272727272728,0.4858080661754346,0.5382837943500074,0.01232588735123763,,-0.008267549495976042,,0.5813953488372093,,0.7443070933035085,0.6965384615384614,True,
transition_quality_stable,stressed_panic,229,0.0,1.0,,0.1901659151801395,,0.002797462462607156,,-0.006710396328437743,,1.0,,0.6218788497430477,True,
risk_appetite_positive,ALL,1110,0.581981981981982,0.418018018018018,0.5220881015389525,0.2688686305989125,0.005687865862546185,0.00515036954254926,-0.010406638753564663,-0.006299799664575578,0.29102167182662536,0.665943600867679,0.7317183638826272,0.5995373201666565,True,0.0005374963199969249
risk_appetite_positive,calm_trend,295,0.9220338983050848,0.07796610169491526,0.5744673599865848,0.40884350743351894,0.004062115679694551,0.005508937761526862,-0.011007012701770765,-0.008521318747575635,0.1801470588235294,0.2608695652173913,0.7563846882109684,0.5471599054523394,True,-0.0014468220818323104
risk_appetite_positive,neutral_mixed,493,0.592292089249493,0.4077079107505071,0.4914853966097531,0.33265750270255245,0.006639577038474434,0.007741717305514834,-0.010273872336258691,-0.005568428564960625,0.2979452054794521,0.34,0.7117684300464677,0.5824393932248892,True,-0.0011021402670404
risk_appetite_positive,recovery_fragile,49,0.7959183673469388,0.20408163265306123,0.42590535954411934,0.4401207513109456,0.0025819546407734417,0.006144988802269236,-0.009571944343759409,-0.006456123829917171,0.6923076923076923,0.5,0.6951754176711376,0.5423525641025642,True,-0.0035630341614957942
risk_appetite_positive,recovery_confirmed,44,0.9772727272727273,0.022727272727272728,0.4858080661754346,0.5382837943500074,0.01232588735123763,,-0.008267549495976042,,0.5813953488372093,,0.7443070933035085,0.6965384615384614,True,
risk_appetite_positive,stressed_panic,229,0.0,1.0,,0.1901659151801395,,0.002797462462607156,,-0.006710396328437743,,1.0,,0.6218788497430477,True,
strict_all_clear,ALL,1110,0.4486486486486487,0.5513513513513514,0.5162778355596747,0.33483267333879196,0.00694198500894096,0.004255456768255248,-0.009466872079253065,-0.008066328382108518,0.2710843373493976,0.5911330049261084,0.7510972326317188,0.5678523266955162,True,0.0026865282406857123
strict_all_clear,calm_trend,295,0.7016949152542373,0.2983050847457627,0.5597603768402003,0.5657741429704605,0.0051886469926696425,0.0017903534762434066,-0.009148447974754715,-0.014729193810246151,0.1497584541062802,0.2727272727272727,0.7751600529799757,0.47280611884136314,True,0.003398293516426236
strict_all_clear,neutral_mixed,493,0.4665314401622718,0.5334685598377282,0.4941060816335125,0.3678079660743463,0.007573724102469362,0.006660852720494462,-0.010058995643220443,-0.006870562737553283,0.28695652173913044,0.33969465648854963,0.7314025284824304,0.5603966707266286,True,0.0009128713819749005
