variant,family,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,avg_turnover,cost_drag,n_weeks,avg_BIL,avg_SPY,avg_offense,avg_defense,holdout_2020_ann_return,holdout_2020_ann_vol,holdout_2020_sharpe,holdout_2020_max_drawdown,holdout_2020_calmar,holdout_2020_cvar_5,holdout_2020_avg_turnover,holdout_2020_cost_drag,holdout_2020_n_weeks,shock_2022_ann_return,shock_2022_ann_vol,shock_2022_sharpe,shock_2022_max_drawdown,shock_2022_calmar,shock_2022_cvar_5,shock_2022_avg_turnover,shock_2022_cost_drag,shock_2022_n_weeks,calm_trend_ann_return,calm_trend_sharpe,calm_trend_max_drawdown,neutral_mixed_ann_return,neutral_mixed_sharpe,neutral_mixed_max_drawdown,recovery_confirmed_ann_return,recovery_confirmed_sharpe,recovery_confirmed_max_drawdown,recovery_fragile_ann_return,recovery_fragile_sharpe,recovery_fragile_max_drawdown,stressed_panic_ann_return,stressed_panic_sharpe,stressed_panic_max_drawdown,delta_ann_return_vs_exact_ggg,delta_sharpe_vs_exact_ggg,delta_max_drawdown_vs_exact_ggg,delta_cvar_5_vs_exact_ggg,delta_avg_turnover_vs_exact_ggg,promising_vs_exact_ggg
exact_ggg_reference,benchmark,0.07138099253495311,0.07621368826084113,0.9365901869314063,-0.11773854403501682,0.6062669886059027,-0.02537714571816087,0.06183881682725351,0.06857924786142414,1110,0.2665801265614856,0.06025656512327496,0.4162378001730258,0.5447233297452163,0.09549685056514079,0.08810823405283164,1.0838584110978637,-0.11773854403501693,0.8110925045645104,-0.02657510073117919,0.06409908154980386,0.021024498748335667,328,-0.012933042242853965,0.06063304919209958,-0.21330021193357906,-0.06841790904172218,-0.18903007157040153,-0.015625505689319016,0.043061529768836766,0.0022391995479795115,52,0.040850501925236316,0.5144977082301815,-0.13932214620799088,0.11211233905762019,1.4630451636401218,-0.09121696089228437,0.025704515117367377,0.3482473696428669,-0.05379827566557094,0.0666705276141002,1.1539570853581569,-0.03219421138249978,0.035802805834723284,0.48174004705598167,-0.1216216745899299,0.0,0.0,0.0,0.0,0.0,True
phase2b_recomputed_reference,benchmark,0.06892339744592846,0.07789583362986206,0.8848149411100988,-0.139754039463866,0.4931764241687547,-0.02618104184700399,0.056229222831965395,0.062358208120649614,1110,0.2839178772422698,0.07081167142134887,0.4282601994194929,0.5250188292725647,0.08067462219628951,0.0860435891927348,0.937601777810326,-0.139754039463866,0.5772614695487802,-0.02729826697079917,0.05597522886750208,0.018359875068540678,328,0.005105952407714165,0.057984324863937585,0.08805746069641193,-0.0456592004786156,0.11182745983704923,-0.015643191461468985,0.0400422700860334,0.0020821980444737363,52,0.035583518685472715,0.3849275845572311,-0.16468334175541066,0.11043252730450415,1.463678075608227,-0.08966981616920866,0.02614725720969413,0.3891238672647747,-0.04965947265532489,0.06973508185847477,1.3304864198616944,-0.030884521733533066,0.03369319983341268,0.49781505739494947,-0.12080985474854278,-0.0024575950890246556,-0.051775245821307436,-0.022015495428849174,-0.0008038961288431186,-0.005609593995288112,False
p3_confidence_offense_eligibility_mild,confidence_sandbox,0.07125955326331712,0.07609795152656577,0.9364188106750867,-0.11773854403501693,0.6052355568633805,-0.025335771562806354,0.062472617630787486,0.06928213295254332,1110,0.26780622084962274,0.06006465536004831,0.4150117058848891,0.5459494240333533,0.09535120287978716,0.08800579017227075,1.0834651071609926,-0.11773854403501693,0.8098554611939868,-0.02655351660963672,0.06457776874460551,0.02118150814823061,328,-0.012876148103777352,0.06046167948673192,-0.2129637848813474,-0.0685983477964025,-0.18770347271326868,-0.015503195667245026,0.043435368190063176,0.0022586391458832853,52,0.0408346433623481,0.5143016948130225,-0.13935444333817848,0.11191699827037538,1.4651596195002379,-0.09130306048725523,0.02572979075780446,0.34859115905459953,-0.05379827566557094,0.06605000818944728,1.1466462194257425,-0.03219421138249923,0.035769797439555884,0.481304071924483,-0.12162167458992978,-0.00012143927163599244,-0.00017137625631957754,-1.1102230246251565e-16,4.1374155354517717e-05,0.0006338008035339793,True
p3_transition_aware_gating,confidence_sandbox,0.0714040296568248,0.07625637009008196,0.9363680643659661,-0.11773854403501705,0.6064626519892098,-0.025390241817823647,0.06218714631601326,0.06896554526445872,1110,0.2660721331977833,0.060297262180563416,0.41674904210358843,0.5442120878146541,0.09545071609216205,0.08819138610087983,1.0823133676907908,-0.11773854403501693,0.8107006662471875,-0.026618240824185988,0.06463874790481264,0.021201509312778543,328,-0.012933042242853965,0.06063304919209958,-0.21330021193357906,-0.06841790904172218,-0.18903007157040153,-0.015625505689319016,0.043061529768836766,0.002239199547979512,52,0.040851896692142065,0.5145150055344687,-0.1393198403913285,0.1120960705614209,1.4628491938226766,-0.0912286513658056,0.02643877929306515,0.35374813687547685,-0.05439518106157282,0.06665305015146328,1.1491329107868604,-0.0323084333672341,0.035802805834723284,0.48174004705598167,-0.1216216745899299,2.3037121871682942e-05,-0.00022212256544018594,-2.220446049250313e-16,-1.3096099662775196e-05,0.0003483294887597563,True
p3_asymmetric_rerisking,confidence_sandbox,0.07163502771675434,0.07649069213324844,0.9365195387690384,-0.1182235599048197,0.6059285287503337,-0.025476774894134722,0.06260197531875727,0.06942559062850182,1110,0.26451613007402214,0.0606255667599008,0.4187108206897544,0.5422830514258031,0.09537069971133172,0.08844219891700356,1.078339309505749,-0.1182235599048197,0.8066979186560909,-0.026749712600919708,0.0650293164997172,0.021329615811907246,328,-0.012933042242853965,0.06063304919209958,-0.21330021193357906,-0.06841790904172218,-0.18903007157040153,-0.015625505689319016,0.043061529768836766,0.002239199547979512,52,0.04094024565323173,0.5131974818888503,-0.13915683756390673,0.11240857150547745,1.4605781556519892,-0.09192353520649599,0.027460015977358587,0.3694375118242642,-0.05375641415120547,0.06738593918988789,1.1636868308092747,-0.03199140506258802,0.03579524823385505,0.48164296504995247,-0.12162167458993,0.00025403518180122653,-7.064816236790339e-05,-0.0004850158698028739,-9.962917597385046e-05,0.0007631584915037681,True
p3_deterioration_suppression,confidence_sandbox,0.07109631877869482,0.07604920104964413,0.9348726587184509,-0.11773854403501693,0.6038491418540888,-0.02533499720693574,0.06275198311622995,0.06959194927589903,1110,0.26785778767230256,0.06001787888249229,0.41496013906220924,0.5460009908560332,0.0950810147250769,0.08800651891121473,1.0803860430043741,-0.11773854403501693,0.8075606463827054,-0.02656215025825371,0.06486091680771404,0.021274380712930203,328,-0.013231243605149268,0.06049573865250624,-0.21871364661155548,-0.06885283427346423,-0.1921670145429085,-0.015552119676074623,0.04373067170965229,0.0022739949289019186,52,0.04086995638720059,0.5149192489956728,-0.13902416600367873,0.11146909203965505,1.4612332264576993,-0.09128718735274866,0.025688273880720036,0.34804384212835515,-0.05379827566557105,0.06654900561487187,1.1517610418330715,-0.032296021810679365,0.03576221402936497,0.48121049637966357,-0.12162167458993,-0.0002846737562582913,-0.0017175282129553437,-1.1102230246251565e-16,4.214851122513047e-05,0.0009131662889764469,True
p3_confidence_bounded_scaling,confidence_sandbox,0.0715896580282056,0.07648550276725698,0.9359898992368623,-0.11826467703436594,0.6053342369286032,-0.02548554208370049,0.06270036032675193,0.0695346996023679,1110,0.2644104874802004,0.06065046220682992,0.4189428522815704,0.5420604629657285,0.09540813081178778,0.08843862995183466,1.0788060699690718,-0.11826467703436583,0.8067339564463842,-0.026741256906412117,0.0651132848408946,0.02135715742781343,328,-0.012826646057082725,0.060544520097684996,-0.21185478118230502,-0.06838666299367913,-0.1875606367614146,-0.015550006416036386,0.043235033851412044,0.0022482217602734257,52,0.04082245274391494,0.5112132787307202,-0.13943963657401637,0.11243334179547637,1.4624318231731288,-0.09206384955130786,0.027186014927516933,0.3649457744848305,-0.05387182958066761,0.06718865216696468,1.159105549725541,-0.032319929303087136,0.03577808108481895,0.48140745374360566,-0.12162726499968446,0.00020866549325249117,-0.0006002876945440105,-0.000526132999349116,-0.0001083963655396196,0.0008615434994984211,True
p3_combined_confidence_modifier,confidence_sandbox,0.07147211478413151,0.07607400884678658,0.9395076698018727,-0.1181171155420947,0.6050953281081454,-0.02530685137821081,0.06346325712816195,0.0703807521551316,1110,0.2671687434643169,0.06025555466836471,0.41633197618184486,0.5448680958205,0.09534323534314604,0.0882548530811933,1.0803171951964106,-0.11811711554209503,0.8071923777140261,-0.026678105240069146,0.06600558159294133,0.02164983076248475,328,-0.013283591108016912,0.06056327009310166,-0.21933411269894346,-0.06881581806831272,-0.19303107164737088,-0.015614836949321536,0.04433459402730985,0.002305398889420112,52,0.040976985493597295,0.5181412099402525,-0.13729487890702075,0.11209186396300108,1.4658997262189277,-0.09191763960294441,0.027103631614707524,0.3644134728798576,-0.05414176398202031,0.06712829979336421,1.1622998115669982,-0.03242555274266934,0.03574234054334102,0.48093159649515305,-0.12164416251180499,9.112224917839917e-05,0.002917482870466448,-0.0003785715070778739,7.029433995005968e-05,0.0016244403009084418,True
