candidate,cost_bps,window,mean_trend_weight,weeks,start,end,cagr,sharpe_zero_rf,sortino_zero_target,max_drawdown,annual_one_way_turnover
comparison_ceiling,50,full,0.6,1127,2005-01-07,2026-08-07,0.0838710379419203,0.5956537686851767,0.8492428708572491,-0.3060956143214171,3.4464485287132858
comparison_ceiling,50,trailing_1y,0.6,53,2025-08-08,2026-08-07,0.3544630028876561,1.7393799104278742,2.7621211362116296,-0.13396271044424823,2.460012233505773
comparison_ceiling,50,trailing_2y,0.6,105,2024-08-09,2026-08-07,0.2871382916281191,1.6288174413559804,2.603995875718439,-0.13396271044424857,2.9206408556437795
comparison_ceiling,50,trailing_3y,0.6,157,2023-08-11,2026-08-07,0.2410225495464844,1.4745188492840253,2.3622251964859737,-0.13396271044424823,2.9782643478452147
comparison_ceiling,50,post_2024,0.6,136,2024-01-05,2026-08-07,0.256037150059893,1.5490329700652137,2.4543993082685,-0.13396271044424846,3.007158175960379
comparison_ceiling,100,full,0.6,1127,2005-01-07,2026-08-07,0.06535581327156925,0.4844680024441433,0.6843076865288825,-0.33532334752671944,3.4464485287132858
comparison_ceiling,100,trailing_1y,0.6,53,2025-08-08,2026-08-07,0.3380093862683353,1.6731868388218674,2.6419256155790167,-0.1382619770560224,2.460012233505773
comparison_ceiling,100,trailing_2y,0.6,105,2024-08-09,2026-08-07,0.26841446472920305,1.5328073228800843,2.4268940189081216,-0.13826197705602272,2.9206408556437795
comparison_ceiling,100,trailing_3y,0.6,157,2023-08-11,2026-08-07,0.22267371534691804,1.374893133265942,2.178263205657443,-0.1382619770560226,2.9782643478452147
comparison_ceiling,100,post_2024,0.6,136,2024-01-05,2026-08-07,0.23724284384221095,1.4460719992700815,2.2679567401542515,-0.1382619770560224,3.007158175960379
cross::breadth_boost,50,full,0.7407275953859805,1127,2005-01-07,2026-08-07,0.0892916812056006,0.6053063707771837,0.8729207411950202,-0.3113383643357932,4.482000904312267
cross::breadth_boost,50,trailing_1y,0.909433962264151,53,2025-08-08,2026-08-07,0.46076250329401436,1.7543792886372591,2.9199224858528656,-0.15233979815658605,4.126566624407118
cross::breadth_boost,50,trailing_2y,0.8514285714285715,105,2024-08-09,2026-08-07,0.3591061805755298,1.680912295006199,2.7880426718950133,-0.15233979815658583,4.323277005436094
