candidate,cutoff,maximum_weight_difference,prefix_pass
cross::breadth_boost,2025-12-26,0.0,True
cross::risk_on_confirmation,2025-12-26,0.0,True
cross::commodity_confirmation,2025-12-26,0.0,True
cross::equity_leadership,2025-12-26,0.0,True
cross::confirmation_count,2025-12-26,0.0,True
cross::dual_breadth_risk,2025-12-26,0.0,True
ml::ridge_0p1_balanced,2025-12-26,0.0,True
ml::ridge_1_balanced,2025-12-26,0.0,True
ml::ridge_10_balanced,2025-12-26,0.0,True
ml::ridge_0p1_aggressive,2025-12-26,0.0,True
ml::ridge_1_aggressive,2025-12-26,0.0,True
ml::ridge_10_aggressive,2025-12-26,0.0,True
cross::breadth_boost,2026-04-10,0.0,True
cross::risk_on_confirmation,2026-04-10,0.0,True
cross::commodity_confirmation,2026-04-10,0.0,True
cross::equity_leadership,2026-04-10,0.0,True
cross::confirmation_count,2026-04-10,0.0,True
cross::dual_breadth_risk,2026-04-10,0.0,True
ml::ridge_0p1_balanced,2026-04-10,0.0,True
ml::ridge_1_balanced,2026-04-10,0.0,True
ml::ridge_10_balanced,2026-04-10,0.0,True
ml::ridge_0p1_aggressive,2026-04-10,0.0,True
ml::ridge_1_aggressive,2026-04-10,0.0,True
ml::ridge_10_aggressive,2026-04-10,0.0,True
cross::breadth_boost,2026-07-31,0.0,True
cross::risk_on_confirmation,2026-07-31,0.0,True
cross::commodity_confirmation,2026-07-31,0.0,True
cross::equity_leadership,2026-07-31,0.0,True
cross::confirmation_count,2026-07-31,0.0,True
cross::dual_breadth_risk,2026-07-31,0.0,True
ml::ridge_0p1_balanced,2026-07-31,0.0,True
ml::ridge_1_balanced,2026-07-31,0.0,True
ml::ridge_10_balanced,2026-07-31,0.0,True
ml::ridge_0p1_aggressive,2026-07-31,0.0,True
ml::ridge_1_aggressive,2026-07-31,0.0,True
ml::ridge_10_aggressive,2026-07-31,0.0,True
