candidate,family,trailing_1y_cagr,trailing_2y_cagr,trailing_3y_cagr,trailing_3y_cagr_vs_ceiling,trailing_3y_sharpe,trailing_3y_100bps_cagr,recent_drawdown,full_cagr,full_drawdown,rolling_win_share,rolling_median_cagr_difference,rolling_worst_cagr_difference,mean_trend_weight_recent_3y,raw_pvalue,adjusted_pvalue_12_trials,gate_three_year_return,gate_one_year_guard,gate_two_year_guard,gate_cost_stress,gate_rolling_win_share,gate_recent_drawdown,gate_full_drawdown,gate_adjusted_pvalue,qualified
cross::breadth_boost,cross,0.46076250329401436,0.3591061805755298,0.28167634026579424,0.04065379071930986,1.4610364701429892,0.2551791863341626,-0.15233979815658594,0.0892916812056006,-0.3113383643357932,0.4342105263157895,-0.002915167668172014,-0.028922476737939462,0.8318471337579619,0.05299894002119958,0.6359872802543949,True,True,True,True,False,True,True,False,False
cross::dual_breadth_risk,cross,0.34101489259031137,0.28566863394381525,0.2332108996290123,-0.007811649917472074,1.3304564282154243,0.20517397090350742,-0.15233979815658616,0.0807381497549331,-0.26126288764273653,0.5131578947368421,0.0001440045854177452,-0.05032229597213833,0.6560509554140127,0.5870282594348113,1.0,False,False,True,False,True,True,True,False,False
cross::equity_leadership,cross,0.37026086269196434,0.28834690328406376,0.2263177507975631,-0.014704798748921277,1.2466390389281843,0.20115662993627148,-0.1735156326806666,0.07249112781229639,-0.29419104843334565,0.35526315789473684,-0.003986314808065272,-0.07564213268285358,0.7375796178343951,0.6596668066638667,1.0,False,True,True,False,False,True,True,False,False
cross::commodity_confirmation,cross,0.3001233765140594,0.2531460258369158,0.21755282584242752,-0.023469723704056866,1.3508573954704046,0.1955103641215763,-0.14891955965064607,0.08399959985316197,-0.2612628876427364,0.5263157894736842,0.0011712081733707969,-0.023796791590111388,0.48025477707006364,0.9348813023739525,1.0,False,False,False,False,True,True,True,False,False
cross::confirmation_count,cross,0.3141480592524215,0.26336117271550075,0.2173350662528415,-0.023687483293642897,1.3019942627033632,0.19457844254440726,-0.1602280178787986,0.07878021703285243,-0.27113914236882986,0.35526315789473684,-0.005369609346198068,-0.0704899124625824,0.5464968152866243,0.9695406091878163,1.0,False,False,False,False,False,True,True,False,False
ml::ridge_0p1_aggressive,ml,0.32401118122007966,0.26136651590031645,0.21640793863693641,-0.024614610909547974,1.2366098533197625,0.1924153201156753,-0.18194515760220498,0.07251056121145294,-0.3360423527799322,0.2894736842105263,-0.004331962999936267,-0.060835055216112766,0.7000000000000001,0.8535629287414251,1.0,False,False,False,False,False,True,True,False,False
ml::ridge_1_aggressive,ml,0.32401118122007966,0.25380998111601927,0.21152948616690725,-0.029493063379577134,1.2111095792229778,0.18628746009071762,-0.18194515760220475,0.07170435375686712,-0.3360423527799322,0.2894736842105263,-0.0042219534512334955,-0.0642382620806552,0.7152866242038217,0.9000219995600088,1.0,False,False,False,False,False,True,True,False,False
cross::risk_on_confirmation,cross,0.27208652121878174,0.23967952090481304,0.20883429734486958,-0.03218825220161481,1.1753101235180126,0.18298196013485324,-0.1847503202619839,0.07841356380965503,-0.25631024790811674,0.5,-2.6017713067205683e-05,-0.04941604125704768,0.7369426751592356,0.9141017179656407,1.0,False,False,False,False,True,True,True,False,False
ml::ridge_0p1_balanced,ml,0.28609472591531837,0.24101047862191582,0.2013274297473513,-0.039695119799133094,1.2466310445776352,0.17882414988012285,-0.17478569835077462,0.0698346709462696,-0.3060956143214171,0.02631578947368421,0.0,-0.080176417543397,0.5031847133757962,0.9801003979920402,1.0,False,False,False,False,False,True,True,False,False
ml::ridge_10_aggressive,ml,0.2973447660319959,0.24406209602437023,0.19880898887604026,-0.04221356067044413,1.121812039856858,0.1728453152135565,-0.19201421299837207,0.06883355885663489,-0.3360423527799322,0.2894736842105263,-0.005965316322957159,-0.07972095285519099,0.7038216560509554,0.8523229535409291,1.0,False,False,False,False,False,True,True,False,False
ml::ridge_1_balanced,ml,0.2793997525397873,0.23405909366304756,0.1968228880848477,-0.044199661461636675,1.2185215977834247,0.1743252837679794,-0.17916387613572382,0.06882386046259725,-0.3060956143214171,0.05263157894736842,0.0,-0.08700178291165295,0.5235668789808917,0.9864602707945841,1.0,False,False,False,False,False,True,True,False,False
ml::ridge_10_balanced,ml,0.247309173971338,0.21811552610159546,0.1823869569091714,-0.058635592637312994,1.0675479384600708,0.15564970257619426,-0.1923296764468423,0.0651785375388283,-0.3060956143214171,0.013157894736842105,0.0,-0.1039384432873025,0.5643312101910829,0.9095818083638327,1.0,False,False,False,False,False,True,True,False,False
