candidate,first_hash,second_hash,deterministic
comparison_ceiling,23ca17cf524fd63432b93b82786373c0f11af537e1409b636431e3c99c49d438,23ca17cf524fd63432b93b82786373c0f11af537e1409b636431e3c99c49d438,True
cross::breadth_boost,e1d26c229063ae252107ad55bd7b57ea78ca91449b2632e1a7661d3feac59aeb,e1d26c229063ae252107ad55bd7b57ea78ca91449b2632e1a7661d3feac59aeb,True
cross::risk_on_confirmation,36f502efb2841e16a30ef34a4f5ab2bb9f94723faed39745dfc699678fea634b,36f502efb2841e16a30ef34a4f5ab2bb9f94723faed39745dfc699678fea634b,True
cross::commodity_confirmation,d9a25cbe93fc8fdca0bf10913bc045737c20a28fb47ba79f5b00b87209c3fc23,d9a25cbe93fc8fdca0bf10913bc045737c20a28fb47ba79f5b00b87209c3fc23,True
cross::equity_leadership,9c5a0de36e089c0b540071a24f726f3a21c47b3187a3fa68c13de0509f896a05,9c5a0de36e089c0b540071a24f726f3a21c47b3187a3fa68c13de0509f896a05,True
cross::confirmation_count,1149fa47ad96f82ac1672fc9dd009577f93bbef2216d95515556515f8b6364eb,1149fa47ad96f82ac1672fc9dd009577f93bbef2216d95515556515f8b6364eb,True
cross::dual_breadth_risk,2050e433a34878247a57dd9c466df647fe738c9dd1f979734ab6e17f3ddf053d,2050e433a34878247a57dd9c466df647fe738c9dd1f979734ab6e17f3ddf053d,True
ml::ridge_0p1_balanced,0572c3d532283d3fe4229bc358fa9d81f88e165ab55a5f2c72223030a177f5c3,0572c3d532283d3fe4229bc358fa9d81f88e165ab55a5f2c72223030a177f5c3,True
ml::ridge_1_balanced,7f2351aad4e5c1bd3d74ea6d108e6f8de2786940e07616b43b0e253fed8d0de9,7f2351aad4e5c1bd3d74ea6d108e6f8de2786940e07616b43b0e253fed8d0de9,True
ml::ridge_10_balanced,0fddcfe222a324cff43d09cacd645df4f0d6a713ea1181c2b098bef23563cfde,0fddcfe222a324cff43d09cacd645df4f0d6a713ea1181c2b098bef23563cfde,True
ml::ridge_0p1_aggressive,45402e01a8914dbbcadc977e346721341443565e3ac32b95e2ed387efba13d24,45402e01a8914dbbcadc977e346721341443565e3ac32b95e2ed387efba13d24,True
ml::ridge_1_aggressive,a497a0f2594b1f0fab3775a9708e7b73d9262fd1a548637253d38725b4b74130,a497a0f2594b1f0fab3775a9708e7b73d9262fd1a548637253d38725b4b74130,True
ml::ridge_10_aggressive,0e478467dbab5b773ee0429ab819e2f47f31698d4c102a063954711d2a593025,0e478467dbab5b773ee0429ab819e2f47f31698d4c102a063954711d2a593025,True
