candidate,fundamental_age_weeks,earnings_event_count,acceleration_weight,earnings_weight,rank_buffer,acceleration_coverage,earnings_coverage,peak_total_stock_weight,sleeve_annual_turnover,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,surface_gates,joint_improvement
age26__persist2__a30__e10__buf5,26,2,0.3,0.1,5,0.8227884754596786,0.8495728970609526,0.04858723775431352,2.39937223331191,1.0243357063047878,2.6795410661453993,-0.09135993394414521,0.3524345958824686,0.9070064375987101,False,False
age26__persist2__a10__e10__buf0,26,2,0.1,0.1,0,0.8227884754596786,0.8495728970609526,0.048716193062131256,2.178522800941975,1.0215273535937266,2.6823700066471217,-0.09400031144608789,0.40088087259682426,0.9045123429196442,False,False
age26__persist2__a20__e10__buf5,26,2,0.2,0.1,5,0.8227884754596786,0.8495728970609526,0.04866334928740409,2.12990634950444,1.0087415579411765,2.6419286199877297,-0.10246838309820938,0.37303613660807633,0.8925819019986001,False,False
age26__persist2__a20__e10__buf0,26,2,0.2,0.1,0,0.8227884754596786,0.8495728970609526,0.04881069484616303,2.3225638010227114,1.008243596254915,2.657891253993514,-0.09484688442817446,0.3800239761517692,0.8920924642079044,False,False
age26__persist2__a10__e10__buf5,26,2,0.1,0.1,5,0.8227884754596786,0.8495728970609526,0.04747741893088385,1.93714330649646,0.9493319399487068,2.4796228753047393,-0.13319283340193655,0.3769046661545239,0.8366373396158389,False,False
age26__persist2__a30__e10__buf0,26,2,0.3,0.1,0,0.8227884754596786,0.8495728970609526,0.048587237754313506,2.5538095685566624,0.9474472484414085,2.494284597266858,-0.1234103889295104,0.33308745498626924,0.8347988360270227,False,False
age26__persist2__a20__e20__buf5,26,2,0.2,0.2,5,0.8227884754596786,0.8495728970609526,0.04927488871000919,2.4273370616865155,0.9126256434195092,2.4289559197430073,-0.1240541770650998,0.36305044305811496,0.7801652224617728,False,False
age26__persist2__a20__e20__buf0,26,2,0.2,0.2,0,0.8227884754596786,0.8495728970609526,0.04900634733993101,2.6095590349942808,0.9126256434195079,2.4289559197430046,-0.12405417706510002,0.3646818258755957,0.7801652224617726,False,False
age26__persist2__a20__e30__buf5,26,2,0.2,0.3,5,0.8227884754596786,0.8495728970609526,0.047509752902258943,2.595025056485012,0.8797973563850563,2.4257975105762335,-0.09534940258367952,0.351300848817393,0.7065001263536033,False,False
age26__persist2__a10__e20__buf0,26,2,0.1,0.2,0,0.8227884754596786,0.8495728970609526,0.04865338432529859,2.4705412686651123,0.8573832108136994,2.326558112819947,-0.12021567253210552,0.3726530240808765,0.6989401540557938,False,False
age26__persist2__a10__e20__buf5,26,2,0.1,0.2,5,0.8227884754596786,0.8495728970609526,0.04888697479997185,2.3139285052098746,0.8548244777562384,2.330884652423692,-0.1196890841099576,0.3578852861257791,0.7175674983000653,False,False
age26__persist2__a10__e30__buf5,26,2,0.1,0.3,5,0.8227884754596786,0.8495728970609526,0.04865338432529859,2.505512751356167,0.8180205689775923,2.2552566847630553,-0.11974720879958634,0.32763575997354,0.6470485568897482,False,False
age26__persist2__a20__e30__buf0,26,2,0.2,0.3,0,0.8227884754596786,0.8495728970609526,0.04711212963188233,2.786812291867485,0.8092124215871694,2.2492267091476337,-0.12607448294731427,0.3237109612095188,0.642157923431125,False,False
age26__persist2__a30__e20__buf5,26,2,0.3,0.2,5,0.8227884754596786,0.8495728970609526,0.048592133634672525,2.5360870320352427,0.806899388468997,2.244244450229752,-0.12542372515888311,0.3343644210732153,0.6537225420570134,False,False
age26__persist2__a30__e20__buf0,26,2,0.3,0.2,0,0.8227884754596786,0.8495728970609526,0.048623975093174725,2.6549745930188657,0.8068993884689966,2.2442444502297523,-0.12542372515888323,0.3318202273715798,0.6537225420570123,False,False
age26__persist2__a30__e30__buf5,26,2,0.3,0.3,5,0.8227884754596786,0.8495728970609526,0.047385057234850946,2.6726282165910993,0.7928967359354901,2.2383362658118697,-0.12741483353722982,0.32744920190531235,0.6231540635199029,False,False
age26__persist2__a10__e30__buf0,26,2,0.1,0.3,0,0.8227884754596786,0.8495728970609526,0.04735120929132547,2.649776515955635,0.7896309382533264,2.2083670115310503,-0.119747208799587,0.3014398638761131,0.6208082440700784,False,False
age26__persist2__a30__e30__buf0,26,2,0.3,0.3,0,0.8227884754596786,0.8495728970609526,0.047385057234850946,2.8675007588460395,0.7725278454342606,2.2107174590138072,-0.12603318648950168,0.3365858718818473,0.6074172596298442,False,False
