candidate,fundamental_age_weeks,earnings_event_count,acceleration_weight,earnings_weight,rank_buffer,acceleration_coverage,earnings_coverage,peak_total_stock_weight,sleeve_annual_turnover,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,surface_gates
age26__persist2__a20__e00__buf5,26,2,0.2,0.0,5,0.8227884754596786,0.8495728970609526,0.04691839732444635,1.9816083516111558,1.02660724606449,2.657156771066004,-0.10352395810182968,0.3580003490165553,0.9092416294339021,False
age26__persist3__a20__e00__buf5,26,3,0.2,0.0,5,0.8227884754596786,0.7877515563920661,0.04691839732444635,1.9816083516111558,1.02660724606449,2.657156771066004,-0.10352395810182968,0.3580003490165553,0.9092416294339021,False
age52__persist2__a20__e00__buf5,52,2,0.2,0.0,5,0.8291588243810627,0.8495728970609526,0.04609183286998963,1.9935415619608117,1.0266072460644895,2.6571567710660036,-0.10352395810183002,0.3518065636343959,0.9092416294339005,False
age52__persist3__a20__e00__buf5,52,3,0.2,0.0,5,0.8291588243810627,0.7877515563920661,0.04609183286998963,1.9935415619608117,1.0266072460644895,2.6571567710660036,-0.10352395810183002,0.3518065636343959,0.9092416294339005,False
age26__persist2__a30__e10__buf5,26,2,0.3,0.1,5,0.8227884754596786,0.8495728970609526,0.04858723775431352,2.39937223331191,1.0243357063047878,2.6795410661453993,-0.09135993394414521,0.3524345958824686,0.9070064375987101,False
age26__persist2__a10__e10__buf0,26,2,0.1,0.1,0,0.8227884754596786,0.8495728970609526,0.048716193062131256,2.178522800941975,1.0215273535937266,2.6823700066471217,-0.09400031144608789,0.40088087259682426,0.9045123429196442,False
age52__persist2__a10__e10__buf0,52,2,0.1,0.1,0,0.8291588243810627,0.8495728970609526,0.048716193062131236,2.1789049473858446,1.0215273535937266,2.6823700066471208,-0.09400031144608778,0.39286033537678144,0.9045123429196436,False
age52__persist2__a30__e00__buf0,52,2,0.3,0.0,0,0.8291588243810627,0.8495728970609526,0.044769369233517604,2.4129353931236723,1.0201237911397727,2.6548692491739163,-0.10205056438110705,0.35438439205038197,0.903167831096618,False
age52__persist3__a30__e00__buf0,52,3,0.3,0.0,0,0.8291588243810627,0.7877515563920661,0.044769369233517604,2.4129353931236723,1.0201237911397727,2.6548692491739163,-0.10205056438110705,0.35438439205038197,0.903167831096618,False
age26__persist2__a30__e00__buf0,26,2,0.3,0.0,0,0.8227884754596786,0.8495728970609526,0.044769369233517604,2.4051841039704773,1.0201237911397723,2.654869249173914,-0.10205056438110705,0.3535952831442466,0.9031678310966171,False
age26__persist3__a30__e00__buf0,26,3,0.3,0.0,0,0.8227884754596786,0.7877515563920661,0.044769369233517604,2.4051841039704773,1.0201237911397723,2.654869249173914,-0.10205056438110705,0.3535952831442466,0.9031678310966171,False
age26__persist2__a30__e00__buf5,26,2,0.3,0.0,5,0.8227884754596786,0.8495728970609526,0.04709785497159079,2.2971467622955375,1.0201237911397705,2.6548692491739128,-0.10205056438110716,0.37123371924578286,0.9031678310966185,False
