episode,start,end,weeks,maximum_increment_weight,base_compound_return,spike_compound_return,sum_weekly_excess_return
1,2024-02-02,2024-02-02,1,0.5,0.02144666228088199,0.03379353117854644,0.012346868897664502
2,2024-02-16,2024-02-16,1,0.8,0.011078367474445905,-0.020607774688745084,-0.031686142163191
3,2024-03-01,2024-03-01,1,0.8,-0.006175986234851827,-0.025819219187215414,-0.0196432329523636
4,2024-03-08,2024-03-08,1,0.8,-0.01231630599641198,-0.003041178509405662,0.0092751274870063
5,2024-03-15,2024-03-15,1,0.8,0.022933848861767192,0.030072951930808056,0.007139103069040902
6,2024-04-12,2024-04-12,1,0.8,-0.0352882126636721,-0.049130941338153544,-0.0138427286744814
7,2025-02-07,2025-02-07,1,0.8,0.026046106121176527,0.004565629747562694,-0.0214804763736139
8,2025-02-21,2025-02-21,1,0.8,-0.03906406840730925,-0.03491634752557804,0.0041477208817312025
9,2025-07-18,2025-07-18,1,0.8,0.00030976938841642543,0.0018757520024499375,0.0015659826140334999
10,2025-08-01,2025-08-01,1,0.5,0.038212447568831465,0.026261040744102404,-0.011951406824729002
11,2025-09-05,2025-09-05,1,0.8,0.05405064881391031,0.01713110003198781,-0.036919548781922495
12,2025-10-03,2025-10-03,1,0.8,-0.02748373070678023,-0.0525075605124965,-0.025023829805716297
13,2026-05-29,2026-05-29,1,0.8,-0.0724939435810178,-0.042542669125678834,0.029951274455338996
14,2026-06-05,2026-06-05,1,0.8,0.028855149124395574,8.383880335727234e-05,-0.02877131032103823
15,2026-06-19,2026-06-19,1,0.8,-0.04077191897399235,0.007210460695520782,0.047982379669513
16,2026-06-26,2026-06-26,1,0.8,-0.01779906309053214,0.04100587026306979,0.0588049333536018
