candidate,increment_multiplier,tranches,policy,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,delay1_recent_cagr,delay2_recent_cagr,worst_current_delay_recent_cagr,peak_total_stock_weight,annual_one_way_turnover,increment_active_share,selection_gates
inc100__tranches4__symmetric_equal,1.0,4,symmetric_equal,1.1921841481621729,3.036734026100816,-0.08708758375337322,0.41966075544908743,1.0286117233322742,1.189550918496959,1.186275367586628,1.186275367586628,0.07378789503220702,4.8680851063829795,0.2222222222222222,True
inc075__tranches4__symmetric_equal,0.75,4,symmetric_equal,1.1771563619188137,2.994831602009294,-0.08708758375337278,0.4199331348965387,1.0218270567308747,1.1750492814117623,1.172325550441399,1.172325550441399,0.07378789503220702,4.6744680851063825,0.2222222222222222,True
inc100__tranches3__symmetric_equal,1.0,3,symmetric_equal,1.1591031089154837,2.9806067566396917,-0.08708758375337311,0.40670768053126505,0.9852362666672618,1.164201176988696,1.2384869295602776,1.1591031089154837,0.07378789503220702,5.365957446808511,0.18518518518518517,False
inc050__tranches4__symmetric_equal,0.5,4,symmetric_equal,1.161668770653443,2.9415326175250955,-0.087087583753373,0.42009442389559903,1.0147974963626734,1.1601764991870689,1.1581841059948235,1.1581841059948235,0.07378789503220702,4.480851063829788,0.2222222222222222,True
inc075__tranches3__symmetric_equal,0.75,3,symmetric_equal,1.1524857229562104,2.9537632741622244,-0.08708758375337289,0.41022272053620346,0.9893476835558448,1.1562734942376833,1.2113492427190744,1.1524857229562104,0.07378789503220702,5.047872340425531,0.18518518518518517,True
inc050__tranches3__symmetric_equal,0.5,3,symmetric_equal,1.1453162086220217,2.9149135632132612,-0.08708758375337289,0.4136237634133102,0.9931816569652818,1.1478169539560037,1.1841065908840953,1.1453162086220217,0.07378789503220702,4.729787234042553,0.18518518518518517,False
inc025__tranches4__symmetric_equal,0.25,4,symmetric_equal,1.1457264993796255,2.878170370870623,-0.08708758375337289,0.42014345319214264,1.0075241169821454,1.1449368883777162,1.143853158687628,1.143853158687628,0.07378789503220702,4.287234042553191,0.2222222222222222,False
inc100__tranches4__frontloaded,1.0,4,frontloaded,1.1675266239114905,2.999622414371968,-0.087087583753373,0.4102439673130951,0.9742974128340565,1.1431451985254792,1.209008616847381,1.1431451985254792,0.07378789503220702,5.520851063829787,0.2222222222222222,True
inc075__tranches4__frontloaded,0.75,4,frontloaded,1.158989204002868,2.968933150640242,-0.087087583753373,0.412921763342992,0.9817477312951048,1.14068028909159,1.1894579569110504,1.14068028909159,0.07378789503220702,5.164042553191489,0.2222222222222222,True
inc025__tranches3__symmetric_equal,0.25,3,symmetric_equal,1.1375980299146113,2.8652656570270807,-0.087087583753373,0.41690960736454263,0.9967358639247514,1.138835901844205,1.1567660938391886,1.1375980299146113,0.07378789503220702,4.411702127659575,0.18518518518518517,False
