decision_at,cik10,company_name,score,intended_weight
2023-01-01 00:00:00+00:00,0001070412,CNX RESOURCES CORP,1.0,0.05
2023-01-01 00:00:00+00:00,0001475115,"EVENTBRITE, INC.",0.9782608695652174,0.05
2023-01-01 00:00:00+00:00,0000874499,GULFPORT ENERGY CORP,0.974025974025974,0.05
2023-01-01 00:00:00+00:00,0000917273,RAMBUS INC,0.954535550085172,0.05
2023-01-01 00:00:00+00:00,0001314727,SONOS INC,0.9431323814019188,0.05
2023-01-01 00:00:00+00:00,0001327567,PALO ALTO NETWORKS INC,0.9429421468127724,0.05
2023-01-01 00:00:00+00:00,0001273441,GRAN TIERRA ENERGY INC.,0.922077922077922,0.05
2023-01-01 00:00:00+00:00,0001509991,KOSMOS ENERGY LTD.,0.922077922077922,0.05
2023-01-01 00:00:00+00:00,0001173489,CEVA INC,0.9216040347724488,0.05
2023-01-01 00:00:00+00:00,0001827075,CVENT HOLDING CORP.,0.91361327068968,0.05
2023-01-01 00:00:00+00:00,0001773383,"DYNATRACE, INC.",0.9047298945175514,0.05
2023-01-01 00:00:00+00:00,0001107843,"QUALYS, INC.",0.9018247233587496,0.05
2023-01-01 00:00:00+00:00,0001585521,"ZOOM VIDEO COMMUNICATIONS, INC.",0.8826415743980404,0.05
2023-01-01 00:00:00+00:00,0001280263,AMBARELLA INC,0.8759748089540255,0.05
2023-01-01 00:00:00+00:00,0000732834,"CONTINENTAL RESOURCES, INC",0.8701298701298701,0.05
2023-01-01 00:00:00+00:00,0001373715,"SERVICENOW, INC.",0.869232578791986,0.05
2023-01-01 00:00:00+00:00,0000320193,APPLE INC,0.8578079495539379,0.05
2023-01-01 00:00:00+00:00,0001288469,MAXLINEAR INC,0.8478671853888547,0.05
2023-01-01 00:00:00+00:00,0001361113,VARONIS SYSTEMS INC,0.8420868584499436,0.05
2023-01-01 00:00:00+00:00,0001124804,"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.",0.8390132660330335,0.05
2023-04-01 00:00:00+00:00,0001070412,CNX RESOURCES CORP,1.0,0.05
2023-04-01 00:00:00+00:00,0001475115,"EVENTBRITE, INC.",0.9843871975019516,0.05
2023-04-01 00:00:00+00:00,0000874499,GULFPORT ENERGY CORP,0.9764705882352942,0.05
2023-04-01 00:00:00+00:00,0000917273,RAMBUS INC,0.9655073608957476,0.05
2023-04-01 00:00:00+00:00,0001327567,PALO ALTO NETWORKS INC,0.9414629341854714,0.05
